dataset,seed,k,propagation,final_readout,calibration_mode,teacher_acc,candidate_acc,acc_gap_vs_teacher,teacher_loss,candidate_loss,loss_gap_vs_teacher,threshold_each_layer_acc,threshold_each_layer_loss,delta_acc_vs_threshold_each_layer,local_mae,local_mse,local_max_abs_error,layer_alignment_mae,final_layer_alignment_mae,original_gate_count,expanded_gate_count,gate_count_multiplier,representation_levels,representation_bits,depth,fanout_max,unused_gate_ratio,train_time,eval_time
parity6,0,2,full_popcount,popcount,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,192,2,3,2,3,11,0.0,2.553225141018629,0.029509112937375903
parity6,0,2,full_popcount,final_threshold,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,192,2,3,2,3,11,0.0,2.553225141018629,0.03287651389837265
parity6,0,4,full_popcount,popcount,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,384,4,5,3,3,11,0.0,2.553225141018629,0.004679705016314983
parity6,0,4,full_popcount,final_threshold,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,384,4,5,3,3,11,0.0,2.553225141018629,0.007915874943137169
parity6,0,8,full_popcount,popcount,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,768,8,9,4,3,11,0.0,2.553225141018629,0.004638751037418842
parity6,0,8,full_popcount,final_threshold,fixed,0.25,0.5625,0.3125,1.0820773839950562,1.054822564125061,0.027254819869995117,0.5625,1.054822564125061,0.0,0.022274828826387722,0.0007070682671231528,0.040700316429138184,0.043444941441218056,0.06677897274494171,96,768,8,9,4,3,11,0.0,2.553225141018629,0.00783963711000979
majority7,0,2,full_popcount,popcount,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,192,2,3,2,3,10,0.0,0.03973278496414423,0.004818821093067527
majority7,0,2,full_popcount,final_threshold,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,192,2,3,2,3,10,0.0,0.03973278496414423,0.008204567013308406
majority7,0,4,full_popcount,popcount,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,384,4,5,3,3,10,0.0,0.03973278496414423,0.004817545181140304
majority7,0,4,full_popcount,final_threshold,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,384,4,5,3,3,10,0.0,0.03973278496414423,0.008195893140509725
majority7,0,8,full_popcount,popcount,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,768,8,9,4,3,10,0.0,0.03973278496414423,0.004766513127833605
majority7,0,8,full_popcount,final_threshold,fixed,0.4375,0.4375,0.0,0.679567813873291,0.8755937218666077,0.19602590799331665,0.4375,0.8755937218666077,0.0,0.02103610833485921,0.0006677308313859006,0.04075026512145996,0.04006351965169112,0.06190844997763634,96,768,8,9,4,3,10,0.0,0.03973278496414423,0.00816015200689435
random_sparse8,0,2,full_popcount,popcount,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,192,2,3,2,3,8,0.0,0.051909265108406544,0.005289674969390035
random_sparse8,0,2,full_popcount,final_threshold,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,192,2,3,2,3,8,0.0,0.051909265108406544,0.009026275016367435
random_sparse8,0,4,full_popcount,popcount,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,384,4,5,3,3,8,0.0,0.051909265108406544,0.0051297948230057955
random_sparse8,0,4,full_popcount,final_threshold,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,384,4,5,3,3,8,0.0,0.051909265108406544,0.008818125817924738
random_sparse8,0,8,full_popcount,popcount,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,768,8,9,4,3,8,0.0,0.051909265108406544,0.005122962174937129
random_sparse8,0,8,full_popcount,final_threshold,fixed,0.4375,0.40625,0.03125,0.8746353983879089,1.1543018817901611,0.2796664834022522,0.40625,1.1543018817901611,0.0,0.023745892569422722,0.0008110119185099999,0.04075387120246887,0.04847176559269428,0.07444210350513458,96,768,8,9,4,3,8,0.0,0.051909265108406544,0.008804988116025925
