method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
gumbel_st,majority7,0,full_soft_vs_discrete,0,1,0.16738717257976532,0.56977778673172,0.04666835814714432,0.0146484375,0.0,0.28125
gumbel_st,majority7,0,full_soft_vs_discrete,1,2,0.28124499320983887,0.6468179225921631,0.10485952347517014,0.12109375,0.0,0.3125
gumbel_st,majority7,0,full_soft_vs_discrete,2,3,0.3108963370323181,0.7308610677719116,0.12105114012956619,0.1044921875,0.0,0.375
gumbel_st_cage,majority7,0,full_soft_vs_discrete,0,1,0.4747017025947571,0.5491319894790649,0.2266296148300171,0.2548828125,0.0,0.28125
gumbel_st_cage,majority7,0,full_soft_vs_discrete,1,2,0.496764600276947,0.5553700923919678,0.24719834327697754,0.3896484375,0.0,0.3125
gumbel_st_cage,majority7,0,full_soft_vs_discrete,2,3,0.49351510405540466,0.5445214509963989,0.24406738579273224,0.33984375,0.0,0.375
hard_st,majority7,0,full_soft_vs_discrete,0,1,0.4116182327270508,0.6208057403564453,0.17940571904182434,0.1787109375,0.0,0.25
hard_st,majority7,0,full_soft_vs_discrete,1,2,0.4639793336391449,0.7254245281219482,0.2204742133617401,0.27734375,0.0,0.25
hard_st,majority7,0,full_soft_vs_discrete,2,3,0.4674765467643738,0.6643600463867188,0.2229592353105545,0.271484375,0.0,0.4375
hard_st_cage,majority7,0,full_soft_vs_discrete,0,1,0.476386159658432,0.5669238567352295,0.2285347580909729,0.275390625,0.0,0.25
hard_st_cage,majority7,0,full_soft_vs_discrete,1,2,0.4920664131641388,0.5580488443374634,0.24256423115730286,0.318359375,0.0,0.28125
hard_st_cage,majority7,0,full_soft_vs_discrete,2,3,0.4943586587905884,0.5497503280639648,0.24485370516777039,0.4013671875,0.0,0.40625
block_relaxed,majority7,0,full_soft_vs_discrete,0,1,0.4046841263771057,0.59126216173172,0.17261666059494019,0.1875,0.0,0.3125
block_relaxed,majority7,0,full_soft_vs_discrete,1,2,0.47262895107269287,0.7503936290740967,0.22808155417442322,0.337890625,0.0,0.34375
block_relaxed,majority7,0,full_soft_vs_discrete,2,3,0.4678502380847931,0.6852231621742249,0.22301296889781952,0.33203125,0.0,0.40625
block_hard_refit,majority7,0,full_soft_vs_discrete,0,1,0.3927616775035858,0.4998931288719177,0.16069422662258148,0.0,0.0,0.21875
block_hard_refit,majority7,0,full_soft_vs_discrete,1,2,0.45908236503601074,0.7021781802177429,0.21474657952785492,0.267578125,0.0,0.34375
block_hard_refit,majority7,0,full_soft_vs_discrete,2,3,0.470893532037735,0.6562922596931458,0.2260248064994812,0.3388671875,0.0,0.40625
block_hard_refit,majority7,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.21875,0.21875
block_hard_refit,majority7,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.34375,0.34375
block_hard_refit,majority7,0,path_soft_vs_discrete,2,3,0.39834827184677124,0.49983036518096924,0.16526266932487488,0.0,0.125,0.40625
block_hard_task_refit,majority7,0,full_soft_vs_discrete,0,1,0.4276133179664612,0.7668717503547668,0.19554594159126282,0.1748046875,0.0,0.21875
block_hard_task_refit,majority7,0,full_soft_vs_discrete,1,2,0.4750072658061981,0.7217811346054077,0.23088689148426056,0.365234375,0.0,0.375
block_hard_task_refit,majority7,0,full_soft_vs_discrete,2,3,0.47741201519966125,0.6585617661476135,0.23312407732009888,0.3740234375,0.0,0.34375
block_hard_task_refit,majority7,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.21875,0.21875
block_hard_task_refit,majority7,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.375,0.375
block_hard_task_refit,majority7,0,path_soft_vs_discrete,2,3,0.4053533673286438,0.7304202318191528,0.17637024819850922,0.166015625,0.0625,0.34375
dlgn,random_sparse8,0,full_soft_vs_discrete,0,1,0.3601023554801941,0.6643727421760559,0.1396760642528534,0.0751953125,0.0,0.0625
dlgn,random_sparse8,0,full_soft_vs_discrete,1,2,0.46495968103408813,0.625349223613739,0.21975331008434296,0.30078125,0.0,0.0625
dlgn,random_sparse8,0,full_soft_vs_discrete,2,3,0.4758419394493103,0.6500937938690186,0.22937649488449097,0.31298828125,0.0,0.15625
dlgn_anneal,random_sparse8,0,full_soft_vs_discrete,0,1,0.08942542970180511,0.5037313103675842,0.02379767782986164,0.00732421875,0.0,0.0625
dlgn_anneal,random_sparse8,0,full_soft_vs_discrete,1,2,0.20472921431064606,0.671741247177124,0.07428788393735886,0.064453125,0.0,0.0625
dlgn_anneal,random_sparse8,0,full_soft_vs_discrete,2,3,0.269754022359848,0.7049282789230347,0.1017482653260231,0.0791015625,0.0,0.125
gumbel_st,random_sparse8,0,full_soft_vs_discrete,0,1,0.19520026445388794,0.6052470207214355,0.060923729091882706,0.0283203125,0.0,0.15625
gumbel_st,random_sparse8,0,full_soft_vs_discrete,1,2,0.3361011743545532,0.7336480617523193,0.13505819439888,0.13671875,0.0,0.125
gumbel_st,random_sparse8,0,full_soft_vs_discrete,2,3,0.38804858922958374,0.7732181549072266,0.17585575580596924,0.2666015625,0.0,0.21875
gumbel_st_cage,random_sparse8,0,full_soft_vs_discrete,0,1,0.4762825071811676,0.5652833580970764,0.22796684503555298,0.26416015625,0.0,0.125
gumbel_st_cage,random_sparse8,0,full_soft_vs_discrete,1,2,0.4969342052936554,0.5428147315979004,0.24724790453910828,0.4296875,0.0,0.15625
gumbel_st_cage,random_sparse8,0,full_soft_vs_discrete,2,3,0.4945032596588135,0.5360530614852905,0.24476584792137146,0.365234375,0.0,0.21875
hard_st,random_sparse8,0,full_soft_vs_discrete,0,1,0.41694575548171997,0.6323003768920898,0.18267138302326202,0.18994140625,0.0,0.15625
hard_st,random_sparse8,0,full_soft_vs_discrete,1,2,0.4864533841609955,0.6054912209510803,0.23883682489395142,0.39453125,0.0,0.1875
hard_st,random_sparse8,0,full_soft_vs_discrete,2,3,0.4843175709247589,0.6653732061386108,0.23773710429668427,0.359375,0.0,0.25
hard_st_cage,random_sparse8,0,full_soft_vs_discrete,0,1,0.47588789463043213,0.5648338794708252,0.22779759764671326,0.29150390625,0.0,0.125
hard_st_cage,random_sparse8,0,full_soft_vs_discrete,1,2,0.49614083766937256,0.5381296873092651,0.2464442253112793,0.40087890625,0.0,0.1875
hard_st_cage,random_sparse8,0,full_soft_vs_discrete,2,3,0.495924174785614,0.5438519716262817,0.24626655876636505,0.3955078125,0.0,0.28125
block_relaxed,random_sparse8,0,full_soft_vs_discrete,0,1,0.40470561385154724,0.611413300037384,0.17202234268188477,0.1435546875,0.0,0.1875
block_relaxed,random_sparse8,0,full_soft_vs_discrete,1,2,0.4792260229587555,0.591167688369751,0.23194240033626556,0.34765625,0.0,0.1875
block_relaxed,random_sparse8,0,full_soft_vs_discrete,2,3,0.4825482666492462,0.64573734998703,0.23565925657749176,0.42236328125,0.0,0.28125
block_hard_refit,random_sparse8,0,full_soft_vs_discrete,0,1,0.39021730422973633,0.49829310178756714,0.15753404796123505,0.0,0.0,0.15625
block_hard_refit,random_sparse8,0,full_soft_vs_discrete,1,2,0.4787405729293823,0.5741490721702576,0.23139901459217072,0.3505859375,0.0,0.21875
block_hard_refit,random_sparse8,0,full_soft_vs_discrete,2,3,0.48230332136154175,0.6436265707015991,0.23529817163944244,0.43212890625,0.0,0.375
block_hard_refit,random_sparse8,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.15625,0.15625
block_hard_refit,random_sparse8,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.21875,0.21875
block_hard_refit,random_sparse8,0,path_soft_vs_discrete,2,3,0.4036930501461029,0.49960678815841675,0.16997449100017548,0.0,0.0625,0.375
block_hard_task_refit,random_sparse8,0,full_soft_vs_discrete,0,1,0.44418007135391235,0.7533833384513855,0.21149684488773346,0.23388671875,0.0,0.21875
block_hard_task_refit,random_sparse8,0,full_soft_vs_discrete,1,2,0.4931066334247589,0.6556135416030884,0.2462853640317917,0.40625,0.0,0.34375
block_hard_task_refit,random_sparse8,0,full_soft_vs_discrete,2,3,0.490947425365448,0.6604880094528198,0.2440783679485321,0.4091796875,0.0,0.46875
block_hard_task_refit,random_sparse8,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.21875,0.21875
block_hard_task_refit,random_sparse8,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.34375,0.34375
block_hard_task_refit,random_sparse8,0,path_soft_vs_discrete,2,3,0.4195571541786194,0.8445191383361816,0.18480461835861206,0.09033203125,0.1875,0.46875
