best_epoch,block,block_train_seconds,changed_truth_ratio,changed_wiring_ratio,epochs_ran,epochs_to_90pct_best,post_refit_acc_gap,post_refit_hard_acc,post_refit_hard_loss,post_refit_loss_gap,post_refit_soft_acc,post_refit_soft_loss,pre_refit_acc_gap,pre_refit_hard_acc,pre_refit_hard_loss,pre_refit_loss_gap,pre_refit_soft_acc,pre_refit_soft_loss,refit_address_coverage,refit_bit_error
14,0,2657.8243594290107,0.0,0.0,18,2,0.0,0.29645,2.6362983573913574,0.0,0.29645,2.6362983573913574,0.0045499999999999985,0.29645,2.6362983573913574,0.009117835235595617,0.2919,2.645416192626953,0.0,0.3658544421195984
14,1,2666.806838051998,0.0,0.0,18,1,0.0,0.3745,2.2455350204467774,0.0,0.3745,2.2455350204467774,0.003249999999999975,0.3745,2.2455350204467774,0.01517650585174568,0.37775,2.2303585145950318,0.0,0.26056399941444397
10,2,2075.033799981,0.0,0.0,14,1,0.0,0.39895,2.1335861770629885,0.0,0.39895,2.1335861770629885,0.0015999999999999903,0.39895,2.1335861770629885,0.012395089149475513,0.40055,2.121191087913513,0.0,0.20511959493160248
6,3,1487.2651871319977,0.0,0.0,10,1,0.0,0.40815,2.134007525253296,0.0,0.40815,2.134007525253296,9.999999999998899e-05,0.40815,2.134007525253296,0.024349810981750597,0.40805,2.1096577142715454,0.0,0.17330238223075867
