path,bytes,sha256
full_k_boolean_3seed_20260701/config.json,892,2af86ca196d2fed87952c9382dad1994e68a763c3776f92489c006b02ca54332
full_k_boolean_3seed_20260701/full_k_expansion_results.csv,20911,78db548a6f71a7ac94dcb6f93d81f9fcacdf9c593dab21c6af0fdb917e31d488
full_k_boolean_3seed_20260701/full_k_expansion_results.partial.csv,20911,78db548a6f71a7ac94dcb6f93d81f9fcacdf9c593dab21c6af0fdb917e31d488
full_k_boolean_3seed_20260701/full_k_expansion_summary.md,8158,584627eee90fe6bbd12a42a34ca3978b81490a47720ce7781735cc6fd05fb038
full_k_boolean_digits_20260701/full_k_expansion_results.partial.csv,7312,7647ac1f5d4231126427879845b2e524253b2a18ad06cf0e1beb95e60d6857c4
full_k_cifar10_small_smoke_20260701/config.json,851,2c61d44b09456dbf69947ae85816469d66b9024e2009fa9ced7f99f6ffeb8fea
full_k_cifar10_small_smoke_20260701/full_k_expansion_results.csv,2532,6518d0e66dc3d67f9eedad0ee4e4aa8cf858d8e48b440c24c61524087f59b893
full_k_cifar10_small_smoke_20260701/full_k_expansion_results.partial.csv,2532,6518d0e66dc3d67f9eedad0ee4e4aa8cf858d8e48b440c24c61524087f59b893
full_k_cifar10_small_smoke_20260701/full_k_expansion_summary.md,1806,2387c9ef7f501d894b5deac5a35d86ff6275f2e183d1b14d9985977b90ce0aa7
full_k_mnist_smoke_20260701/config.json,850,812b7a48c57568a007d37da078672021c28015f970f0d0f603d51fc74f615491
full_k_mnist_smoke_20260701/full_k_expansion_results.csv,3371,d43e037246a522e7015642c05d350cfc04a7f5094fe7aa8a2db369f38d1baf83
full_k_mnist_smoke_20260701/full_k_expansion_results.partial.csv,3371,d43e037246a522e7015642c05d350cfc04a7f5094fe7aa8a2db369f38d1baf83
full_k_mnist_smoke_20260701/full_k_expansion_summary.md,2050,60d1de9a9462f7779ae1c47c0fe5225b7f0181ef2d87d3aa1ce38b27191660c4
full_k_quick_smoke_20260701/config.json,863,38cd237109d130188a61436cff7c0996daef4d06a78de3ced68da24004ac51da
full_k_quick_smoke_20260701/full_k_expansion_results.csv,6268,4b55513d5171b457fbebdec1fd51b606fdc03f03a04b0ad68efc63e4463fc1be
full_k_quick_smoke_20260701/full_k_expansion_results.partial.csv,6268,4b55513d5171b457fbebdec1fd51b606fdc03f03a04b0ad68efc63e4463fc1be
full_k_quick_smoke_20260701/full_k_expansion_summary.md,3082,83d08aa95fc031e29719c10f5ba538aa0d7d177b99ff3098d2b378034ddd30e8
soft_loss_precision_digits_heads_v1/config.json,1185,62df476ebb3023a0b786f3864c8c552389a2699922d0072a6c37f8291baa0d1b
soft_loss_precision_digits_heads_v1/results.csv,6541,51e63c09a91b42c37148948cbdca07880eb937b4d616a0a44cecd0f5c971f131
soft_loss_precision_digits_heads_v1/results.partial.csv,6541,51e63c09a91b42c37148948cbdca07880eb937b4d616a0a44cecd0f5c971f131
soft_loss_precision_digits_heads_v1/soft_loss_precision_sweep.md,5317,8d5afc0952d6309b5a3c03d4e024c5c87936e8b4580f4c1d2a176c30edc1a733
soft_loss_precision_mnist_heads_v1/config.json,1171,6b391ae907b53f5a48d3c8fb7f92f1ccd129f59a325609752f388ee6d6d05429
soft_loss_precision_mnist_heads_v1/results.csv,7403,2c652a5990e6f31ac84d1cde138cddecedb61a7cfd2c36a7c30d745d6a6c836d
soft_loss_precision_mnist_heads_v1/results.partial.csv,7403,2c652a5990e6f31ac84d1cde138cddecedb61a7cfd2c36a7c30d745d6a6c836d
soft_loss_precision_mnist_heads_v1/soft_loss_precision_sweep.md,5886,95e066854f9e365db90a00f89cd9d88850830ff47a1836e5ef36d2b2903b0cf1
soft_loss_precision_quick_v1/config.json,1104,ae17d96e4415715a7a7703c498431c2c7f3cc725134608a117dd4ce353b92a5c
soft_loss_precision_quick_v1/results.csv,1502,ec7cf21598a96a442f10900d04b2ba0ee4fc40109c4fdcc6606d660fdf6334f2
soft_loss_precision_quick_v1/results.partial.csv,1502,ec7cf21598a96a442f10900d04b2ba0ee4fc40109c4fdcc6606d660fdf6334f2
soft_loss_precision_quick_v1/soft_loss_precision_sweep.md,2503,d121a8b5b9b3a2dae7fcb2c0b55e91aefdaa0c5a85c8b7d90a5206b7b718eccc
