seed,hard_acc_delta,acc_gap_delta,loss_gap_delta,unused_gate_ratio_delta,activation_inactive_gate_ratio_delta,layer_gap_max_flip_ratio_delta,train_time_delta,time_to_20pct_delta
0,-0.016899999999999971,-0.015200000000000047,-0.031179287719727,-0.40177619684254751,-0.25801282051282048,-0.12261232229379507,228.09624521798105,203.39342047597165
1,0.011099999999999999,-0.015699999999999992,-0.025687292098999004,-0.38902246390352957,-0.24959935897435898,-0.12636769001300519,216.68803805595962,140.71531627798686
2,0.008499999999999952,-0.025000000000000022,-0.046852636718750063,-0.39496528258314356,-0.23944978632478633,-0.12997417816748985,224.73735138899065,268.73009235400241
mean,0.00089999999999999336,-0.018633333333333352,-0.034573072179158691,-0.3952546477764069,-0.24902065527065528,-0.12631806349143004,223.17387822097712,204.27960970265363
