dataset,seed,k,propagation,final_readout,calibration_mode,teacher_acc,candidate_acc,acc_gap_vs_teacher,teacher_loss,candidate_loss,loss_gap_vs_teacher,threshold_each_layer_acc,threshold_each_layer_loss,delta_acc_vs_threshold_each_layer,local_mae,local_mse,local_max_abs_error,layer_alignment_mae,final_layer_alignment_mae,original_gate_count,expanded_gate_count,gate_count_multiplier,representation_levels,representation_bits,depth,fanout_max,unused_gate_ratio,train_time,eval_time
majority9,0,2,full_popcount,popcount,per_neuron,1.0,0.71875,0.28125,0.025476515293121338,1.153336763381958,1.1278602480888367,0.734375,1.333075761795044,-0.015625,0.052912650629878044,0.008281243732199073,0.24996191263198853,0.10424857772886753,0.15223482251167297,512,1024,2,3,2,4,29,0.0,4.345020401990041,3.9198524220846593
majority9,0,2,full_popcount,final_threshold,per_neuron,1.0,0.7578125,0.2421875,0.025476515293121338,1.336296796798706,1.3108202815055847,0.734375,1.333075761795044,0.0234375,0.052912650629878044,0.008281243732199073,0.24996191263198853,0.11981972493231297,0.2145194113254547,512,1024,2,3,2,4,29,0.0,4.345020401990041,4.947476506931707
majority9,0,4,full_popcount,popcount,per_neuron,1.0,0.984375,0.015625,0.025476515293121338,0.06323845684528351,0.03776194155216217,0.5859375,1.728464126586914,0.3984375,0.029940910637378693,0.002538308850489557,0.12483721971511841,0.04392431769520044,0.05568685010075569,512,2048,4,5,3,4,29,0.0,4.345020401990041,3.7243307640310377
majority9,0,4,full_popcount,final_threshold,per_neuron,1.0,0.8359375,0.1640625,0.025476515293121338,0.5369855165481567,0.5115090012550354,0.5859375,1.728464126586914,0.25,0.029940910637378693,0.002538308850489557,0.12483721971511841,0.08241165056824684,0.20963618159294128,512,2048,4,5,3,4,29,0.001953125,4.345020401990041,4.750675194896758
majority9,0,8,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.029271066188812256,0.003794550895690918,0.515625,1.8740825653076172,0.484375,0.01421077805571258,0.0005720423214370385,0.062429189682006836,0.02021037181839347,0.02511163428425789,512,4096,8,9,4,4,29,0.0,4.345020401990041,3.6894642498809844
majority9,0,8,full_popcount,final_threshold,per_neuron,1.0,0.71875,0.28125,0.025476515293121338,1.1733813285827637,1.1479048132896423,0.515625,1.8740825653076172,0.203125,0.01421077805571258,0.0005720423214370385,0.062429189682006836,0.0649903086014092,0.2042313814163208,512,4096,8,9,4,4,29,0.0,4.345020401990041,4.704065405996516
majority9,0,16,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.024464894086122513,0.001011621206998825,0.515625,1.8740825653076172,0.484375,0.007559557328931987,0.00015634101509931497,0.031227529048919678,0.010296826250851154,0.013048974797129631,512,8192,16,17,5,4,29,0.0,4.345020401990041,3.6999029328580946
majority9,0,16,full_popcount,final_threshold,per_neuron,1.0,0.7265625,0.2734375,0.025476515293121338,1.1702994108200073,1.144822895526886,0.515625,1.8740825653076172,0.2109375,0.007559557328931987,0.00015634101509931497,0.031227529048919678,0.05805076425895095,0.2040647268295288,512,8192,16,17,5,4,29,0.0,4.345020401990041,4.7096684710122645
majority9,0,32,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.025534624233841896,5.8108940720558167e-05,0.5078125,1.9040206670761108,0.4921875,0.003791449125856161,3.858764011965832e-05,0.015611588954925537,0.004934637923724949,0.006063637789338827,512,16384,32,33,6,4,29,0.0,4.345020401990041,3.6913494179025292
majority9,0,32,full_popcount,final_threshold,per_neuron,1.0,0.7109375,0.2890625,0.025476515293121338,1.1471492052078247,1.1216726899147034,0.5078125,1.9040206670761108,0.203125,0.003791449125856161,3.858764011965832e-05,0.015611588954925537,0.05441861576400697,0.20399954915046692,512,16384,32,33,6,4,29,0.0,4.345020401990041,4.693672868888825
random_sparse10,0,2,full_popcount,popcount,per_neuron,1.0,0.9296875,0.0703125,0.018892427906394005,0.17114485800266266,0.15225243009626865,0.85546875,0.3354361057281494,0.07421875,0.03682740172371268,0.005199930223170668,0.2498202621936798,0.06699361186474562,0.11022946238517761,512,1024,2,3,2,4,26,0.0,4.551846751011908,3.768716209102422
random_sparse10,0,2,full_popcount,final_threshold,per_neuron,1.0,0.8515625,0.1484375,0.018892427906394005,0.3520204424858093,0.3331280145794153,0.85546875,0.3354361057281494,-0.00390625,0.03682740172371268,0.005199930223170668,0.2498202621936798,0.09007061179727316,0.20253746211528778,512,1024,2,3,2,4,26,0.001953125,4.551846751011908,4.787339322967455
random_sparse10,0,4,full_popcount,popcount,per_neuron,1.0,0.99609375,0.00390625,0.018892427906394005,0.04903631657361984,0.030143888667225838,0.8203125,0.5018124580383301,0.17578125,0.02289935853332281,0.0017179190181195736,0.12499788403511047,0.03969739656895399,0.06142608821392059,512,2048,4,5,3,4,26,0.0,4.551846751011908,3.771457721013576
random_sparse10,0,4,full_popcount,final_threshold,per_neuron,1.0,0.859375,0.140625,0.018892427906394005,0.3679865598678589,0.3490941319614649,0.8203125,0.5018124580383301,0.0390625,0.02289935853332281,0.0017179190181195736,0.12499788403511047,0.07357524987310171,0.19693750143051147,512,2048,4,5,3,4,26,0.001953125,4.551846751011908,4.788537165150046
random_sparse10,0,8,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.018892427906394005,0.023573964834213257,0.004681536927819252,0.8125,0.5183225274085999,0.1875,0.013428699458017945,0.0005340865973266773,0.06244772672653198,0.021285738795995712,0.030803803354501724,512,4096,8,9,4,4,26,0.0,4.551846751011908,3.7660153941251338
random_sparse10,0,8,full_popcount,final_threshold,per_neuron,1.0,0.87890625,0.12109375,0.018892427906394005,0.2879353165626526,0.2690428886562586,0.8125,0.5183225274085999,0.06640625,0.013428699458017945,0.0005340865973266773,0.06244772672653198,0.06245796661823988,0.1954927146434784,512,4096,8,9,4,4,26,0.001953125,4.551846751011908,4.776852372102439
random_sparse10,0,16,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.018892427906394005,0.019262436777353287,0.0003700088709592819,0.79296875,0.481395423412323,0.20703125,0.007124883704818785,0.00014009813821758144,0.03122997283935547,0.010040730936452746,0.014493598602712154,512,8192,16,17,5,4,26,0.0,4.551846751011908,3.772094663931057
random_sparse10,0,16,full_popcount,final_threshold,per_neuron,1.0,0.88671875,0.11328125,0.018892427906394005,0.2586328685283661,0.23974044062197208,0.79296875,0.481395423412323,0.09375,0.007124883704818785,0.00014009813821758144,0.03122997283935547,0.055226740427315235,0.1952376365661621,512,8192,16,17,5,4,26,0.001953125,4.551846751011908,4.785295022884384
random_sparse10,0,32,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.018892427906394005,0.01916573755443096,0.0002733096480369568,0.79296875,0.481395423412323,0.20703125,0.00389944069320336,3.9303045014094096e-05,0.015623092651367188,0.005596413277089596,0.007828593254089355,512,16384,32,33,6,4,26,0.0,4.551846751011908,3.7700520588550717
random_sparse10,0,32,full_popcount,final_threshold,per_neuron,1.0,0.8984375,0.1015625,0.018892427906394005,0.244193896651268,0.225301468744874,0.79296875,0.481395423412323,0.10546875,0.00389944069320336,3.9303045014094096e-05,0.015623092651367188,0.05244321655482054,0.19521580636501312,512,16384,32,33,6,4,26,0.001953125,4.551846751011908,4.781843698816374
