run,mode,state_bits,vote_bits,seed,hard_acc,test_hard_acc,payload_sha256,source_blif,export_random_vectors,export_exact,gate_count,raw_truth_bits,unique_truth_tables,truth_dictionary_bits,truth_dictionary_ratio,truth_one_ratio,support_0_ratio,support_1_ratio,support_2_ratio,support_3_ratio,support_4_ratio,realized_support_0_ratio,realized_support_1_ratio,realized_support_2_ratio,realized_support_3_ratio,realized_support_4_ratio,duplicate_source_slot_ratio,raw_minterm_cubes,emitted_minterm_cubes,source_blif_bytes,source_blif_sha256,abc_pre_sop_nodes,abc_pre_sop_edges,abc_pre_sop_cubes,abc_pre_sop_levels,abc_strash_and,abc_strash_levels,abc_dc2_and,abc_dc2_levels,abc_dc2_and_reduction,abc_lut4_nodes,abc_lut4_edges,abc_lut4_levels,abc_lut4_reduction_vs_original,abc_runtime_s,cec_equivalent,optimized_blif,optimized_blif_bytes,optimized_blif_sha256,blif_input_count,blif_output_count,blif_node_count,blif_edge_count,blif_fanout_max,blif_index_bits,blif_k4_logical_payload_bits,abc_log,cec_log
v2_argmax_w672_s0,argmax,672,160,0,0.8962963223457336,0.855555534362793,a9be2593c760b520e79e0313c687c26858079fc6d35c198dd5f85c66683f924b,blif/v2_argmax_w672_s0.blif,257,True,320,5120,213,5968,1.165625,0.3857421875,0.0,0.040625,0.0625,0.14375,0.753125,0.0,0.040625,0.065625,0.146875,0.746875,0.00390625,1975,1959,31516,816ff46e470c729c6eb8f2ca60b847ca03fdf93f13e13785177337b0655359a2,320,1275,1959,2,1848,13,1134,9,0.38636363636363635,312,1146,3,0.025000000000000022,0.09327483712695539,True,optimized_blif/v2_argmax_w672_s0.dc2_k4.blif,21465,763ab3c8da5e785cbbe19c654a0257e5a5daa343f7204c0dc2cd27570d7746e3,20,8,312,1146,11,9,15378,logs/v2_argmax_w672_s0.abc.log,logs/v2_argmax_w672_s0.cec.log
v2_argmax_w672_s1,argmax,672,160,1,0.8703703880310059,0.855555534362793,6ab01b67cd444e4a50e85c7766be91d268876ee1d7fa13f8d5c2decaca031f20,blif/v2_argmax_w672_s1.blif,257,True,320,5120,224,6144,1.2,0.3806640625,0.0,0.040625,0.046875,0.134375,0.778125,0.0,0.040625,0.05625,0.14375,0.759375,0.0078125,1949,1923,31208,ab6c2bfb6536f0abead21ab21aa24f998039e1c2f68498b6d03b4efc4a84e2aa,320,1270,1923,2,1818,12,1138,8,0.3740374037403741,313,1158,3,0.021874999999999978,0.08678160794079304,True,optimized_blif/v2_argmax_w672_s1.dc2_k4.blif,21520,60ba15314bee525885e0265158e75fe5afe0b3481129f753143c1e917d0e79d7,20,8,313,1158,11,9,15502,logs/v2_argmax_w672_s1.abc.log,logs/v2_argmax_w672_s1.cec.log
v2_argmax_w672_s2,argmax,672,160,2,0.8740741014480591,0.8481481671333313,dda21c67d4c210910b8f0f2f997d9ffd62b636b76389aae63ede3a3a434a5b48,blif/v2_argmax_w672_s2.blif,257,True,320,5120,219,6064,1.184375,0.38359375,0.0,0.0625,0.0625,0.1125,0.7625,0.0,0.0625,0.065625,0.11875,0.753125,0.003125,1964,1954,31525,6fba12df49b8c2179cba0cc040b36d0cff55ec537504a02a9ed770b8cb6e460b,320,1276,1954,2,1805,11,1112,10,0.3839335180055402,301,1114,3,0.059374999999999956,0.0848877418320626,True,optimized_blif/v2_argmax_w672_s2.dc2_k4.blif,21004,4eff970056c6787cb1977d687ec5f5be82e38466d13d555c786fee987f2a07a7,20,8,301,1114,14,9,14914,logs/v2_argmax_w672_s2.abc.log,logs/v2_argmax_w672_s2.cec.log
v2_argmax_w832_s0,argmax,832,320,0,0.9259259104728699,0.9074074029922485,ffbc5fa57bfd8135fdbe966e990b54c2430648e22bf720360bc888609ba6de78,blif/v2_argmax_w832_s0.blif,257,True,640,10240,394,12064,1.178125,0.41689453125,0.0,0.0703125,0.0375,0.10625,0.7859375,0.0,0.0703125,0.0375,0.1109375,0.78125,0.002734375,4269,4249,64508,f7a32259189d47a78486bd95817f7fbd6de0a5b1365dd23bb079e1067808c56c,640,2553,4249,2,3908,12,2322,9,0.4058341862845445,582,2201,3,0.09062499999999996,0.1196939810179174,True,optimized_blif/v2_argmax_w832_s0.dc2_k4.blif,40792,99938ad243378dab965a0b23b8f4cc76f81523a8cabb019c9a9a6fca235aa357,20,8,582,2201,18,10,31402,logs/v2_argmax_w832_s0.abc.log,logs/v2_argmax_w832_s0.cec.log
v2_argmax_w832_s1,argmax,832,320,1,0.9074074029922485,0.8962963223457336,8f458cac8511e9199b98f015c067f77c41e4b0226520e42dc9096b318ad73760,blif/v2_argmax_w832_s1.blif,257,True,640,10240,399,12144,1.1859375,0.408203125,0.0,0.0546875,0.04375,0.115625,0.7859375,0.0,0.0546875,0.0453125,0.1171875,0.7828125,0.0015625,4180,4167,64043,a6498e1dba91670b716a4ba176bdfe3a49d6def56978cff1e51151abb043af43,640,2556,4167,2,3978,12,2368,10,0.4047259929612871,606,2288,3,0.05312499999999998,0.12629386293701828,True,optimized_blif/v2_argmax_w832_s1.dc2_k4.blif,41938,3f370826fd88f7e96842acdb525eab7caafc6f8fe7b0281e4fd5091cf1df258a,20,8,606,2288,16,10,32656,logs/v2_argmax_w832_s1.abc.log,logs/v2_argmax_w832_s1.cec.log
v2_argmax_w832_s2,argmax,832,320,2,0.9111111164093018,0.8888888955116272,c5e3029126c238cc432b69a2926cc92b39b00051691d9fa7413c6b85f85dc30f,blif/v2_argmax_w832_s2.blif,257,True,640,10240,381,11856,1.1578125,0.40966796875,0.0,0.0671875,0.03125,0.1140625,0.7875,0.0,0.06875,0.0390625,0.1203125,0.771875,0.006640625,4195,4139,63459,eeb4393d7f87ede85a7a3d8dee530cedecbb34216875e8f2adc2d23d13660d22,640,2543,4139,2,3810,12,2320,9,0.3910761154855643,600,2258,3,0.0625,0.1174476349260658,True,optimized_blif/v2_argmax_w832_s2.dc2_k4.blif,41217,40e8d974de0990d43eb1f24e3142d78984507dc4bf8bc4a3bf3a0a3216ba32c0,20,8,600,2258,21,10,32260,logs/v2_argmax_w832_s2.abc.log,logs/v2_argmax_w832_s2.cec.log
v2_truth_w672_s0,truth,672,160,0,0.885185182094574,0.8740741014480591,7e27bc6b46e3f461071caa81540fc7bd67e878307b5973e93a83f51c0743eb5a,blif/v2_truth_w672_s0.blif,257,True,320,5120,235,6320,1.234375,0.3880859375,0.0,0.040625,0.05625,0.15,0.753125,0.0,0.040625,0.0625,0.153125,0.74375,0.00546875,1987,1966,31492,6af885406396f4d7bddab48496188a2893aa2c2d23a41d0cc52f7d6054a3f19d,320,1273,1966,2,1862,12,1152,8,0.38131041890440387,321,1177,3,-0.0031250000000000444,0.09271149197593331,True,optimized_blif/v2_truth_w672_s0.dc2_k4.blif,21780,3ee4ef2593760825a42517edafa0d192e06aa30f207c320b886d1bff3445691d,20,8,321,1177,12,9,15801,logs/v2_truth_w672_s0.abc.log,logs/v2_truth_w672_s0.cec.log
v2_truth_w672_s1,truth,672,160,1,0.8740741014480591,0.8444444537162781,688e601d634022499b314e9244c75e1afcb430ae1ddf8a4697885becdb7b8919,blif/v2_truth_w672_s1.blif,257,True,320,5120,240,6400,1.25,0.3796875,0.0,0.034375,0.028125,0.134375,0.803125,0.0,0.034375,0.028125,0.146875,0.790625,0.00546875,1944,1921,31275,17b956075bed9d6449d1f5bc28c9612b141e4a85146e71f3c3acf48054e303f0,320,1273,1921,2,1912,12,1194,9,0.37552301255230125,314,1177,3,0.018750000000000044,0.09536580997519195,True,optimized_blif/v2_truth_w672_s1.dc2_k4.blif,21808,eb5df6101fbd858dcc88c64fa55d084439c37c1696f3a7f37ba8506fd99a3dd8,20,8,314,1177,12,9,15689,logs/v2_truth_w672_s1.abc.log,logs/v2_truth_w672_s1.cec.log
v2_truth_w672_s2,truth,672,160,2,0.8444444537162781,0.8333333134651184,8d7a7437de29e6b2d73e98cee8f40dabf88c734dbdb7ecf5bdf5b7e7e924278d,blif/v2_truth_w672_s2.blif,257,True,320,5120,221,6096,1.190625,0.381640625,0.0,0.065625,0.05625,0.109375,0.76875,0.0,0.065625,0.0625,0.115625,0.75625,0.0046875,1954,1940,31244,a71439690e1a17b78b739691fe98a7fbd000350082f449a4d9d4705d727262f9,320,1274,1940,2,1756,11,1085,8,0.3821184510250569,299,1107,3,0.06562500000000004,0.09244792605750263,True,optimized_blif/v2_truth_w672_s2.dc2_k4.blif,20695,f7aec8119b2ece089915dd42d50ed7a7d85de3d0761263f94cefa0b5a5e9cf76,20,8,299,1107,15,9,14819,logs/v2_truth_w672_s2.abc.log,logs/v2_truth_w672_s2.cec.log
v2_truth_w832_s0,truth,832,320,0,0.8925926089286804,0.8740741014480591,9a8ddd0ef1e582742e135419a68c808de17d79acc6ced4dd843728b8c85e7b0d,blif/v2_truth_w832_s0.blif,257,True,640,10240,419,12464,1.2171875,0.4076171875,0.0,0.0453125,0.034375,0.1078125,0.8125,0.0,0.0453125,0.0390625,0.115625,0.8,0.005078125,4174,4136,63688,f61681c5e2134420b13f2b6feae66fcda4f349f0c1f06266f22f380d386efafa,640,2547,4136,2,4028,12,2410,9,0.4016881827209533,618,2331,3,0.034375000000000044,0.12199397501535714,True,optimized_blif/v2_truth_w832_s0.dc2_k4.blif,42642,c361ea977d59e5f8538dc021e71a07b55eb72f5da7d1e8e5a98f1619ca26790a,20,8,618,2331,17,10,33278,logs/v2_truth_w832_s0.abc.log,logs/v2_truth_w832_s0.cec.log
