mode,state_bits,vote_bits,seeds,original_lut4_count,raw_truth_bits,original_lut_wiring_payload_bits,unique_truth_tables_mean,truth_dictionary_ratio_mean,support_4_ratio_mean,support_le_2_ratio_mean,duplicate_source_slot_ratio_mean,abc_strash_and_mean,abc_dc2_and_mean,abc_dc2_and_reduction_mean,abc_lut4_nodes_mean,abc_lut4_reduction_vs_original_mean,abc_lut4_levels_mean,abc_lut4_fanout_max,abc_k4_logical_payload_bits_mean,abc_k4_payload_reduction_vs_original_mean,abc_runtime_s_mean,cec_equivalent_runs
argmax,672,160,3,320,5120,17920,218.66666666666666,1.1833333333333333,0.7645833333333334,0.10520833333333332,0.0049479166666666664,1823.6666666666667,1128.0,0.38144485270318357,308.6666666666667,0.03541666666666665,3.0,14,15264.666666666666,0.14817708333333335,0.08831472896660368,3
argmax,832,320,3,640,10240,35840,391.3333333333333,1.1739583333333334,0.7864583333333334,0.1015625,0.003645833333333333,3898.6666666666665,2336.6666666666665,0.40054543157713196,596.0,0.06874999999999998,3.0,21,32106.0,0.10418526785714288,0.1211451596270005,3
truth,672,160,3,320,5120,17920,232.0,1.2249999999999999,0.775,0.09375,0.005208333333333333,1843.3333333333333,1143.6666666666667,0.37965062749392064,311.3333333333333,0.027083333333333348,3.0,15,15436.333333333334,0.1385974702380952,0.0935084093362093,3
truth,832,320,3,640,10240,35840,406.0,1.1968750000000001,0.7947916666666667,0.09114583333333334,0.00390625,3904.6666666666665,2359.3333333333335,0.3957213182838481,612.6666666666666,0.04270833333333335,3.0,17,32789.333333333336,0.08511904761904754,0.12420304166153073,3
wiring,672,160,3,320,5120,17920,232.0,1.2249999999999999,0.775,0.09375,0.005208333333333333,1843.3333333333333,1143.6666666666667,0.37965062749392064,311.3333333333333,0.027083333333333348,3.0,15,15436.333333333334,0.1385974702380952,0.09030685263375442,3
wiring,832,320,3,640,10240,35840,406.0,1.1968750000000001,0.7947916666666667,0.09114583333333334,0.00390625,3904.6666666666665,2359.3333333333335,0.3957213182838481,612.6666666666666,0.04270833333333335,3.0,17,32789.333333333336,0.08511904761904754,0.13098026361937323,3
