dataset,source_dataset_arg,seed,threshold_levels,input_dim,num_classes,b,head_type,width,layers,epochs,train_forward_mode,warmup_epochs,warmup_mode,lr,cosine_lr,weight_decay,label_smoothing,head_norm,include_input_in_concat,estimator,init,init_strength,soft_acc,soft_loss,hard_acc,hard_loss,acc_gap,loss_gap,best_soft_acc,best_soft_loss,best_epoch,final_train_loss,train_time,parameter_count,logic_parameter_count,head_parameter_count,unused_gate_ratio,fanout_max
digits,digits,0,1,64,10,3,groupsum,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.7333333333333333,0.8186636013454861,0.08444444444444445,6.067438151041666,0.6488888888888888,5.24877454969618,0.7333333333333333,0.8186636013454861,80,0.7623526644246527,24.46798349590972,25600,25600,0,0.23625,38
digits,digits,0,1,64,10,3,affine_groupsum,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.7444444444444445,0.80962646484375,0.08444444444444445,5.137356770833334,0.66,4.327730305989584,0.7444444444444445,0.80962646484375,80,0.7521534078901754,19.71851866110228,25620,25600,20,0.23625,38
digits,digits,0,1,64,10,3,final_linear,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9177777777777778,0.28291968451605903,0.9155555555555556,0.29926361083984376,0.0022222222222222365,0.01634392632378473,0.9177777777777778,0.28291968451605903,80,0.07871067641218592,9.37184358597733,35210,25600,9610,0.23625,38
digits,digits,0,1,64,10,3,concat_linear,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9,0.44423170301649306,0.9,0.45003319634331596,0.0,0.005801493326822893,0.9,0.44423170301649306,80,0.045438685145370146,2.1139643229544163,64778,25600,39178,0.23625,38
digits,digits,0,1,64,10,3,concat_mlp,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9377777777777778,0.3024231635199653,0.9355555555555556,0.2916444227430556,0.0022222222222222365,0.010778740776909712,0.9377777777777778,0.3024231635199653,80,0.0008013384003498479,2.314431669889018,6739338,25600,6713738,0.23625,38
digits,digits,0,1,64,10,3,input_linear,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9044444444444445,0.41105516221788196,0.9044444444444445,0.41105516221788196,0.0,0.0,0.9044444444444445,0.41105516221788196,80,0.3617936110576171,0.9881062968634069,26378,25600,778,0.23625,38
digits,digits,0,1,64,10,4,groupsum,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.7977777777777778,0.6715447319878473,0.12444444444444444,6.551920030381944,0.6733333333333333,5.880375298394097,0.7977777777777778,0.6715447319878473,80,0.544735997317894,33.23269320605323,51200,51200,0,0.184375,50
digits,digits,0,1,64,10,4,affine_groupsum,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.7955555555555556,0.6579124620225695,0.12222222222222222,5.628019205729166,0.6733333333333333,4.970106743706597,0.7955555555555556,0.6579124620225695,80,0.5300371702636005,27.832679150858894,51220,51200,20,0.184375,50
digits,digits,0,1,64,10,4,final_linear,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9177777777777778,0.28919277615017364,0.9,0.32321892632378474,0.01777777777777778,0.0340261501736111,0.9177777777777778,0.28919277615017364,80,0.06022413022423463,16.675651486963034,60810,51200,9610,0.184375,50
digits,digits,0,1,64,10,4,concat_linear,800,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9022222222222223,0.43486402723524303,0.9,0.4504505072699653,0.0022222222222222365,0.015586480034722239,0.9022222222222223,0.43486402723524303,80,0.04006544729029592,2.6639009029604495,90378,51200,39178,0.184375,50
