dataset,method,n_rows,path_acc_gap_mean,path_acc_gap_std,path_loss_gap_mean,path_loss_gap_std,hard_prefix_acc_mean,hard_prefix_acc_std,hard_prefix_loss_mean,hard_prefix_loss_std,elapsed_time_mean,elapsed_time_std,prefix_reaches_target_mean,prefix_reaches_target_std,argmax_refit_mse_mean,argmax_refit_mse_std,truth_refit_mse_mean,truth_refit_mse_std,refit_mse_delta_mean,refit_mse_delta_std,op_change_ratio_mean,op_change_ratio_std
cifar10_small,block_hard_refit,1,0.010000000000000009,0.0,425.27746875,0.0,0.164,0.0,516.1168125,0.0,2.1572594430763274,0.0,0.0,0.0,0.1805619258515071,0.0,0.16653443445335142,0.0,0.014027491398155678,0.0,0.6912500262260437,0.0
cifar10_small,block_relaxed,1,0.0040000000000000036,0.0,1026.4512529296876,0.0,0.112,0.0,1033.263625,0.0,0.7180912520270795,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
