dataset,method,comparison,n_rows,layer,prefix_depth,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
cifar10_small,block_hard_refit,full_soft_vs_discrete,1,0,1,0.4030505120754242,0.0,0.4999889135360718,0.0,0.16729716956615448,0.0,0.0,0.0,0.0,0.0,0.15312500298023224,0.0
cifar10_small,block_hard_refit,full_soft_vs_discrete,1,1,2,0.4594601094722748,0.0,0.6681585311889648,0.0,0.21457158029079437,0.0,0.242575004696846,0.0,0.0,0.0,0.3031249940395355,0.0
cifar10_small,block_hard_refit,full_soft_vs_discrete,1,2,3,0.4628736674785614,0.0,0.7001937627792358,0.0,0.21787220239639282,0.0,0.27386748790740967,0.0,0.0,0.0,0.4362500011920929,0.0
cifar10_small,block_hard_refit,path_soft_vs_discrete,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312500298023224,0.0,0.15312500298023224,0.0
cifar10_small,block_hard_refit,path_soft_vs_discrete,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031249940395355,0.0,0.3031249940395355,0.0
cifar10_small,block_hard_refit,path_soft_vs_discrete,1,2,3,0.40186402201652527,0.0,0.49999669194221497,0.0,0.16652101278305054,0.0,0.0,0.0,0.08500000089406967,0.0,0.4362500011920929,0.0
cifar10_small,block_relaxed,full_soft_vs_discrete,1,0,1,0.41781699657440186,0.0,0.6695802211761475,0.0,0.18206366896629333,0.0,0.17125624418258667,0.0,0.0,0.0,0.1237500011920929,0.0
cifar10_small,block_relaxed,full_soft_vs_discrete,1,1,2,0.46731019020080566,0.0,0.6920312643051147,0.0,0.22241875529289246,0.0,0.3092687427997589,0.0,0.0,0.0,0.22687500715255737,0.0
cifar10_small,block_relaxed,full_soft_vs_discrete,1,2,3,0.47084635496139526,0.0,0.7288839221000671,0.0,0.22589996457099915,0.0,0.33403998613357544,0.0,0.0,0.0,0.31437501311302185,0.0
cifar10_small,dlgn,full_soft_vs_discrete,1,0,1,0.40406668186187744,0.0,0.7168606519699097,0.0,0.1723862737417221,0.0,0.16350500285625458,0.0,0.0,0.0,0.109375,0.0
cifar10_small,dlgn,full_soft_vs_discrete,1,1,2,0.46627187728881836,0.0,0.6994684934616089,0.0,0.2214880883693695,0.0,0.30156999826431274,0.0,0.0,0.0,0.21375000476837158,0.0
cifar10_small,dlgn,full_soft_vs_discrete,1,2,3,0.4712064564228058,0.0,0.7315828204154968,0.0,0.22625595331192017,0.0,0.3324187397956848,0.0,0.0,0.0,0.29875001311302185,0.0
cifar10_small,dlgn_anneal,full_soft_vs_discrete,1,0,1,0.18052928149700165,0.0,0.7379810810089111,0.0,0.06104546785354614,0.0,0.0452749989926815,0.0,0.0,0.0,0.1081250011920929,0.0
cifar10_small,dlgn_anneal,full_soft_vs_discrete,1,1,2,0.28323566913604736,0.0,0.7912672758102417,0.0,0.11055801063776016,0.0,0.11427749693393707,0.0,0.0006249999860301614,0.0,0.21312500536441803,0.0
cifar10_small,dlgn_anneal,full_soft_vs_discrete,1,2,3,0.31986624002456665,0.0,0.9242628216743469,0.0,0.13565285503864288,0.0,0.1769387573003769,0.0,0.0,0.0,0.31187498569488525,0.0
cifar10_small,gumbel_st,full_soft_vs_discrete,1,0,1,0.4113079607486725,0.0,0.7004125714302063,0.0,0.17717064917087555,0.0,0.16614499688148499,0.0,0.0,0.0,0.10499999672174454,0.0
cifar10_small,gumbel_st,full_soft_vs_discrete,1,1,2,0.4677967131137848,0.0,0.6905624866485596,0.0,0.22280113399028778,0.0,0.3062887489795685,0.0,0.0,0.0,0.21437500417232513,0.0
cifar10_small,gumbel_st,full_soft_vs_discrete,1,2,3,0.4703696072101593,0.0,0.738082766532898,0.0,0.22565872967243195,0.0,0.33243250846862793,0.0,0.0,0.0,0.30687499046325684,0.0
cifar10_small,hard_st_cage,full_soft_vs_discrete,1,0,1,0.48547476530075073,0.0,0.6290885210037231,0.0,0.23740532994270325,0.0,0.37450623512268066,0.0,0.0,0.0,0.12062499672174454,0.0
cifar10_small,hard_st_cage,full_soft_vs_discrete,1,1,2,0.493573933839798,0.0,0.5716087222099304,0.0,0.24409762024879456,0.0,0.3909125030040741,0.0,0.0,0.0,0.2475000023841858,0.0
cifar10_small,hard_st_cage,full_soft_vs_discrete,1,2,3,0.49122342467308044,0.0,0.5679454803466797,0.0,0.24180451035499573,0.0,0.33588001132011414,0.0,0.0,0.0,0.4074999988079071,0.0
