block,head,router,aggregation,topk,examples,mean_overlap_with_full_attn_topk,mean_hard_routing_entropy_norm,mean_score_softmax_entropy_norm,mean_nonzero,mean_topk_mass,mean_max_weight,unique_selected_patch_ratio,selected_token_histogram,variant,block_setting,replace_blocks,topk_setting,seed
5,0,static,mean,4,2560,0.12314453125,0.3333333432674408,0.9975697994232178,4.0,1.0,0.25,0.0625,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 2560, 2560, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_mean,b5,5,4,0
5,1,static,mean,4,2560,0.2578125,0.3333333432674408,0.9864890575408936,4.0,1.0,0.25,0.0625,"[2560, 2560, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_mean,b5,5,4,0
5,2,static,mean,4,2560,0.019921875,0.3333333432674408,0.9882385730743408,4.0,1.0,0.25,0.0625,"[0, 0, 0, 0, 0, 0, 2560, 0, 0, 2560, 0, 0, 0, 2560, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_mean,b5,5,4,0
5,3,static,mean,4,2560,0.09482421875,0.3333333432674408,0.9624547958374023,4.0,1.0,0.25,0.0625,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 2560]",static_mean,b5,5,4,0
5,4,static,mean,4,2560,0.05341796875,0.3333333432674408,0.9873042702674866,4.0,1.0,0.25,0.0625,"[0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_mean,b5,5,4,0
5,5,static,mean,4,2560,0.038671875,0.3333333432674408,0.983921229839325,4.0,1.0,0.25,0.0625,"[2560, 0, 0, 2560, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_mean,b5,5,4,0
5,0,static,weighted,4,2560,0.053125,0.31064820289611816,0.9937033653259277,4.0,1.0,0.42789047956466675,0.0625,"[2560, 2560, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_weighted,b5,5,4,0
5,1,static,weighted,4,2560,0.2947265625,0.31868651509284973,0.99078369140625,4.0,1.0,0.3107547461986542,0.0625,"[0, 2560, 0, 0, 0, 0, 2560, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_weighted,b5,5,4,0
5,2,static,weighted,4,2560,0.026171875,0.30531349778175354,0.9893776774406433,4.0,1.0,0.406696081161499,0.0625,"[0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 2560, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_weighted,b5,5,4,0
5,3,static,weighted,4,2560,0.0609375,0.31408536434173584,0.9926679134368896,4.0,1.0,0.3458573818206787,0.0625,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 2560, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_weighted,b5,5,4,0
5,4,static,weighted,4,2560,0.0517578125,0.30810225009918213,0.9883079528808594,4.0,1.0,0.3958061635494232,0.0625,"[0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 2560, 2560, 0, 0, 0]",static_weighted,b5,5,4,0
5,5,static,weighted,4,2560,0.0599609375,0.31440606713294983,0.995537281036377,4.0,1.0,0.4202133119106293,0.0625,"[0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",static_weighted,b5,5,4,0
5,0,dynamic,mean,4,2560,0.15390625,0.3333333432674408,0.2279361218214035,4.0,1.0,0.25,1.0,"[50, 49, 70, 41, 34, 50, 104, 90, 66, 49, 47, 46, 96, 33, 62, 70, 29, 42, 105, 341, 788, 113, 35, 53, 34, 59, 576, 1372, 1186, 385, 199, 36, 32, 68, 427, 1150, 901, 344, 99, 17, 24, 49, 32, 71, 130, 106, 79, 25, 23, 20, 26, 25, 29, 29, 19, 15, 28, 31, 22, 18, 18, 24, 23, 26]",dynamic_mean,b5,5,4,0
5,1,dynamic,mean,4,2560,0.08017578125,0.3333333432674408,0.1867307037115097,4.0,1.0,0.25,1.0,"[34, 64, 364, 123, 85, 191, 434, 138, 23, 209, 80, 136, 153, 84, 257, 87, 40, 80, 81, 223, 367, 145, 80, 193, 36, 99, 213, 547, 409, 155, 210, 51, 49, 145, 251, 458, 405, 231, 134, 54, 84, 62, 90, 209, 233, 154, 123, 92, 149, 125, 125, 127, 167, 132, 65, 67, 181, 103, 127, 175, 159, 133, 104, 136]",dynamic_mean,b5,5,4,0
5,2,dynamic,mean,4,2560,0.0431640625,0.3333333432674408,0.1508628509938717,4.0,1.0,0.25,1.0,"[27, 8, 56, 29, 37, 66, 27, 18, 21, 24, 54, 89, 291, 53, 32, 3, 6, 42, 173, 451, 892, 86, 43, 11, 19, 118, 710, 1217, 951, 468, 223, 8, 16, 102, 435, 915, 616, 396, 120, 12, 3, 65, 81, 128, 219, 253, 97, 12, 9, 15, 28, 39, 55, 85, 29, 19, 27, 19, 58, 13, 14, 38, 46, 23]",dynamic_mean,b5,5,4,0
5,3,dynamic,mean,4,2560,0.04482421875,0.3333333432674408,0.25163096785545347,4.0,1.0,0.25,1.0,"[168, 100, 286, 227, 211, 289, 176, 37, 46, 162, 642, 298, 575, 347, 32, 83, 35, 57, 680, 567, 431, 371, 60, 132, 32, 114, 212, 227, 293, 268, 116, 69, 44, 80, 182, 237, 284, 176, 79, 52, 49, 44, 71, 98, 117, 95, 52, 74, 81, 106, 52, 56, 47, 58, 49, 27, 102, 68, 72, 112, 133, 55, 38, 107]",dynamic_mean,b5,5,4,0
