run,dataset,method,seed,abc_status,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,time_to_target,unused_gate_ratio,pre_gate_count,pre_depth,pre_fanout_max,abc_pre_nd,abc_pre_edge,abc_pre_cube,abc_pre_lev,abc_post_and,abc_post_lev,abc_and_reduction_vs_pre_nd,abc_level_delta_vs_pre_lev,abc_level_ratio_vs_pre_lev,accuracy_recomputed_after_abc,blif_path,abc_log_path
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,dlgn,0,ok,1.0,0.6953125,0.3046875,0.01609695702791214,97.69957733154297,97.68348037451506,5.166356713976711,-1.0,0.943359375,512,4,29,512,912,907,4,172,6,0.6640625,2.0,1.5,no,synthesis/majority9__dlgn__seed0.blif,synthesis/majority9__dlgn__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,dlgn_anneal,0,ok,0.9765625,0.8203125,0.15625,0.46944189071655273,50.80290985107422,50.333467960357666,5.799113387009129,-1.0,0.947265625,512,4,29,512,928,924,4,168,5,0.671875,1.0,1.25,no,synthesis/majority9__dlgn_anneal__seed0.blif,synthesis/majority9__dlgn_anneal__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,gumbel_st,0,ok,0.4609375,0.484375,0.0234375,37.30565643310547,159.47789001464844,122.17223358154297,5.354023443069309,-1.0,0.990234375,512,4,29,512,888,894,4,199,7,0.611328125,3.0,1.75,no,synthesis/majority9__gumbel_st__seed0.blif,synthesis/majority9__gumbel_st__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,block_relaxed,0,ok,0.640625,0.5,0.140625,0.6248279213905334,138.38954162597656,137.76471370458603,1.2519069381523877,-1.0,0.986328125,512,4,29,512,888,883,4,185,7,0.638671875,3.0,1.75,no,synthesis/majority9__block_relaxed__seed0.blif,synthesis/majority9__block_relaxed__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,block_hard_refit,0,ok,0.5390625,0.828125,0.2890625,36.971797943115234,22.737478256225586,14.234319686889648,1.3062001450452954,-1.0,0.984375,512,4,29,512,826,719,4,157,7,0.693359375,3.0,1.75,no,synthesis/majority9__block_hard_refit__seed0.blif,synthesis/majority9__block_hard_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,block_hard_task_refit,0,ok,0.5390625,0.71875,0.1796875,36.138641357421875,32.17204666137695,3.966594696044922,3.5914607089944184,-1.0,0.984375,512,4,29,512,786,695,4,79,5,0.845703125,1.0,1.25,no,synthesis/majority9__block_hard_task_refit__seed0.blif,synthesis/majority9__block_hard_task_refit__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,majority9,hard_st_cage,0,ok,0.5390625,0.8125,0.2734375,3.5789906978607178,22.71040153503418,19.131410837173462,5.704957850975916,-1.0,0.96875,512,4,29,512,858,850,4,117,6,0.771484375,2.0,1.5,no,synthesis/majority9__hard_st_cage__seed0.blif,synthesis/majority9__hard_st_cage__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,dlgn,0,ok,0.59375,0.453125,0.140625,1.3755781650543213,175.15162658691406,173.77604842185974,3.001425025984645,-1.0,0.97265625,512,4,32,512,896,887,4,176,8,0.65625,4.0,2.0,no,synthesis/parity8__dlgn__seed0.blif,synthesis/parity8__dlgn__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,dlgn_anneal,0,ok,0.28125,0.390625,0.109375,18.20343017578125,150.06497192382812,131.86154174804688,2.889283995842561,-1.0,0.982421875,512,4,32,512,904,889,4,184,6,0.640625,2.0,1.5,no,synthesis/parity8__dlgn_anneal__seed0.blif,synthesis/parity8__dlgn_anneal__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,gumbel_st,0,ok,0.40625,0.59375,0.1875,1.432034969329834,112.52165985107422,111.08962488174438,2.8654989760834724,-1.0,0.9921875,512,4,32,512,888,876,4,174,6,0.66015625,2.0,1.5,no,synthesis/parity8__gumbel_st__seed0.blif,synthesis/parity8__gumbel_st__seed0.abc.log
mind_gap_scaled_bool_abc_w128_d4_e120_s0_20260723,parity8,block_relaxed,0,ok,0.59375,0.484375,0.109375,0.6780531406402588,154.7633056640625,154.08525252342224,0.7105267229489982,-1.0,0.98046875,512,4,32,512,888,865,4,172,6,0.6640625,2.0,1.5,no,synthesis/parity8__block_relaxed__seed0.blif,synthesis/parity8__block_relaxed__seed0.abc.log
