dataset,method,n,n_abc_ok,accuracy_recomputed_after_abc,soft_acc_mean,discrete_acc_mean,acc_gap_mean,train_time_mean,unused_gate_ratio_mean,pre_gate_count_mean,pre_depth_mean,pre_fanout_max_mean,abc_pre_nd_mean,abc_pre_edge_mean,abc_pre_cube_mean,abc_pre_lev_mean,abc_post_and_mean,abc_post_lev_mean,abc_and_reduction_vs_pre_nd_mean,abc_level_delta_vs_pre_lev_mean,abc_level_ratio_vs_pre_lev_mean
majority9,dlgn,1,1,no,1.0,0.6953125,0.3046875,5.166356713976711,0.943359375,512.0,4.0,29.0,512.0,912.0,907.0,4.0,172.0,6.0,0.6640625,2.0,1.5
majority9,dlgn_anneal,1,1,no,0.9765625,0.8203125,0.15625,5.799113387009129,0.947265625,512.0,4.0,29.0,512.0,928.0,924.0,4.0,168.0,5.0,0.671875,1.0,1.25
majority9,gumbel_st,1,1,no,0.4609375,0.484375,0.0234375,5.354023443069309,0.990234375,512.0,4.0,29.0,512.0,888.0,894.0,4.0,199.0,7.0,0.611328125,3.0,1.75
majority9,block_relaxed,1,1,no,0.640625,0.5,0.140625,1.2519069381523877,0.986328125,512.0,4.0,29.0,512.0,888.0,883.0,4.0,185.0,7.0,0.638671875,3.0,1.75
majority9,block_hard_refit,1,1,no,0.5390625,0.828125,0.2890625,1.3062001450452954,0.984375,512.0,4.0,29.0,512.0,826.0,719.0,4.0,157.0,7.0,0.693359375,3.0,1.75
majority9,block_hard_task_refit,1,1,no,0.5390625,0.71875,0.1796875,3.5914607089944184,0.984375,512.0,4.0,29.0,512.0,786.0,695.0,4.0,79.0,5.0,0.845703125,1.0,1.25
majority9,hard_st_cage,1,1,no,0.5390625,0.8125,0.2734375,5.704957850975916,0.96875,512.0,4.0,29.0,512.0,858.0,850.0,4.0,117.0,6.0,0.771484375,2.0,1.5
parity8,dlgn,1,1,no,0.59375,0.453125,0.140625,3.001425025984645,0.97265625,512.0,4.0,32.0,512.0,896.0,887.0,4.0,176.0,8.0,0.65625,4.0,2.0
parity8,dlgn_anneal,1,1,no,0.28125,0.390625,0.109375,2.889283995842561,0.982421875,512.0,4.0,32.0,512.0,904.0,889.0,4.0,184.0,6.0,0.640625,2.0,1.5
parity8,gumbel_st,1,1,no,0.40625,0.59375,0.1875,2.8654989760834724,0.9921875,512.0,4.0,32.0,512.0,888.0,876.0,4.0,174.0,6.0,0.66015625,2.0,1.5
parity8,block_relaxed,1,1,no,0.59375,0.484375,0.109375,0.7105267229489982,0.98046875,512.0,4.0,32.0,512.0,888.0,865.0,4.0,172.0,6.0,0.6640625,2.0,1.5
parity8,block_hard_refit,1,1,no,0.59375,0.484375,0.109375,0.7564495271071792,0.982421875,512.0,4.0,32.0,512.0,792.0,677.0,4.0,128.0,5.0,0.75,1.0,1.25
parity8,block_hard_task_refit,1,1,no,0.40625,0.34375,0.0625,2.8712520031258464,0.986328125,512.0,4.0,32.0,512.0,766.0,655.0,4.0,56.0,4.0,0.890625,0.0,1.0
parity8,hard_st_cage,1,1,no,0.40625,0.328125,0.078125,2.8258301101159304,0.9921875,512.0,4.0,32.0,512.0,880.0,881.0,4.0,116.0,6.0,0.7734375,2.0,1.5
random_sparse10,dlgn,1,1,no,1.0,0.5859375,0.4140625,10.188174013979733,0.890625,512.0,4.0,26.0,512.0,920.0,894.0,4.0,238.0,7.0,0.53515625,3.0,1.75
random_sparse10,dlgn_anneal,1,1,no,1.0,0.80078125,0.19921875,11.390331944916397,0.873046875,512.0,4.0,26.0,512.0,926.0,902.0,4.0,236.0,7.0,0.5390625,3.0,1.75
random_sparse10,gumbel_st,1,1,no,0.515625,0.61328125,0.09765625,10.22606831905432,0.994140625,512.0,4.0,26.0,512.0,890.0,850.0,4.0,193.0,6.0,0.623046875,2.0,1.5
random_sparse10,block_relaxed,1,1,no,0.52734375,0.4765625,0.05078125,2.3757298830896616,0.984375,512.0,4.0,26.0,512.0,894.0,857.0,4.0,194.0,6.0,0.62109375,2.0,1.5
random_sparse10,block_hard_refit,1,1,no,0.484375,0.484375,0.0,2.4398697160650045,0.9921875,512.0,4.0,26.0,512.0,784.0,661.0,4.0,128.0,7.0,0.75,3.0,1.75
random_sparse10,block_hard_task_refit,1,1,no,0.484375,0.421875,0.0625,5.1417817960027605,0.994140625,512.0,4.0,26.0,512.0,720.0,605.0,4.0,55.0,5.0,0.892578125,1.0,1.25
random_sparse10,hard_st_cage,1,1,no,0.515625,0.91796875,0.40234375,10.276127520948648,0.8828125,512.0,4.0,26.0,512.0,882.0,849.0,4.0,142.0,7.0,0.72265625,3.0,1.75
