"variant","method","dataset","global_token_mode","soft_acc","discrete_acc","acc_gap","soft_loss","discrete_loss","loss_gap","train_time","epochs_to_target","unused_gate_ratio","activation_inactive_gate_ratio","gate_count","predicate_count","depth","fanout_max","best_discrete_acc","best_epoch","layer_gap_final_flip_ratio","gate_entropy","gate_confidence","bit_exact_verified"
"majority","bitstate_progressive_hard_st","cifar10","majority","0.1965","0.209","0.012499999999999983","2.183163116455078","2.167756271362305","0.015406845092773125","202.37114192399895","7","0.010349893942475319","0.001201923076923077","14976","3904","9","228","0.2105","7","0.273779296875","0.17404155433177948","0.9022246599197388","True"
"count_token","bitstate_progressive_hard_st","cifar10","learned_count","0.193","0.22","0.026999999999999996","2.1960286865234373","2.1035193939208985","0.09250929260253882","203.329584326013","4","0.010683760978281498","0.001936431623931624","14976","3904","9","228","0.226","8","0.27940521240234373","0.17703785002231598","0.8990699648857117","True"
