goal,status,evidence,note
Goal 0 LightLogic baseline,PASS,light_iwp_rows=7; malformed_rows=0,"Rows report continuous_acc, discrete_acc, acc_gap, utilization, gate count, parameter count, and train time."
LightLogic parameter reduction vs OP/DLGN,PASS,lightlogic_bool_seed0_goal012_sigmoid_v1/parity8/seed0 param_ratio=0.25; lightlogic_bool_seed0_goal012_sigmoid_v1/majority9/seed0 param_ratio=0.25; lightlogic_bool_seed0_goal012_sigmoid_v1/random_sparse10/seed0 param_ratio=0.25; lightlogic_bool_seed0_goal012_sinusoidal_v1/parity8/seed0 param_ratio=0.25; lightlogic_bool_seed0_goal012_sinusoidal_v1/majority9/seed0 param_ratio=0.25; lightlogic_bool_seed0_goal012_sinusoidal_v1/random_sparse10/seed0 param_ratio=0.25; lightlogic_digits_seed0_goal02_sinusoidal_v1/digits/seed0 param_ratio=0.25,"For two-input gates, IWP uses four truth-table parameters versus sixteen OP parameters."
Goal 1 annealing+entropy improves LightLogic gap without hurting hard accuracy,PARTIAL,lightlogic_bool_seed0_goal012_sigmoid_v1/parity8/seed0/sigmoid delta_gap=-0.125 delta_hard=-0.09375 delta_util=-1 util_ok=False; lightlogic_bool_seed0_goal012_sigmoid_v1/majority9/seed0/sigmoid delta_gap=-0.492188 delta_hard=0.03125 delta_util=-1 util_ok=False; lightlogic_bool_seed0_goal012_sigmoid_v1/random_sparse10/seed0/sigmoid delta_gap=-0.347656 delta_hard=-0.125 delta_util=-1 util_ok=False,Current sigmoid annealing evidence must be checked for collapse through gate_utilization.
Goal 2 ST/Gumbel-ST improves final hard LightLogic accuracy,PARTIAL,lightlogic_bool_seed0_goal012_sigmoid_v1/parity8/seed0/sigmoid best_st=light_iwp_st delta_hard=0 delta_gap=0 delta_util=0 util_ok=True; lightlogic_bool_seed0_goal012_sigmoid_v1/majority9/seed0/sigmoid best_st=light_iwp_st delta_hard=0 delta_gap=-0.195312 delta_util=0 util_ok=True; lightlogic_bool_seed0_goal012_sigmoid_v1/random_sparse10/seed0/sigmoid best_st=light_iwp_st delta_hard=0.285156 delta_gap=0 delta_util=-0.0195312 util_ok=True; lightlogic_bool_seed0_goal012_sinusoidal_v1/parity8/seed0/sinusoidal best_st=light_iwp_gumbel_st delta_hard=0 delta_gap=-0.15625 delta_util=0 util_ok=True; lightlogic_bool_seed0_goal012_sinusoidal_v1/majority9/seed0/sinusoidal best_st=light_iwp_st delta_hard=0.484375 delta_gap=-0.398438 delta_util=-0.0078125 util_ok=True; lightlogic_bool_seed0_goal012_sinusoidal_v1/random_sparse10/seed0/sinusoidal best_st=light_iwp_st delta_hard=0.125 delta_gap=0.191406 delta_util=-0.0449219 util_ok=True; lightlogic_digits_seed0_goal02_sinusoidal_v1/digits/seed0/sinusoidal best_st=light_iwp_st delta_hard=0.0511111 delta_gap=0.0577778 delta_util=-0.222656 util_ok=False,"This is same-architecture evidence against plain Light IWP, not a claim against tuned OP/DLGN."
Best current LightLogic-family hard accuracy is competitive with OP/DLGN,PARTIAL,lightlogic_bool_seed0_goal012_sigmoid_v1/parity8/seed0/sigmoid best_light=light_iwp delta_hard_vs_op=0.265625; lightlogic_bool_seed0_goal012_sigmoid_v1/majority9/seed0/sigmoid best_light=light_iwp_anneal delta_hard_vs_op=-0.351562; lightlogic_bool_seed0_goal012_sigmoid_v1/random_sparse10/seed0/sigmoid best_light=light_iwp_st delta_hard_vs_op=-0.0742188; lightlogic_bool_seed0_goal012_sinusoidal_v1/parity8/seed0/sinusoidal best_light=light_iwp delta_hard_vs_op=0.265625; lightlogic_bool_seed0_goal012_sinusoidal_v1/majority9/seed0/sinusoidal best_light=light_iwp_st delta_hard_vs_op=0.109375; lightlogic_bool_seed0_goal012_sinusoidal_v1/random_sparse10/seed0/sinusoidal best_light=light_iwp_st delta_hard_vs_op=-0.0234375; lightlogic_digits_seed0_goal02_sinusoidal_v1/digits/seed0/sinusoidal best_light=light_iwp_st delta_hard_vs_op=-0.00666667,A lower parameter count alone is not an accuracy win; inspect discrete_acc and acc_gap.
