run,source_commit,evaluation_split,dataset_archive_sha256,input_batch_sha256,probe_script_sha256,sample_indices_sha256,checkpoint_step,checkpoint_sha256,protocol_sha256,probe_images,attention_block,dim,heads,head_dim,xnor_width,selected_gap_mean,selected_gap_median,selected_gap_max,weight8_pct,weight4_pct,weight2_pct,weight1_pct,topk_boundary_tie_count_mean,topk_boundary_tie_gt1_pct,qkv_input_saturation_pct,weight_relative_rmse,weight_zero_pct,weight_saturation_pct,row_scale_exponent_mean,row_scale_exponent_min,row_scale_exponent_max
fdscale_d6e192_control_seed42,47e0250cdbeb327925891ec6cf6bd436eca35dbb,cifar10_train_first16_of_fixed_valid5000_seed20260711,6d958be074577803d12ecdefd02955f39262c83c16fe9348329d7fe0b5c001ce,523389b73e2f0fc3984c41b1a4d62af9a954ae1a3cb50925ef5d00d4550e826d,10c10b9298fc8abda8177b515bbc5193954cc9a68789c990431ade5107172886,bae6f408811d712eb8d885b6e93ddc0bcdc8b5a17985a35cca6a142e6f43caaa,50000,a16ddb2505d1d394653a372bc0f28895c1402cd5d24c51582974836af16095c2,b0389ebb920bea1125ccebfa87179eeea18b7d1c7b0fbc3433d5b82f8c1b22a9,16,0,192,6,32,224,2.360096,2,28,38.327324,37.377804,16.752804,7.542067,7.304167,96.266025,0.816306,0.038135,0.885107,0.915895,-9.862367,-11,-7
fdscale_d6e384_seed42,47e0250cdbeb327925891ec6cf6bd436eca35dbb,cifar10_train_first16_of_fixed_valid5000_seed20260711,6d958be074577803d12ecdefd02955f39262c83c16fe9348329d7fe0b5c001ce,523389b73e2f0fc3984c41b1a4d62af9a954ae1a3cb50925ef5d00d4550e826d,10c10b9298fc8abda8177b515bbc5193954cc9a68789c990431ade5107172886,bae6f408811d712eb8d885b6e93ddc0bcdc8b5a17985a35cca6a142e6f43caaa,50000,ca0120b860d510e1c2d81772e9b7add44f67ae594822852589533bf9bf048a8e,c5ac3b723126f00396c95909d96b9b20f7847e2991b02310ba9bb23fb89816ef,16,0,384,6,64,448,4.339223,4,36,25.825321,23.072917,20.757212,30.344551,3.078686,80.977565,1.400992,0.027906,0.989008,0.499667,-10.086733,-11,-6
