dataset,seed,k,calibration_mode,fixed_acc,calibrated_acc,delta_acc,fixed_gap,calibrated_gap,delta_gap,status
majority9,0,2,per_layer,0.6328125,0.6015625,-0.03125,0.3671875,0.3984375,0.03125,LOSS
majority9,0,2,per_neuron,0.6328125,0.734375,0.1015625,0.3671875,0.265625,-0.1015625,WIN
majority9,0,4,per_layer,0.59375,0.625,0.03125,0.40625,0.375,-0.03125,WIN
majority9,0,4,per_neuron,0.59375,0.5859375,-0.0078125,0.40625,0.4140625,0.0078125,LOSS
majority9,0,8,per_layer,0.5703125,0.515625,-0.0546875,0.4296875,0.484375,0.0546875,LOSS
majority9,0,8,per_neuron,0.5703125,0.515625,-0.0546875,0.4296875,0.484375,0.0546875,LOSS
majority9,0,16,per_layer,0.515625,0.515625,0.0,0.484375,0.484375,0.0,TIE
majority9,0,16,per_neuron,0.515625,0.515625,0.0,0.484375,0.484375,0.0,TIE
majority9,0,32,per_layer,0.5078125,0.5078125,0.0,0.4921875,0.4921875,0.0,TIE
majority9,0,32,per_neuron,0.5078125,0.5078125,0.0,0.4921875,0.4921875,0.0,TIE
parity8,0,2,per_layer,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,2,per_neuron,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,4,per_layer,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,4,per_neuron,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,8,per_layer,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,8,per_neuron,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,16,per_layer,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,16,per_neuron,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,32,per_layer,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
parity8,0,32,per_neuron,0.5,0.5,0.0,0.28125,0.28125,0.0,TIE
random_sparse10,0,2,per_layer,0.81640625,0.83203125,0.015625,0.18359375,0.16796875,-0.015625,WIN
random_sparse10,0,2,per_neuron,0.81640625,0.85546875,0.0390625,0.18359375,0.14453125,-0.0390625,WIN
random_sparse10,0,4,per_layer,0.859375,0.80859375,-0.05078125,0.140625,0.19140625,0.05078125,LOSS
random_sparse10,0,4,per_neuron,0.859375,0.8203125,-0.0390625,0.140625,0.1796875,0.0390625,LOSS
random_sparse10,0,8,per_layer,0.8359375,0.828125,-0.0078125,0.1640625,0.171875,0.0078125,LOSS
random_sparse10,0,8,per_neuron,0.8359375,0.8125,-0.0234375,0.1640625,0.1875,0.0234375,LOSS
random_sparse10,0,16,per_layer,0.80078125,0.80078125,0.0,0.19921875,0.19921875,0.0,TIE
random_sparse10,0,16,per_neuron,0.80078125,0.79296875,-0.0078125,0.19921875,0.20703125,0.0078125,LOSS
random_sparse10,0,32,per_layer,0.80078125,0.7890625,-0.01171875,0.19921875,0.2109375,0.01171875,LOSS
random_sparse10,0,32,per_neuron,0.80078125,0.79296875,-0.0078125,0.19921875,0.20703125,0.0078125,LOSS
