run,complete,progress_200k,best_valid_eval,best_test_eval,best_test_train,final_fulltrain_eval,log_size_bytes
h6_k8_defaulttemp_d6e192_aug_const_200k_20260630.log,True,200000,0.7913265228271484,0.7893497347831726,0.7546415328979492,0.9284,15701536
h6_k8_defaulttemp_d6e192_noaug_warmstay_200k_20260630.log,True,200000,0.7219387888908386,0.7192555665969849,0.6949678659439087,0.9415,15694367
h6_k8_defaulttemp_d6e192_noaug_20k_20260629.log,True,,0.7172233462333679,0.7157686352729797,0.6886546015739441,0.9313,1510321
h6_k8_defaulttemp_d6e192_noaug_const_200k_20260630.log,True,200000,0.7207549214363098,0.7153550386428833,0.6831744313240051,0.8765,15695707
h6_k4_defaulttemp_d6e192_noaug_const_200k_20260630.log,True,200000,0.7051299214363098,0.6892865300178528,0.655078113079071,0.9834,15628571
h6_k8_defaulttemp_d6e192_noaug_8k_20260629.log,True,,0.6733298897743225,0.676918625831604,0.6564797759056091,0.7934,612100
h6_k4_defaulttemp_d6e192_noaug_20k_20260629.log,True,,0.6706274151802063,0.6632122993469238,0.644399106502533,0.8762,1508764
h6_k8_T1_d6e192_noaug_20k_20260629.log,True,,0.6267139315605164,0.6176642775535583,0.6062270402908325,0.7576,1509091
h6_k4_T1_d6e192_noaug_8k_20260629.log,True,,0.6257055401802063,0.6120519042015076,0.5996668338775635,0.7598,612093
h6_k4_T1_d6e192_noaug_20k_20260629.log,True,,0.6281090974807739,0.6098116040229797,0.5891314744949341,0.9225,1508819
h6_k8_T1_d6e192_noaug_8k_20260629.log,True,,0.6107462048530579,0.6039924025535583,0.598276674747467,0.7174,612106
h6_k4_T1_d6e192_noaug_2k_20260629.log,True,,0.5143933296203613,0.5156365036964417,0.5105641484260559,0.5331,170313
h6_k15_d6e192_noaug_2k_20260629.log,True,,0.4848134517669678,0.48465070128440857,0.4864487648010254,0.4922,170318
h6_k8_defaulttemp_d6e192_noaug_2k_20260629.log,True,,0.4568239748477936,0.4657973349094391,0.46146026253700256,0.4721,170318
h6_k15_defaulttemp_d6e192_noaug_2k_20260629.log,True,,0.3988998532295227,0.40898436307907104,0.4093462824821472,0.4068,170318
h6_k31_d6e192_noaug_2k_20260629.log,True,,0.3852160573005676,0.3905790448188782,0.3857192099094391,0.3887,170313
h3_k15_d6e192_noaug_2k_20260629.log,True,,0.3446109890937805,0.35049402713775635,0.35128676891326904,0.3488,170316
h3_k15_defaulttemp_d6e192_noaug_2k_20260629.log,True,,0.2905731797218323,0.31321805715560913,0.31070199608802795,0.3052,170320
h3_k31_d6e192_noaug_2k_20260629.log,True,,0.2467394769191742,0.25184398889541626,0.25100529193878174,0.2488,170319
smoke_d2e96_k15.log,True,,,0.10041799396276474,0.10131369531154633,0.1,27497
_d6e192_noaug_2k_20260629.log,False,,,,,,4915
h6_k15_T1_d6e192_noaug_8k_20260629.log,False,,0.5565568804740906,,,,343265
