source_block_setting,variant,block_setting,topk,router,aggregation,soft_acc,hard_acc,hard_delta_vs_full_attention,cls_feature_cosine_vs_full_attention,mean_overlap_with_full_attn_topk,mean_hard_routing_entropy_norm,mean_score_softmax_entropy_norm
"b4,b5",static_weighted,"b4,b5",8,static,weighted,0.636,0.636,0.011700000000000044,0.4200244888663292,0.09892578125000001,0.4825977037350337,0.9921195755402247
"b4,b5",static_mean,"b4,b5",4,static,mean,0.6358,0.6358,0.011500000000000066,0.36229014545679095,0.06839192708333333,0.3333333432674408,0.9811551570892334
b5,static_weighted,b5,4,static,weighted,0.6308,0.6308,0.006500000000000061,0.29205685406923293,0.09111328125,0.3118736495574315,0.9917296469211578
b5,static_weighted,b5,8,static,weighted,0.6308,0.6308,0.006500000000000061,0.3458303168416023,0.13845214843749998,0.4878179281949997,0.9944992959499359
"b4,b5",static_mean,"b4,b5",8,static,mean,0.6258,0.6258,0.0015000000000000568,0.34158614575862883,0.14158935546875,0.5,0.9903641392787298
"b4,b5",full_attention,full_attention,-1,full_attention,,0.6243,0.6243,-0.0,1.0,1.0,1.0,1.0
b5,full_attention,full_attention,-1,full_attention,,0.6243,0.6243,-0.0,1.0,1.0,1.0,1.0
b5,static_mean,b5,16,static,mean,0.6233,0.6233,-0.0010000000000000009,0.3559597358107567,0.25963134765625,0.6666666865348816,0.9725387195746104
b5,static_weighted,b5,16,static,weighted,0.6233,0.6233,-0.0010000000000000009,0.2840282306075096,0.2563069661458333,0.6549967428048452,0.9915926158428192
"b4,b5",dynamic_weighted,"b4,b5",16,dynamic,weighted,0.6232,0.6232,-0.0010999999999999899,0.39992935955524445,0.2548441569010417,0.4512694661815961,0.5227121805151304
"b4,b5",static_weighted,"b4,b5",4,static,weighted,0.6216,0.6216,-0.0026999999999999247,0.2885937139391899,0.057470703124999994,0.31957711776097614,0.9948414415121078
"b4,b5",dynamic_weighted,"b4,b5",8,dynamic,weighted,0.6199,0.6199,-0.0043999999999999595,0.37675699442625044,0.15126139322916668,0.3125578343247374,0.40789468201498186
b5,static_mean,b5,4,static,mean,0.6191,0.6191,-0.005199999999999982,0.3341334745287895,0.09796549479166668,0.3333333432674408,0.984329620997111
"b4,b5",static_mean,"b4,b5",16,static,mean,0.6178,0.6178,-0.00649999999999995,0.3547750562429428,0.263128662109375,0.6666666865348816,0.9763889908790588
b5,dynamic_weighted,b5,8,dynamic,weighted,0.6169,0.6169,-0.007399999999999962,0.3393749833106995,0.14189453124999998,0.33239144024749595,0.4557859607040882
b5,dynamic_weighted,b5,4,dynamic,weighted,0.6145,0.6145,-0.00979999999999992,0.3085924208164215,0.06365559895833332,0.26305360148350393,0.5034266916414102
b5,static_mean,b5,8,static,mean,0.6144,0.6144,-0.00990000000000002,0.33570610731840134,0.15531412760416666,0.5,0.9911700884501139
"b4,b5",dynamic_mean,"b4,b5",4,dynamic,mean,0.6113,0.6113,-0.013000000000000012,0.4155055955052376,0.07045898437499999,0.3333333432674408,0.2109112209950884
b5,dynamic_mean,b5,4,dynamic,mean,0.6113,0.6113,-0.013000000000000012,0.3701783433556557,0.07247721354166665,0.3333333432674408,0.19693003781139853
b5,dynamic_weighted,b5,16,dynamic,weighted,0.6111,0.6111,-0.01319999999999999,0.3700964882969856,0.2694539388020833,0.472132001320521,0.5487838151554266
"b4,b5",dynamic_weighted,"b4,b5",4,dynamic,weighted,0.6088,0.6088,-0.015499999999999958,0.30336171984672544,0.0705810546875,0.27039416804909705,0.5347775890181462
"b4,b5",static_weighted,"b4,b5",16,static,weighted,0.6068,0.6068,-0.01749999999999996,0.28127986043691633,0.26913859049479166,0.6557711809873581,0.9922273953755697
b5,dynamic_mean,b5,8,dynamic,mean,0.5964,0.5964,-0.027899999999999925,0.3392617881298065,0.1194580078125,0.5,0.13586633962889513
"b4,b5",dynamic_mean,"b4,b5",8,dynamic,mean,0.5809,0.5809,-0.043399999999999994,0.33304010331630707,0.15764973958333334,0.5,0.13895622928005955
b5,dynamic_mean,b5,16,dynamic,mean,0.5506,0.5506,-0.07369999999999999,0.31299022138118743,0.26656901041666664,0.6666666865348816,0.12104601338505744
"b4,b5",dynamic_mean,"b4,b5",16,dynamic,mean,0.5197,0.5197,-0.10459999999999992,0.2954339668154716,0.24624837239583333,0.6666666865348816,0.13333712943519155
