run,step,validation_accuracy,train_loss,training_seconds_per_step,peak_allocated_gib,protocol_sha256,source_set_sha256,status
scalelogic_d12e384_h12_local4_seed42_50k,5000,0.5958,1.4690597057,0.4120154810,11.7572979927,fe9b968f3be661a3ed8cbf77649978774ba525afddf725fe79c127523ec37198,9e8af5d0bd8a42e3b3e913d6a94cbdb9f654c14f005c4db5e6697bb0c6997c94,intermediate
scalelogic_d12e384_h12_local4_seed42_50k,10000,0.6664,1.1959587336,0.5499736942,11.7559494972,fe9b968f3be661a3ed8cbf77649978774ba525afddf725fe79c127523ec37198,9e8af5d0bd8a42e3b3e913d6a94cbdb9f654c14f005c4db5e6697bb0c6997c94,intermediate_gpu_contention
