run_id,variant,dataset,depth,embed_dim,heads,patch_size,tokens,batch_size,steps,augment,learning_rate,logic_mlp_ratio,mixer,sctm_patch_path,teacher_hard_acc,teacher_soft_acc,teacher_gap,student_hard_acc,teacher_relaxed_trainpath_acc,peak_memory_mb,train_time_s,route_entropy_mean,unique_patch_ratio_mean,v_quant_error,bitplane_match_error,acc_saturation_ratio,acc_zero_ratio,classifier_margin_top1_top2,skip_mixer_acc,skip_logicffn_acc,weight_path_210,summary_path_210
sctm_long16k_d16_e1024_h32_aug,SCTM lowbit weighted,cifar-10,16,1024,32,4,65,128,,True,0.001,1.0,sctm_lowbit_weighted,local3x3,0.7192,0.7192,0.0,0.7192,0.7323,22510.03662109375,8182.137907981873,1.9246349121093747,0.997039794921875,,,,,,0.1,0.6578,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/summary.json
sctm_long16k_d12_e1536_h48_aug,SCTM lowbit weighted,cifar-10,12,1536,48,4,65,128,,True,0.001,1.0,sctm_lowbit_weighted,local3x3,0.7154,0.7154,0.0,0.7154,0.7379,25948.875,9787.280153751373,1.927029123263889,0.9976942274305557,,,,,,0.1,0.7012,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d12_e1536_h48_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d12_e1536_h48_k8_local3x3_aug_20260629/20260629_034723/summary.json
sctm_long16k_d20_e1024_h32_aug,SCTM lowbit weighted,cifar-10,20,1024,32,4,65,128,,True,0.001,1.0,sctm_lowbit_weighted,local3x3,0.7086,0.7086,0.0,0.7086,0.7359,27994.90380859375,10143.292127609253,1.92409369140625,0.9981201171875,,,,,,0.1,0.6745,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d20_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d20_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/summary.json
aux_vq4_long16k_d16_e1024_h32_aug,SCTM aux accum VQ4,cifar-10,16,1024,32,4,65,128,,True,0.001,1.0,sctm_aux_accum_vq4,local3x3,0.721,0.721,0.0,0.721,0.7331,22516.38037109375,8491.927465200424,1.92472177734375,0.99847412109375,1.4030178227002108,0.0,0.03132017822265625,0.0843822265625,2.4253565073013306,0.1,0.6177,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq4_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125113/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq4_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125113/summary.json
aux_vq3_long16k_d16_e1024_h32_aug,SCTM aux accum VQ3,cifar-10,16,1024,32,4,65,128,,True,0.001,1.0,sctm_aux_accum_vq3,local3x3,0.7288,0.7288,0.0,0.7288,0.7412,22516.38037109375,8651.990693330765,1.924565246582031,0.998809814453125,3.282167495051517,0.0,0.031841845703125,0.08295032348632812,2.2970195770263673,0.1,0.6352,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq3_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq3_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/summary.json
aux_bitplane_long16k_d16_e1024_h32_aug,SCTM aux accum bitplane,cifar-10,16,1024,32,4,65,128,,True,0.001,1.0,sctm_aux_accum_bitplane,local3x3,0.7099,0.7099,0.0,0.7099,0.7343,22516.38037109375,8778.332948446274,1.9241716674804688,0.9979248046875,3.2190008887761756,2.152326248816982e-07,0.03161588134765625,0.085672705078125,2.405291438102722,0.1,0.659,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_bitplane_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_bitplane_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/summary.json
aux8000_baseline_shift1,SCTM aux accum baseline shift1,cifar-10,6,192,6,4,65,128,,False,0.001,1.0,sctm_aux_accum,local3x3,0.6331,0.6331,0.0,0.6331,0.6431,1656.8955078125,550.9761283397675,1.9256490451388888,1.0,0.0,0.0,0.10396857638888889,0.10076293402777778,1.9452460408210754,0.1,0.5812,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/summary.json
aux8000_vq4,SCTM aux accum VQ4,cifar-10,6,192,6,4,65,128,,False,0.001,1.0,sctm_aux_accum_vq4,local3x3,0.6448,0.6448,0.0,0.6448,0.6492,1656.8955078125,565.0701115131378,1.925433420138889,1.0,0.2789498059558466,0.0,0.11247421875,0.09677144097222222,1.8314614474773407,0.1,0.5698,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq4_d6e192h6_20260629/20260629_123022/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq4_d6e192h6_20260629/20260629_123022/summary.json
aux8000_vq3,SCTM aux accum VQ3,cifar-10,6,192,6,4,65,128,,False,0.001,1.0,sctm_aux_accum_vq3,local3x3,0.6303,0.6303,0.0,0.6303,0.633,1656.8955078125,564.8778772354126,1.9251544704861112,1.0,0.6994540218562516,0.0,0.11828541666666667,0.095753125,1.7423517465591432,0.1,0.5287,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq3_d6e192h6_20260629/20260629_123022/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq3_d6e192h6_20260629/20260629_123022/summary.json
sctm2000_lowbit,SCTM lowbit weighted short,cifar-10,6,192,6,4,65,128,,False,0.001,1.0,sctm_lowbit_weighted,local3x3,0.5727,0.5727,0.0,0.5727,0.5761,1656.2978515625,133.32653617858887,1.9274431640625,1.0,,,,,,0.1,0.4079,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_lowbit_k8_local3x3_d6e192h6_20260629/20260629_032739/final_model.pt,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_lowbit_k8_local3x3_d6e192h6_20260629/20260629_032739/summary.json
