artifact,source,run_name,path_210,size_bytes,size_mb,modified_cst,committed_to_repo,reason_not_committed
attention-clean checkpoints,attention_clean_200k,all 200k runs,/home/spco/sow_linear/ViT-LGN_attention_clean_20260629,,,,no,no .pt/.pth/.ckpt/.safetensors files exist; runs used --no-save-checkpoints
final_model.pt,sctm_scale,aux_value_disc2000_baseline_shift1_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc2000_baseline_shift1_d6e192h6_20260629/20260629_121958/final_model.pt,4046402,3.859,2026-06-29 12:22:20,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc2000_vq3_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc2000_vq3_d6e192h6_20260629/20260629_121958/final_model.pt,4046402,3.859,2026-06-29 12:22:20,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc2000_vq4_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc2000_vq4_d6e192h6_20260629/20260629_121958/final_model.pt,4046402,3.859,2026-06-29 12:22:23,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc8000_baseline_shift1_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,4046402,3.859,2026-06-29 12:39:38,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc8000_vq3_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq3_d6e192h6_20260629/20260629_123022/final_model.pt,4046402,3.859,2026-06-29 12:39:52,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc8000_vq4_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_vq4_d6e192h6_20260629/20260629_123022/final_model.pt,4046402,3.859,2026-06-29 12:39:52,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc_long16k_bitplane_d16_e1024_h32_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_bitplane_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/final_model.pt,274234002,261.53,2026-06-29 15:17:43,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc_long16k_vq3_d16_e1024_h32_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq3_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125114/final_model.pt,274234002,261.53,2026-06-29 15:15:36,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,aux_value_disc_long16k_vq4_d16_e1024_h32_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc_long16k_vq4_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_125113/final_model.pt,274234002,261.53,2026-06-29 15:12:54,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_long16k_d12_e1536_h48_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d12_e1536_h48_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,459660338,438.366,2026-06-29 06:30:42,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_long16k_d16_e1024_h32_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d16_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,274233874,261.53,2026-06-29 06:03:56,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_long16k_d20_e1024_h32_k8_local3x3_aug_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_long16k_d20_e1024_h32_k8_local3x3_aug_20260629/20260629_034723/final_model.pt,342661042,326.787,2026-06-29 06:36:36,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d12_e1536_h48_k8_local3x3_aug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d12_e1536_h48_k8_local3x3_aug_8000_20260628/20260628_224424/final_model.pt,459660146,438.366,2026-06-29 01:05:28,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d12_e1536_h48_k8_local3x3_noaug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d12_e1536_h48_k8_local3x3_noaug_8000_20260628/20260628_151239/final_model.pt,459660146,438.366,2026-06-28 16:37:50,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d12_e2048_h64_k8_local3x3_aug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d12_e2048_h64_k8_local3x3_aug_8000_20260628/20260628_224424/final_model.pt,814177138,776.46,2026-06-29 02:16:52,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d12_e2048_h64_k8_local3x3_noaug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d12_e2048_h64_k8_local3x3_noaug_8000_20260628/20260628_151408/final_model.pt,814177138,776.46,2026-06-28 17:12:45,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d16_e1024_h32_k8_local3x3_aug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d16_e1024_h32_k8_local3x3_aug_8000_20260628/20260628_223147/final_model.pt,274233618,261.53,2026-06-28 23:39:46,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d16_e1024_h32_k8_local3x3_noaug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d16_e1024_h32_k8_local3x3_noaug_8000_20260628/20260628_151408/final_model.pt,274233618,261.53,2026-06-28 16:21:53,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d16_e1536_h48_k8_local3x3_aug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d16_e1536_h48_k8_local3x3_aug_8000_20260628/20260628_235723/final_model.pt,612618514,584.239,2026-06-29 01:46:22,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d16_e1536_h48_k8_local3x3_noaug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d16_e1536_h48_k8_local3x3_noaug_8000_20260628/20260628_151517/final_model.pt,612618514,584.239,2026-06-28 18:26:23,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d20_e1024_h32_k8_local3x3_aug_8000_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d20_e1024_h32_k8_local3x3_aug_8000_20260629/20260629_011319/final_model.pt,342660850,326.787,2026-06-29 02:37:43,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_d20_e1024_h32_k8_local3x3_noaug_8000_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_d20_e1024_h32_k8_local3x3_noaug_8000_20260628/20260628_224520/final_model.pt,342660850,326.787,2026-06-29 00:55:33,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_smoke_d12_e1536_h48_k8_b128_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_smoke_d12_e1536_h48_k8_b128_20260628/20260628_151115/final_model.pt,459660082,438.366,2026-06-28 15:11:24,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_smoke_d12_e2048_h64_k8_b128_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_smoke_d12_e2048_h64_k8_b128_20260628/20260628_151239/final_model.pt,814177074,776.46,2026-06-28 15:12:55,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_smoke_d16_e1024_h32_k8_b128_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_smoke_d16_e1024_h32_k8_b128_20260628/20260628_151239/final_model.pt,274233618,261.53,2026-06-28 15:12:49,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_smoke_d16_e1536_h48_k8_b128_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_smoke_d16_e1536_h48_k8_b128_20260628/20260628_151408/final_model.pt,612618514,584.239,2026-06-28 15:14:24,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,sctm_scale_smoke_d20_e1024_h32_k8_b128_20260628,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/sctm_scale_smoke_d20_e1024_h32_k8_b128_20260628/20260628_224424/final_model.pt,342660786,326.787,2026-06-28 22:44:36,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_lowbit_k8_local3x3_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_lowbit_k8_local3x3_d6e192h6_20260629/20260629_032739/final_model.pt,4046274,3.859,2026-06-29 03:29:56,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat3_s1_none_outproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat3_s1_none_outproj_d6e192h6_20260629/20260629_034039/final_model.pt,4046274,3.859,2026-06-29 03:43:10,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat4_s0_none_outproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat4_s0_none_outproj_d6e192h6_20260629/20260629_034039/final_model.pt,4046274,3.859,2026-06-29 03:43:14,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat4_s1_none_nooutproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat4_s1_none_nooutproj_d6e192h6_20260629/20260629_032739/final_model.pt,4046274,3.859,2026-06-29 03:30:08,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat4_s1_none_outproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat4_s1_none_outproj_d6e192h6_20260629/20260629_032739/final_model.pt,4046274,3.859,2026-06-29 03:30:11,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat4_s1_sign_outproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat4_s1_sign_outproj_d6e192h6_20260629/20260629_032739/final_model.pt,4046274,3.859,2026-06-29 03:30:16,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,short2000_sctm_sat6_s1_none_outproj_d6e192h6_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/short2000_sctm_sat6_s1_none_outproj_d6e192h6_20260629/20260629_034039/final_model.pt,4046274,3.859,2026-06-29 03:43:13,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_aux_accum_bitplane_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_aux_accum_bitplane_20260629/20260629_121541/final_model.pt,1417494,1.352,2026-06-29 12:15:47,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_aux_accum_vq3_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_aux_accum_vq3_20260629/20260629_121542/final_model.pt,1417494,1.352,2026-06-29 12:15:49,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_aux_accum_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_aux_accum_20260629/20260629_040204/final_model.pt,1417366,1.352,2026-06-29 04:02:12,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_aux_accum_clipfix_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_aux_accum_clipfix_20260629/20260629_040418/final_model.pt,1417430,1.352,2026-06-29 04:04:26,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_aux_accum_clsinit_fix_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_aux_accum_clsinit_fix_20260629/20260629_041831/final_model.pt,1417494,1.352,2026-06-29 04:18:37,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_sat_state_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_sat_state_20260629/20260629_032159/final_model.pt,1417302,1.352,2026-06-29 03:22:03,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_sat_state_noout_costfix_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_sat_state_noout_costfix_20260629/20260629_033627/final_model.pt,1119570,1.068,2026-06-29 03:36:30,no,large binary checkpoint; kept on 210
final_model.pt,sctm_scale,smoke_sctm_sat_state_reportfix_20260629,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/smoke_sctm_sat_state_reportfix_20260629/20260629_032341/final_model.pt,1417302,1.352,2026-06-29 03:23:44,no,large binary checkpoint; kept on 210
