family,run,model,seed,steps,trainable_shadow_parameters,method,final_validation_accuracy,best_validation_accuracy,control_run,delta_pp,forced_a_accuracy,hard_lut_flips,root_code_change,commit,protocol_sha256,result_sha256,evaluation_split,remote_result
base_standalone_legacy,full_discrete_w8a8_d6e192_seed42,d6_e192_h6_k8,42,50000,3562752,"legacy standalone Wmag7 A8 fixed score-gap RMS",0.7468,0.7482,,,,,,2984167c3b32aa0b3d85962c3cf1cbf9b5dc49bb,3e1ba64ea4a7e53af3a3563e2536269a07a2939654f9510d4690398a7cbdc8c5,5cf5092cd45b8eacfae8e9671c6f4b6a0f0e84c52956e23dab0d7e407123389f,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_20260713/runs/full_discrete_w8a8_d6e192_seed42/result.json
enhancement,fd_control_seed42,d6_e192_h6_k8,42,50000,3562752,"matched enhancement control",0.7530,0.7534,,,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,b862d2dcc6d74f10187e233c4c76003be0c01ef0526cbb3411da7a4488a15960,d8da134d8d2edc432e320eb43410b6dc700cfcc5d6419380fbc11070b5a6314d,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_control_seed42/result.json
enhancement,fd_group_lut_seed42,d6_e192_h6_k8,42,50000,3636480,"48-group 256-entry activation LUT",0.7312,0.7340,fd_control_seed42,-2.18,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,464469fc005773d1e42645286c994e4eae8988c17d47da939e37ab44c148d346,cff042d17b852305908be6b26e78830484134b95a1ef8e035766d985afc1045a,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_group_lut_seed42/result.json
enhancement,fd_learned_gap_seed42,d6_e192_h6_k8,42,50000,3565056,"per-head monotonic learned gap LUT",0.7406,0.7444,fd_control_seed42,-1.24,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,0a9dcff2cb8d12d8601e9c22dc9f62b239e546ca0060f74c42a83ea2ebf56d25,f70f6f0c5d69e906de4754ed933b852f3282d2c6c0a01eb3dc9e6df3251f85f0,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_learned_gap_seed42/result.json
enhancement,fd_local3_seed42,d6_e192_h6_k8,42,50000,3567936,"three repeated depthwise local branches",0.7514,0.7530,fd_control_seed42,-0.16,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,b967ce6e18edf6ee768315584be3d03ca6348b382aea2a3cfba338777d595e74,ceec0ac5b01dc9bfb9e228b3d46bd8b6536692ab71e02919f1335b1920d845a9,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_local3_seed42/result.json
enhancement,fd_logicexpert_seed42,d6_e192_h6_k8,42,50000,43719936,"two 1024-wide BitSlice LogicExperts",0.5380,0.5402,fd_control_seed42,-21.50,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,7a1db23ff16fc5f0530fb766d2f72a5ce0f486983ca0c43232cc2b861304d724,c9bae7175e2c9d1ef4037a0021da94938f07ec474c40e20dc95f365df20d1bb0,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_logicexpert_seed42/result.json
enhancement,fd_state_dynamic_seed42,d6_e192_h6_k8,42,50000,43724544,"dynamic two-bit state selected FFN",0.6068,0.6068,fd_control_seed42,-14.62,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,9c0eaf28c98c52b272b6136fd03e7130802dff1f8601c46f488820dd0860ef4f,269a9a0e8a89d901538f068945a8c045c0d36706c44c26c906fa74d157a74e5d,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_state_dynamic_seed42/result.json
enhancement,fd_state_script_seed42,d6_e192_h6_k8,42,50000,43724544,"script two-bit state selected FFN",0.6388,0.6388,fd_control_seed42,-11.42,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,a0da94c235850e8a70c818021069bdcf32dfa6255a6b2d148cf4b53bcacd5dca,1fa0a2df19c224281e6c9acb31261edbd1f105e1ea37200f81b43e12b5d1e9b7,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_state_script_seed42/result.json
enhancement,fd_state_static_seed42,d6_e192_h6_k8,42,50000,43724544,"static two-bit state selected FFN",0.6296,0.6296,fd_control_seed42,-12.34,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,56881ac6c2cde8b3e4a812673947bad2d5d708c0b71019feab495d5660252b81,da97233fb66ba1d353a7d90e59de596a5b26e3c4b5ebe1f2a6d0995dcfa14b65,cifar10_train_fixed_valid5000_seed20260711,/home/spco/sow_linear/learnable_logic_full_discrete_enhancements_20260713/runs/fd_state_static_seed42/result.json
scale,fdscale_d6e192_control_seed42,d6_e192_h6_k8,42,50000,3562752,"paired scale control",0.7530,0.7534,,,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,b0389ebb920bea1125ccebfa87179eeea18b7d1c7b0fbc3433d5b82f8c1b22a9,7b9dc285327020cf766cb0803381e15022e396f52f1451aee4cf5bcac6c85a45,cifar10_train_fixed_valid5000_seed20260711,/home/wangmeiqi/learnable_logic_full_discrete_scale_ablation_20260713/runs/fdscale_d6e192_control_seed42/result.json
scale,fdscale_d12e192_seed42,d12_e192_h6_k8,42,50000,7101696,"depth doubled",0.7610,0.7630,fdscale_d6e192_control_seed42,0.80,,,,47e0250cdbeb327925891ec6cf6bd436eca35dbb,84870cd0a52a37501e2a00dbc70bd5256b8d3a81dfd79efc4db2209b02207465,1179eb96fd68320d58d49f59409efdc8eee651734474644128294c3d4002ec84,cifar10_train_fixed_valid5000_seed20260711,/home/wangmeiqi/learnable_logic_full_discrete_scale_ablation_20260713/runs/fdscale_d12e192_seed42/result.json
