dataset,method,comparison,n_rows,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
digits,block_hard_refit,full_soft_vs_discrete,1,0.4622902572154999,0.0,0.643336296081543,0.0,0.21720866858959198,0.0,0.2525347173213959,0.0,0.0,0.0,0.690625011920929,0.0
digits,block_hard_refit,path_soft_vs_discrete,1,0.4010580778121948,0.0,0.4999085068702698,0.0,0.16642700135707855,0.0,0.0,0.0,0.3343749940395355,0.0,0.690625011920929,0.0
digits,block_hard_task_refit,full_soft_vs_discrete,1,0.468793123960495,0.0,0.671829342842102,0.0,0.22402238845825195,0.0,0.3030138909816742,0.0,0.0,0.0,0.9125000238418579,0.0
digits,block_hard_task_refit,path_soft_vs_discrete,1,0.3963690996170044,0.0,0.7737029790878296,0.0,0.16518695652484894,0.0,0.056513890624046326,0.0,0.7250000238418579,0.0,0.9125000238418579,0.0
digits,block_relaxed,full_soft_vs_discrete,1,0.46854498982429504,0.0,0.680027425289154,0.0,0.2237708419561386,0.0,0.30904167890548706,0.0,0.0,0.0,0.45625001192092896,0.0
digits,dlgn,full_soft_vs_discrete,1,0.46683627367019653,0.0,0.6633110046386719,0.0,0.22225724160671234,0.0,0.3011249899864197,0.0,0.0,0.0,0.25,0.0
digits,dlgn_anneal,full_soft_vs_discrete,1,0.22423599660396576,0.0,0.8298590779304504,0.0,0.08500044047832489,0.0,0.09406249970197678,0.0,0.0,0.0,0.15625,0.0
digits,gumbel_st,full_soft_vs_discrete,1,0.4683503210544586,0.0,0.6700419187545776,0.0,0.22472071647644043,0.0,0.3239791691303253,0.0,0.0,0.0,0.5062500238418579,0.0
digits,hard_st_cage,full_soft_vs_discrete,1,0.48946473002433777,0.0,0.574324369430542,0.0,0.24025613069534302,0.0,0.3287639021873474,0.0,0.0031250000465661287,0.0,0.43437498807907104,0.0
