dataset,method,n_rows,block,path_acc_gap_mean,path_acc_gap_std,path_loss_gap_mean,path_loss_gap_std,hard_prefix_acc_mean,hard_prefix_acc_std,hard_prefix_loss_mean,hard_prefix_loss_std,elapsed_time_mean,elapsed_time_std,prefix_reaches_target_mean,prefix_reaches_target_std,argmax_refit_mse_mean,argmax_refit_mse_std,truth_refit_mse_mean,truth_refit_mse_std,refit_mse_delta_mean,refit_mse_delta_std,op_change_ratio_mean,op_change_ratio_std
digits,block_hard_refit,1,0,0.41555555555555557,0.0,88.74423448350694,0.0,0.4111111111111111,0.0,91.63671875,0.0,0.7158584319986403,0.0,0.0,0.0,0.18208848267095162,0.0,0.16811609094729646,0.0,0.013972391723655164,0.0,0.690625011920929,0.0
digits,block_hard_refit,1,1,0.37111111111111117,0.0,94.653603515625,0.0,0.4444444444444444,0.0,97.61,0.0,1.3785711331292987,0.0,0.0,0.0,0.18189876622054726,0.0,0.16523803255986422,0.0,0.016660733660683047,0.0,0.737500011920929,0.0
digits,block_hard_refit,1,2,0.4022222222222222,0.0,118.16292154947917,0.0,0.3888888888888889,0.0,120.97526041666667,0.0,2.0371892331168056,0.0,0.0,0.0,0.18391559518058784,0.0,0.16970027795177883,0.0,0.014215317228809005,0.0,0.768750011920929,0.0
digits,block_hard_refit,1,3,0.45999999999999996,0.0,183.8034033203125,0.0,0.24444444444444444,0.0,186.3509375,0.0,2.696003183024004,0.0,0.0,0.0,0.18167136745178142,0.0,0.1664493319171015,0.0,0.015222035534679906,0.0,0.824999988079071,0.0
digits,block_hard_task_refit,1,0,0.5111111111111111,0.0,72.49531087239583,0.0,0.31555555555555553,0.0,75.38779513888889,0.0,1.1650838889181614,0.0,0.0,0.0,0.18209756910800934,0.0,0.1681220382452011,0.0,0.000719800591468811,0.0,0.815625011920929,0.0
digits,block_hard_task_refit,1,1,0.4555555555555556,0.0,64.72746419270834,0.0,0.3244444444444444,0.0,67.58235243055556,0.0,2.2549338219687343,0.0,0.0,0.0,0.18520893156528473,0.0,0.16752460598945618,0.0,0.00566469132900238,0.0,0.862500011920929,0.0
digits,block_hard_task_refit,1,2,0.48666666666666664,0.0,58.01474256727431,0.0,0.2511111111111111,0.0,59.434001736111114,0.0,3.39725322695449,0.0,0.0,0.0,0.18033739924430847,0.0,0.16766968369483948,0.0,0.008859425783157349,0.0,0.846875011920929,0.0
digits,block_hard_task_refit,1,3,0.36888888888888893,0.0,67.16172200520835,0.0,0.11777777777777777,0.0,69.67923177083334,0.0,4.543633232824504,0.0,0.0,0.0,0.17501501739025116,0.0,0.16009029746055603,0.0,0.009797856211662292,0.0,0.8687499761581421,0.0
digits,block_relaxed,1,0,0.6222222222222222,0.0,196.2343039279514,0.0,0.20444444444444446,0.0,199.12678819444446,0.0,0.6198400058783591,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
digits,block_relaxed,1,1,0.6511111111111112,0.0,315.4381203884549,0.0,0.16444444444444445,0.0,316.1746180555556,0.0,1.316391595872119,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
digits,block_relaxed,1,2,0.4,0.0,280.66590833875864,0.0,0.15333333333333332,0.0,282.0136284722222,0.0,1.9850404809694737,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
digits,block_relaxed,1,3,0.031111111111111117,0.0,404.0626098632813,0.0,0.10444444444444445,0.0,406.42663194444447,0.0,2.6830087988637388,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
