dataset,method,comparison,n_rows,layer,prefix_depth,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
digits,block_hard_refit,full_soft_vs_discrete,1,0,1,0.4039708077907562,0.0,0.5677209496498108,0.0,0.16809587180614471,0.0,6.944444521650439e-06,0.0,0.05937499925494194,0.0,0.3531250059604645,0.0
digits,block_hard_refit,full_soft_vs_discrete,1,1,2,0.4587339460849762,0.0,0.6340120434761047,0.0,0.21361474692821503,0.0,0.23374305665493011,0.0,0.0,0.0,0.48124998807907104,0.0
digits,block_hard_refit,full_soft_vs_discrete,1,2,3,0.46561741828918457,0.0,0.6537509560585022,0.0,0.22034889459609985,0.0,0.2819652855396271,0.0,0.0,0.0,0.5687500238418579,0.0
digits,block_hard_refit,full_soft_vs_discrete,1,3,4,0.4622902572154999,0.0,0.643336296081543,0.0,0.21720866858959198,0.0,0.2525347173213959,0.0,0.0,0.0,0.690625011920929,0.0
digits,block_hard_refit,path_soft_vs_discrete,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531250059604645,0.0,0.3531250059604645,0.0
digits,block_hard_refit,path_soft_vs_discrete,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48124998807907104,0.0,0.48124998807907104,0.0
digits,block_hard_refit,path_soft_vs_discrete,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687500238418579,0.0,0.5687500238418579,0.0
digits,block_hard_refit,path_soft_vs_discrete,1,3,4,0.4010580778121948,0.0,0.4999085068702698,0.0,0.16642700135707855,0.0,0.0,0.0,0.3343749940395355,0.0,0.690625011920929,0.0
digits,block_hard_task_refit,full_soft_vs_discrete,1,0,1,0.4173790216445923,0.0,0.8095883131027222,0.0,0.1815040558576584,0.0,0.12381944805383682,0.0,0.05937499925494194,0.0,0.49687498807907104,0.0
digits,block_hard_task_refit,full_soft_vs_discrete,1,1,2,0.46299126744270325,0.0,0.7150375247001648,0.0,0.2176712304353714,0.0,0.2468680590391159,0.0,0.0,0.0,0.699999988079071,0.0
digits,block_hard_task_refit,full_soft_vs_discrete,1,2,3,0.4638823866844177,0.0,0.6575347185134888,0.0,0.21865762770175934,0.0,0.24509721994400024,0.0,0.0,0.0,0.856249988079071,0.0
digits,block_hard_task_refit,full_soft_vs_discrete,1,3,4,0.468793123960495,0.0,0.671829342842102,0.0,0.22402238845825195,0.0,0.3030138909816742,0.0,0.0,0.0,0.9125000238418579,0.0
digits,block_hard_task_refit,path_soft_vs_discrete,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49687498807907104,0.0,0.49687498807907104,0.0
