comparison,baseline,candidate,validation_hard_acc_delta,training_hard_acc_delta,test_hard_acc_delta_report_only,acc_gap_delta,unused_gate_ratio_delta,class_zero_support_ratio_delta,gate_count_ratio,validation_scaling_success
routing_spatial_vs_mixed,mixed-v64-d2,spatial-v64-d2,0.01680000126361847,0.016022222222222243,0.014200001955032349,0.0013999995946884225,-0.005468750000000008,0.0,1.0,True
width_128_vs_64_d2,spatial-v64-d2,spatial-v128-d2,0.027400001883506775,0.04039999999999999,0.034299999475479126,0.0021999972581863425,0.007109375000000001,0.0,2.0,True
depth_4_vs_2_v128,spatial-v128-d2,spatial-v128-d4,0.0007999986410140991,0.006955555555555548,0.0034999996423721313,0.004200001358985905,0.0406640625,0.0,2.0,True
width_256_vs_128_d4,spatial-v128-d4,spatial-v256-d4,0.019199997186660767,0.026155555555555543,0.005399987101554871,-0.007599997186660767,0.010146484375,0.0,2.0,True
