method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
dlgn,digits,0,full_soft_vs_discrete,0,1,0.2398107349872589,0.7101927995681763,0.08147281408309937,0.06267361342906952,0.05937499925494194,0.16875000298023224
dlgn,digits,0,full_soft_vs_discrete,1,2,0.37228265404701233,0.6931041479110718,0.15210992097854614,0.13433332741260529,0.0,0.15000000596046448
dlgn,digits,0,full_soft_vs_discrete,2,3,0.4477892518043518,0.6608645915985107,0.20559512078762054,0.22413194179534912,0.0,0.19062499701976776
dlgn,digits,0,full_soft_vs_discrete,3,4,0.46683627367019653,0.6633110046386719,0.22225724160671234,0.3011249899864197,0.0,0.25
dlgn_anneal,digits,0,full_soft_vs_discrete,0,1,0.043808501213788986,0.6315255761146545,0.01536474283784628,0.01684027723968029,0.05937499925494194,0.15625
dlgn_anneal,digits,0,full_soft_vs_discrete,1,2,0.08993364870548248,0.742806613445282,0.03147092089056969,0.03237500041723251,0.0,0.11562500149011612
dlgn_anneal,digits,0,full_soft_vs_discrete,2,3,0.15692101418972015,0.7392115592956543,0.05534714087843895,0.05498611181974411,0.0,0.11562500149011612
dlgn_anneal,digits,0,full_soft_vs_discrete,3,4,0.22423599660396576,0.8298590779304504,0.08500044047832489,0.09406249970197678,0.0,0.15625
gumbel_st,digits,0,full_soft_vs_discrete,0,1,0.44823241233825684,0.6293082237243652,0.20597152411937714,0.2355833351612091,0.05937499925494194,0.30000001192092896
gumbel_st,digits,0,full_soft_vs_discrete,1,2,0.47623366117477417,0.6382735967636108,0.22927720844745636,0.33978471159935,0.0,0.390625
gumbel_st,digits,0,full_soft_vs_discrete,2,3,0.47615256905555725,0.6157330870628357,0.22951023280620575,0.3306388854980469,0.0,0.4781250059604645
gumbel_st,digits,0,full_soft_vs_discrete,3,4,0.4683503210544586,0.6700419187545776,0.22472071647644043,0.3239791691303253,0.0,0.5062500238418579
hard_st_cage,digits,0,full_soft_vs_discrete,0,1,0.44923242926597595,0.6258270740509033,0.21315446496009827,0.33799999952316284,0.05937499925494194,0.3187499940395355
hard_st_cage,digits,0,full_soft_vs_discrete,1,2,0.4757198393344879,0.6406945586204529,0.23012757301330566,0.36667361855506897,0.0,0.38749998807907104
hard_st_cage,digits,0,full_soft_vs_discrete,2,3,0.48022738099098206,0.6154003143310547,0.2325870543718338,0.33597221970558167,0.0,0.42500001192092896
hard_st_cage,digits,0,full_soft_vs_discrete,3,4,0.48946473002433777,0.574324369430542,0.24025613069534302,0.3287639021873474,0.0031250000465661287,0.43437498807907104
block_relaxed,digits,0,full_soft_vs_discrete,0,1,0.41806066036224365,0.6976301670074463,0.18218570947647095,0.17793749272823334,0.05937499925494194,0.3031249940395355
block_relaxed,digits,0,full_soft_vs_discrete,1,2,0.46866971254348755,0.6869020462036133,0.22352832555770874,0.3292847275733948,0.0,0.375
block_relaxed,digits,0,full_soft_vs_discrete,2,3,0.4726262390613556,0.6991714835166931,0.2272406667470932,0.32417359948158264,0.0,0.421875
block_relaxed,digits,0,full_soft_vs_discrete,3,4,0.46854498982429504,0.680027425289154,0.2237708419561386,0.30904167890548706,0.0,0.45625001192092896
block_hard_refit,digits,0,full_soft_vs_discrete,0,1,0.4039708077907562,0.5677209496498108,0.16809587180614471,6.944444521650439e-06,0.05937499925494194,0.3531250059604645
block_hard_refit,digits,0,full_soft_vs_discrete,1,2,0.4587339460849762,0.6340120434761047,0.21361474692821503,0.23374305665493011,0.0,0.48124998807907104
block_hard_refit,digits,0,full_soft_vs_discrete,2,3,0.46561741828918457,0.6537509560585022,0.22034889459609985,0.2819652855396271,0.0,0.5687500238418579
block_hard_refit,digits,0,full_soft_vs_discrete,3,4,0.4622902572154999,0.643336296081543,0.21720866858959198,0.2525347173213959,0.0,0.690625011920929
block_hard_refit,digits,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.3531250059604645,0.3531250059604645
block_hard_refit,digits,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.48124998807907104,0.48124998807907104
block_hard_refit,digits,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.5687500238418579,0.5687500238418579
block_hard_refit,digits,0,path_soft_vs_discrete,3,4,0.4010580778121948,0.4999085068702698,0.16642700135707855,0.0,0.3343749940395355,0.690625011920929
block_hard_task_refit,digits,0,full_soft_vs_discrete,0,1,0.4173790216445923,0.8095883131027222,0.1815040558576584,0.12381944805383682,0.05937499925494194,0.49687498807907104
block_hard_task_refit,digits,0,full_soft_vs_discrete,1,2,0.46299126744270325,0.7150375247001648,0.2176712304353714,0.2468680590391159,0.0,0.699999988079071
block_hard_task_refit,digits,0,full_soft_vs_discrete,2,3,0.4638823866844177,0.6575347185134888,0.21865762770175934,0.24509721994400024,0.0,0.856249988079071
block_hard_task_refit,digits,0,full_soft_vs_discrete,3,4,0.468793123960495,0.671829342842102,0.22402238845825195,0.3030138909816742,0.0,0.9125000238418579
block_hard_task_refit,digits,0,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.49687498807907104,0.49687498807907104
block_hard_task_refit,digits,0,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.699999988079071,0.699999988079071
block_hard_task_refit,digits,0,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.856249988079071,0.856249988079071
block_hard_task_refit,digits,0,path_soft_vs_discrete,3,4,0.3963690996170044,0.7737029790878296,0.16518695652484894,0.056513890624046326,0.7250000238418579,0.9125000238418579
