method,dataset,seed,block,block_epochs,global_epoch_end,elapsed_time,prefix_reaches_target,block_train_time,path_soft_acc,path_soft_loss,hard_prefix_acc,hard_prefix_loss,path_acc_gap,path_loss_gap,fit_source,fit_rows,argmax_refit_mse,truth_refit_mse,refit_mse_delta,op_change_ratio,task_fit_rows,task_validation_rows,selected_candidate,selection_mode,selected_refit_mse,selected_inactive_ratio,coordinate_updates,coordinate_passes,candidate_topk,teacher_validation_acc,teacher_validation_loss,argmax_validation_acc,argmax_validation_loss,argmax_local_mse,argmax_inactive_ratio,argmax_teacher_logit_mse,truth_table_refit_validation_acc,truth_table_refit_validation_loss,truth_table_refit_local_mse,truth_table_refit_inactive_ratio,truth_table_refit_teacher_logit_mse,task_coordinate_refit_validation_acc,task_coordinate_refit_validation_loss,task_coordinate_refit_local_mse,task_coordinate_refit_inactive_ratio,task_coordinate_refit_teacher_logit_mse
block_relaxed,digits,0,0,30,30,0.6198400058783591,0,0.6175385050009936,0.8266666666666667,2.8924842664930557,0.20444444444444446,199.12678819444446,0.6222222222222222,196.2343039279514,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,digits,0,1,30,60,1.316391595872119,0,0.6916587511077523,0.8155555555555556,0.7364976671006944,0.16444444444444445,316.1746180555556,0.6511111111111112,315.4381203884549,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,digits,0,2,30,90,1.9850404809694737,0,0.6621067200321704,0.5533333333333333,1.3477201334635416,0.15333333333333332,282.0136284722222,0.4,280.66590833875864,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_relaxed,digits,0,3,30,120,2.6830087988637388,0,0.6895386010874063,0.13555555555555557,2.3640220811631942,0.10444444444444445,406.42663194444447,0.031111111111111117,404.0626098632813,argmax_only,0,nan,nan,nan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,digits,0,0,30,30,0.7158584319986403,0,0.6427680440247059,0.8266666666666667,2.8924842664930557,0.4111111111111111,91.63671875,0.41555555555555557,88.74423448350694,sampled,1347,0.18208848267095162,0.16811609094729646,0.013972391723655164,0.690625011920929,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,digits,0,1,30,60,1.3785711331292987,0,0.5902155139483511,0.8155555555555556,2.956396484375,0.4444444444444444,97.61,0.37111111111111117,94.653603515625,sampled,1347,0.18189876622054726,0.16523803255986422,0.016660733660683047,0.737500011920929,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,digits,0,2,30,90,2.0371892331168056,0,0.5855367919430137,0.7911111111111111,2.8123388671875,0.3888888888888889,120.97526041666667,0.4022222222222222,118.16292154947917,sampled,1347,0.18391559518058784,0.16970027795177883,0.014215317228809005,0.768750011920929,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_refit,digits,0,3,30,120,2.696003183024004,0,0.5856181790586561,0.7044444444444444,2.5475341796875,0.24444444444444444,186.3509375,0.45999999999999996,183.8034033203125,sampled,1347,0.18167136745178142,0.1664493319171015,0.015222035534679906,0.824999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,
block_hard_task_refit,digits,0,0,30,30,1.1650838889181614,0,0.6708238448482007,0.8266666666666667,2.8924842664930557,0.31555555555555553,75.38779513888889,0.5111111111111111,72.49531087239583,sampled_train,1078,0.18209756910800934,0.1681220382452011,0.000719800591468811,0.815625011920929,1078,269,task_coordinate_refit,balanced,0.18137776851654053,0.503125011920929,177,1,8,0.8884758353233337,1.2668282985687256,0.18215613067150116,185.012451171875,0.18209756910800934,0.29374998807907104,51216.41796875,0.4312267601490021,82.11149597167969,0.1681220382452011,0.359375,57835.98046875,0.3828996419906616,60.75126266479492,0.18137776851654053,0.503125011920929,9228.583984375
block_hard_task_refit,digits,0,1,30,60,2.2549338219687343,0,0.5853711711242795,0.78,2.8548882378472222,0.3244444444444444,67.58235243055556,0.4555555555555556,64.72746419270834,sampled_train,1078,0.18520893156528473,0.16752460598945618,0.00566469132900238,0.862500011920929,1078,269,task_coordinate_refit,balanced,0.17954424023628235,0.7093750238418579,114,1,8,0.8289963006973267,1.133576512336731,0.11152416467666626,349.5411682128906,0.18520893156528473,0.59375,86308.125,0.36059480905532837,106.68978118896484,0.16752460598945618,0.6031249761581421,59679.16796875,0.34200742840766907,63.36384201049805,0.17954424023628235,0.7093750238418579,8580.8212890625
