method,dataset,seed,epoch,global_epoch,elapsed_time,soft_acc,discrete_acc,soft_loss,discrete_loss,native_acc,native_loss,selection_confidence,tau,block,block_elapsed_time
dlgn,parity8,0,1,1,0.887536980008008,0.59375,0.5,4.590538024902344,214.09500122070312,0.59375,4.590538024902344,0.2504616975784302,1.0,,
dlgn,parity8,0,2,2,0.9245336749881972,0.40625,0.515625,4.02931022644043,165.65748596191406,0.40625,4.02931022644043,0.25038403272628784,1.0,,
dlgn,parity8,0,3,3,0.9588810199929867,0.59375,0.5,1.937193512916565,214.09500122070312,0.59375,1.937193512916565,0.2503155767917633,1.0,,
dlgn,parity8,0,4,4,0.999772048991872,0.515625,0.46875,0.8294122219085693,217.20916748046875,0.515625,0.8294122219085693,0.25025999546051025,1.0,,
dlgn,parity8,0,5,5,1.0333444800053257,0.40625,0.4375,2.2469136714935303,212.54331970214844,0.40625,2.2469136714935303,0.25022464990615845,1.0,,
dlgn,parity8,0,6,6,1.0666504859982524,0.59375,0.4375,1.2367911338806152,212.54331970214844,0.59375,1.2367911338806152,0.2502070367336273,1.0,,
dlgn,parity8,0,7,7,1.1000592439959291,0.40625,0.4375,1.90436851978302,206.28250122070312,0.40625,1.90436851978302,0.2501956522464752,1.0,,
dlgn,parity8,0,8,8,1.133676514000399,0.59375,0.4375,0.7824609875679016,206.28250122070312,0.59375,0.7824609875679016,0.25018420815467834,1.0,,
dlgn,parity8,0,9,9,1.166823347011814,0.46875,0.4375,0.8710046410560608,206.28250122070312,0.46875,0.8710046410560608,0.25017911195755005,1.0,,
dlgn,parity8,0,10,10,1.2003142930043396,0.40625,0.4375,0.9874836206436157,206.28250122070312,0.40625,0.9874836206436157,0.2501731514930725,1.0,,
dlgn,parity8,0,11,11,1.241418137011351,0.578125,0.4375,0.7967744469642639,206.28250122070312,0.578125,0.7967744469642639,0.2501727342605591,1.0,,
dlgn,parity8,0,12,12,1.2733072520059068,0.40625,0.453125,1.5555808544158936,203.15750122070312,0.40625,1.5555808544158936,0.25018298625946045,1.0,,
dlgn,parity8,0,13,13,1.304608778009424,0.59375,0.453125,0.9183752536773682,203.15750122070312,0.59375,0.9183752536773682,0.2501875162124634,1.0,,
dlgn,parity8,0,14,14,1.3396733280096669,0.40625,0.453125,1.2754740715026855,198.47000122070312,0.40625,1.2754740715026855,0.25020158290863037,1.0,,
dlgn,parity8,0,15,15,1.370807589002652,0.5625,0.484375,0.744287371635437,182.8558349609375,0.5625,0.744287371635437,0.25022298097610474,1.0,,
dlgn,parity8,0,16,16,1.4020954169973265,0.40625,0.484375,1.1041078567504883,182.8558349609375,0.40625,1.1041078567504883,0.25025659799575806,1.0,,
dlgn,parity8,0,17,17,1.4334993950033095,0.578125,0.484375,0.7332010865211487,182.8558349609375,0.578125,0.7332010865211487,0.2502897381782532,1.0,,
dlgn,parity8,0,18,18,1.465289120998932,0.40625,0.484375,1.248835563659668,182.8558349609375,0.40625,1.248835563659668,0.25032806396484375,1.0,,
dlgn,parity8,0,19,19,1.4969813910138328,0.59375,0.515625,0.7998268604278564,192.26333618164062,0.59375,0.7998268604278564,0.25036102533340454,1.0,,
dlgn,parity8,0,20,20,1.5291604789963458,0.40625,0.515625,1.327012300491333,192.26333618164062,0.40625,1.327012300491333,0.2504083514213562,1.0,,
