method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats,activation_inactive_gate_ratio,hard_runtime_domain,hard_runtime_audit_operations,hard_runtime_floating_tensor_count
gumbel_st,random_sparse10,0,0.515625,0.61328125,0.09765625,39.64324188232422,112.93936920166016,73.29612731933594,0.515625,0.61328125,0.09765625,39.64324188232422,112.93936920166016,73.29612731933594,8.323723684996367,-1,-1.0,0.994140625,512,4,26,nan,nan,0,0.314453125,bool_int,39,0
hard_st_cage,random_sparse10,0,0.515625,0.91796875,0.40234375,30.462356567382812,9.426445007324219,21.035911560058594,0.91796875,0.91796875,0.0,9.426445007324219,9.426445007324219,0.0,8.17049265600508,-1,-1.0,0.8828125,512,4,26,nan,nan,0,0.353515625,bool_int,39,0
block_relaxed,random_sparse10,0,0.52734375,0.4765625,0.05078125,0.7641204595565796,187.1878662109375,186.42374575138092,0.52734375,0.4765625,0.05078125,0.7641204595565796,187.1878662109375,186.42374575138092,2.2880647019774187,-1,-1.0,0.984375,512,4,26,nan,nan,0,0.28515625,bool_int,39,0
block_hard_refit,random_sparse10,0,0.484375,0.484375,0.0,26.706695556640625,220.71664428710938,194.00994873046875,0.82421875,0.484375,0.33984375,1.822462797164917,220.71664428710938,218.89418148994446,2.3386874760035425,-1,-1.0,0.9921875,512,4,26,nan,nan,0,0.375,bool_int,39,0
block_hard_task_refit,random_sparse10,0,0.484375,0.421875,0.0625,49.054718017578125,47.4741096496582,1.5806083679199219,0.69921875,0.421875,0.27734375,2.45888090133667,47.4741096496582,45.01522874832153,4.593356783996569,-1,-1.0,0.994140625,512,4,26,nan,nan,0,0.4921875,bool_int,39,0
dlgn,parity8,1,0.328125,0.5,0.171875,0.9928411245346069,176.64913940429688,175.65629827976227,0.328125,0.5,0.171875,0.9928411245346069,176.64913940429688,175.65629827976227,2.454497213999275,-1,-1.0,0.966796875,512,4,32,nan,nan,0,0.28125,bool_int,39,0
dlgn_anneal,parity8,1,0.21875,0.46875,0.25,11.947989463806152,175.0,163.05201053619385,0.21875,0.46875,0.25,11.947989463806152,175.0,163.05201053619385,2.6185332419991028,-1,-1.0,0.97265625,512,4,32,nan,nan,0,0.248046875,bool_int,39,0
gumbel_st,parity8,1,0.515625,0.5,0.015625,14.198051452636719,150.04331970214844,135.84526824951172,0.515625,0.5,0.015625,14.198051452636719,150.04331970214844,135.84526824951172,2.5813246720063034,-1,-1.0,0.984375,512,4,32,nan,nan,0,0.353515625,bool_int,39,0
hard_st_cage,parity8,1,0.484375,0.546875,0.0625,8.605037689208984,89.19246673583984,80.58742904663086,0.546875,0.546875,0.0,89.19246673583984,89.19246673583984,0.0,2.5318680480122566,-1,-1.0,0.994140625,512,4,32,nan,nan,0,0.412109375,bool_int,39,0
block_relaxed,parity8,1,0.40625,0.46875,0.0625,0.7836201190948486,220.32333374023438,219.53971362113953,0.40625,0.46875,0.0625,0.7836201190948486,220.32333374023438,219.53971362113953,0.7191171110025607,-1,-1.0,0.978515625,512,4,32,nan,nan,0,0.294921875,bool_int,39,0
block_hard_refit,parity8,1,0.515625,0.46875,0.046875,11.818302154541016,118.83663940429688,107.01833724975586,0.453125,0.46875,0.015625,14.123794555664062,118.83663940429688,104.71284484863281,0.769744969002204,-1,-1.0,0.986328125,512,4,32,nan,nan,0,0.373046875,bool_int,39,0
block_hard_task_refit,parity8,1,0.484375,0.53125,0.046875,45.67326354980469,42.4257698059082,3.2474937438964844,0.421875,0.53125,0.109375,8.905712127685547,42.4257698059082,33.520057678222656,2.8633846439770423,-1,-1.0,0.982421875,512,4,32,nan,nan,0,0.478515625,bool_int,39,0
dlgn,majority9,1,1.0,0.65625,0.34375,0.008983493782579899,113.33540344238281,113.32641994860023,1.0,0.65625,0.34375,0.008983493782579899,113.33540344238281,113.32641994860023,4.078974156000186,-1,-1.0,0.9140625,512,4,29,nan,nan,0,0.23046875,bool_int,39,0
