dataset,method,n_rows,block,path_acc_gap_mean,path_acc_gap_std,path_loss_gap_mean,path_loss_gap_std,hard_prefix_acc_mean,hard_prefix_acc_std,hard_prefix_loss_mean,hard_prefix_loss_std,elapsed_time_mean,elapsed_time_std,prefix_reaches_target_mean,prefix_reaches_target_std,argmax_refit_mse_mean,argmax_refit_mse_std,truth_refit_mse_mean,truth_refit_mse_std,refit_mse_delta_mean,refit_mse_delta_std,op_change_ratio_mean,op_change_ratio_std
majority9,block_hard_refit,3,0,0.14583333333333334,0.07707629472369136,35.873488411307335,27.673253008016136,0.8203125,0.07694420157653206,36.255679766337074,27.65189949634851,0.3220518237600724,0.0021954417508882693,0.0,0.0,0.17176905586772287,0.00030679774404382946,0.15829241857863963,0.0011774239494405086,0.013476637289083252,0.001010142948351604,0.5078125,0.05122998847110938
majority9,block_hard_refit,3,1,0.18229166666666666,0.029577647634376425,52.54614861806234,16.655652601909253,0.7682291666666666,0.019661027175184243,53.940545399983726,16.799420495013077,0.6450974250522753,0.0036451738603604272,0.0,0.0,0.17380517272007032,0.0028478470339890144,0.1604961452637023,0.003998746248200911,0.013309027456368009,0.0011560679661024996,0.6223958333333334,0.027436598314720673
majority9,block_hard_refit,3,2,0.1484375,0.0546875,64.90247150262196,34.964765732518366,0.7369791666666666,0.04302789490067267,67.49304326375325,33.84670699087867,0.9756361110291133,0.006746138127559924,0.0,0.0,0.1710531904148714,0.0014702636064184977,0.15944078625761904,0.0034481014341308787,0.011612404157252362,0.004200513889529762,0.6927083333333334,0.018042195912175804
majority9,block_hard_refit,3,3,0.11197916666666667,0.050227347713504976,39.375528971354164,17.240840948898864,0.78125,0.04133986423538423,41.988454818725586,17.126436573383103,1.304381133057177,0.008324829491372436,0.0,0.0,0.17902249136629203,0.010031900141889868,0.16407176101347432,0.0056121289520342735,0.014950730352817724,0.004812986691070401,0.7161458333333334,0.08018127249135756
majority9,block_hard_task_refit,3,0,0.17447916666666666,0.023867581744561668,15.117772723237673,6.4622804873915225,0.7916666666666666,0.04577707247720559,15.499964078267416,6.6629199343681655,0.9196016662754118,0.041409387717024855,0.0,0.0,0.17176905771096548,0.00030679471877543906,0.15829241772492728,0.0011774227888809734,-0.0160490224758784,0.0025352692949669664,0.7057291666666666,0.009021097956087902
majority9,block_hard_task_refit,3,1,0.19270833333333334,0.01626301562082916,18.143334915240604,3.7104649468947426,0.7630208333333334,0.03252603124165832,19.143991470336914,3.857389215498221,1.8208527543271582,0.045829897490614044,0.0,0.0,0.17267236610253653,0.006191598519327254,0.15915972491105398,0.0034082557586130923,-0.015572691957155863,0.0020872658412100092,0.7994791666666666,0.011933790872280834
majority9,block_hard_task_refit,3,2,0.19270833333333334,0.009021097956087902,21.520620266596477,0.2223958733380777,0.7369791666666666,0.011933790872280834,23.3214906056722,0.4448027879853871,2.7252849709863463,0.04977318517065284,0.0,0.0,0.17400446037451425,0.004687820600283338,0.1607858290274938,0.004660377875559596,-0.014198020100593567,0.0025188241555968607,0.8125,0.013531646934131853
majority9,block_hard_task_refit,3,3,0.20833333333333334,0.08570043058283508,22.09463671843211,5.385971340358745,0.6770833333333334,0.05915529526875285,24.914676030476887,6.482300462529645,3.6343542266016207,0.0533505284861021,0.0,0.0,0.17425751189390817,0.005976618621560314,0.16029932598272958,0.0054892427617694904,-0.01065233846505483,0.007227496786455322,0.828125,0.015625
majority9,block_relaxed,3,0,0.23958333333333334,0.12410158914004016,82.49168458084266,58.36953112619099,0.7265625,0.12573028858930532,82.87387593587239,58.40345073038351,0.3022371236390124,0.0019105400921837223,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
majority9,block_relaxed,3,1,0.3489583333333333,0.07903120263277874,144.40721900761127,51.64722353105885,0.6067708333333334,0.05758683434243745,144.58721415201822,51.558929952482266,0.6096767069927106,0.003999795732434577,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
majority9,block_relaxed,3,2,0.13802083333333334,0.10834710449330584,112.50292320052783,59.55647712087705,0.6302083333333334,0.04510548978043951,113.09123229980469,59.3377025123252,0.9238974000327289,0.003980935853879786,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
majority9,block_relaxed,3,3,0.13802083333333334,0.1133036974885786,166.57844958702722,49.427957706125284,0.4869791666666667,0.029577647634376425,167.26331075032553,49.34512549061756,1.2436521050209801,0.005358625730614668,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0
parity8,block_hard_refit,3,0,0.041666666666666664,0.009021097956087902,122.18083135286967,31.469632536346438,0.4166666666666667,0.03252603124165832,129.25331115722656,34.54674262625142,0.18710891033212343,0.001112159070856341,0.0,0.0,0.1745264343044255,0.001261715406745795,0.16105502270511352,0.0019256536772544128,0.013471411599311978,0.001245246603671522,0.5338541666666666,0.03157384284630766
parity8,block_hard_refit,3,1,0.07291666666666667,0.018042195912175804,119.56808344523112,10.130486759419034,0.4635416666666667,0.03608439182435161,137.5866444905599,11.228294593958424,0.3759427872331192,0.0004642670073176247,0.0,0.0,0.1782057912350865,0.005657546506329126,0.16420057246674938,0.005744216049991447,0.014005218768337121,0.0014222867390910813,0.640625,0.06943901888527804
parity8,block_hard_refit,3,2,0.041666666666666664,0.05915529526875285,115.67793083190918,45.22004694460604,0.4427083333333333,0.06314768569261532,136.05663553873697,47.24045221556471,0.5652033479418606,0.0013099613173716902,0.0,0.0,0.18269730729419584,0.005266497291689,0.16666849870913816,0.004735194812976521,0.016028808585057657,0.0007493697989762058,0.7473958333333334,0.011933790872280834
