dataset,method,comparison,n_rows,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
majority9,block_hard_refit,full_soft_vs_discrete,3,0.47307631373405457,0.00408277804996143,0.6230041980743408,0.01135545659321002,0.22720995048681894,0.00392251819935383,0.3278401692708333,0.031162636550306277,0.0,0.0,0.4192708333333333,0.023867581744561668
majority9,block_hard_refit,path_soft_vs_discrete,3,0.3986855447292328,0.008123790678058778,0.4994590183099111,0.00044692626701011486,0.16445359587669373,0.005991887989262006,0.0,0.0,0.15885416666666666,0.01626301562082916,0.4192708333333333,0.023867581744561668
majority9,block_hard_task_refit,full_soft_vs_discrete,3,0.47475892305374146,0.001746734282315418,0.6265444358189901,0.019618232891848685,0.2288587341705958,0.0023945670057607224,0.3445841471354167,0.014415198042747743,0.0,0.0,0.5989583333333334,0.05542655378591865
majority9,block_hard_task_refit,path_soft_vs_discrete,3,0.41797078649202984,0.0011189974835239393,0.8297666907310486,0.026230776930531764,0.18504626055558523,0.0012513419890867938,0.11944580078125,0.0133056640625,0.234375,0.0078125,0.5989583333333334,0.05542655378591865
majority9,block_relaxed,full_soft_vs_discrete,3,0.47745785117149353,0.0028670327762334,0.661440889040629,0.019517065635012366,0.23157115777333578,0.0024163285383226344,0.3539021809895833,0.023616294237398038,0.0,0.0,0.4166666666666667,0.04302789490067267
majority9,dlgn,full_soft_vs_discrete,3,0.47880199551582336,0.0034761592680240547,0.6623534162839254,0.018263761474241892,0.2328972121079763,0.0028915518464974993,0.36419677734375,0.012907745089999673,0.0,0.0,0.3619791666666667,0.039322054350368486
majority9,dlgn_anneal,full_soft_vs_discrete,3,0.2924414873123169,0.008086583356124114,0.8107185562451681,0.012319930309697238,0.11731672038634618,0.004070243839984488,0.13179524739583334,0.020211240044860572,0.0,0.0,0.3072916666666667,0.03608439182435161
majority9,gumbel_st,full_soft_vs_discrete,3,0.4777622918287913,0.0037925167633319195,0.661329448223114,0.005647801504841268,0.23188564678033194,0.003266810925250719,0.36163330078125,0.018433829766613934,0.0,0.0,0.4427083333333333,0.004510548978043951
majority9,hard_st_cage,full_soft_vs_discrete,3,0.49327165881792706,0.0008225540213300163,0.556589663028717,0.008193178086895717,0.24381683766841888,0.0007955018931558402,0.3829549153645833,0.013645737504501291,0.010416666666666666,0.011933790872280834,0.5052083333333334,0.07507049638228945
parity8,block_hard_refit,full_soft_vs_discrete,3,0.4666525622208913,0.001463630346618059,0.6507580677668253,0.023735920653600792,0.2215308646361033,0.0010495641239586888,0.2809651692708333,0.02585365454950154,0.0,0.0,0.5364583333333334,0.011933790872280834
