variant,dim,depth,heads,head_dim,local_layers,parameters,steps,batch_size,training_examples_seen,final_validation_accuracy,best_validation_accuracy,best_step,elapsed_seconds,final_norm_saturation_ratio,all_norm_saturation_ratio,mean_gradient_clip_coefficient,protocol_sha256,source_set
d6_reference,192,6,6,32,0,3562752,50000,128,6400000,0.753,0.7534,40000,6239.248612227035,,,,b862d2dcc6d74f10187e233c4c76003be0c01ef0526cbb3411da7a4488a15960,legacy_scale_source
d12e192_depth_reference,192,12,6,32,0,7101696,50000,128,6400000,0.761,0.763,40000,14838.189028637018,,,,84870cd0a52a37501e2a00dbc70bd5256b8d3a81dfd79efc4db2209b02207465,legacy_scale_source
d12_local0,384,12,12,32,0,28359168,50000,128,6400000,0.708,0.7114,40000,20086.88402735116,0.025258910256410257,0.014377128846153846,0.29091757939278284,74116dda720e5299a729718a2c0f4eeaddfb579d2bb32b9fb57b93aeb9ea23c9,matched_d12_source
d12_local4,384,12,12,32,4,28372992,50000,128,6400000,0.7162,0.7168,45000,24227.729055121075,0.021259791666666666,0.013256054166666666,0.3142384710366018,fe9b968f3be661a3ed8cbf77649978774ba525afddf725fe79c127523ec37198,matched_d12_source
