variant,step,validation_accuracy,train_loss,next_learning_rate,final_norm_saturation_ratio,all_norm_saturation_ratio,unclipped_global_gradient_l2,gradient_clip_coefficient
d6_reference,5000,0.5774,1.4937938451766968,0.00029721386565846836,,,,
d6_reference,10000,0.6414,1.3269095420837402,0.0002805736835487436,,,,
d6_reference,15000,0.6836,1.119051218032837,0.00025060514318951,,,,
d6_reference,20000,0.6978,1.0054714679718018,0.000210489097692938,,,,
d6_reference,25000,0.7276,1.0860326290130615,0.00016448345373837076,,,,
d6_reference,30000,0.7388,0.8349175453186035,0.00011747123846013447,,,,
d6_reference,35000,0.7516,0.8076854348182678,7.444231621215771e-05,,,,
d6_reference,40000,0.7534,0.6730947494506836,3.996376565777091e-05,,,,
d6_reference,45000,0.7484,0.6196615695953369,1.7695131223209693e-05,,,,
d6_reference,50000,0.753,0.6040567755699158,1e-05,,,,
d12e192_depth_reference,5000,0.5952,1.443751335144043,0.00029721386565846836,,,,
d12e192_depth_reference,10000,0.6468,1.3230761289596558,0.0002805736835487436,,,,
d12e192_depth_reference,15000,0.6718,1.0535790920257568,0.00025060514318951,,,,
d12e192_depth_reference,20000,0.714,1.0307705402374268,0.000210489097692938,,,,
d12e192_depth_reference,25000,0.7316,1.0759962797164917,0.00016448345373837076,,,,
d12e192_depth_reference,30000,0.7488,0.9562802314758301,0.00011747123846013447,,,,
d12e192_depth_reference,35000,0.7558,0.9196168780326843,7.444231621215771e-05,,,,
d12e192_depth_reference,40000,0.763,0.7064198851585388,3.996376565777091e-05,,,,
d12e192_depth_reference,45000,0.759,0.7392709851264954,1.7695131223209693e-05,,,,
d12e192_depth_reference,50000,0.761,0.6043105125427246,1e-05,,,,
d12_local0,5000,0.5952,1.3796446323394775,0.00029721386565846836,0.10183688301282051,0.04095234903846154,2.6993978023529053,0.37045285755048846
d12_local0,10000,0.6506,1.1929174661636353,0.0002805736835487436,0.043406009615384614,0.022708404166666668,2.7825493812561035,0.3593825314848669
d12_local0,15000,0.668,1.1626791954040527,0.00025060514318951,0.033281097756410256,0.01822603173076923,3.3192567825317383,0.30127217152662894
d12_local0,20000,0.6888,1.04762864112854,0.000210489097692938,0.032547155448717946,0.01784404423076923,2.646512508392334,0.37785561903572734
d12_local0,25000,0.6878,1.236778974533081,0.00016448345373837076,0.02639943108974359,0.01593292596153846,4.6017842292785645,0.2173069689644714
d12_local0,30000,0.701,1.0322376489639282,0.00011747123846013447,0.02124206730769231,0.013351346474358974,3.3747661113739014,0.2963167433479254
d12_local0,35000,0.7084,1.0918562412261963,7.444231621215771e-05,0.019129407051282053,0.01219774423076923,4.183961391448975,0.23900788449814045
d12_local0,40000,0.7114,0.7993265390396118,3.996376565777091e-05,0.02226284455128205,0.013732214102564103,3.7577028274536133,0.2661199620614178
d12_local0,45000,0.7102,0.7229669094085693,1.7695131223209693e-05,0.0239153766025641,0.014264604487179488,4.682168960571289,0.2135761854911363
d12_local0,50000,0.708,0.6754242181777954,1e-05,0.025258910256410257,0.014377128846153846,3.7329459190368652,0.2678848699670257
d12_local4,5000,0.5958,1.469059705734253,0.00029721386565846836,0.10525967147435897,0.04194932243589743,3.4318652153015137,0.2913866500801643
d12_local4,10000,0.6664,1.1959587335586548,0.0002805736835487436,0.0342934375,0.019594266987179487,2.929072618484497,0.34140487070359127
d12_local4,15000,0.683,1.0755608081817627,0.00025060514318951,0.033318261217948716,0.018008777243589742,2.3256514072418213,0.429986870301904
d12_local4,20000,0.696,1.067804217338562,0.000210489097692938,0.028724054487179487,0.016699108333333334,2.474930763244629,0.4040515439055995
d12_local4,25000,0.6984,1.0901716947555542,0.00016448345373837076,0.02477167467948718,0.014383792307692309,3.538792848587036,0.2825821573074335
d12_local4,30000,0.7096,0.9734526872634888,0.00011747123846013447,0.017857091346153847,0.01233144967948718,3.02081561088562,0.3310363152786119
d12_local4,35000,0.7124,0.9456918835639954,7.444231621215771e-05,0.016652580128205127,0.011659788782051282,3.677969455718994,0.27188907905583304
d12_local4,40000,0.7162,0.8274144530296326,3.996376565777091e-05,0.0189610016025641,0.013156426602564103,3.7759108543395996,0.2648366907322571
d12_local4,45000,0.7168,0.680543839931488,1.7695131223209693e-05,0.019761233974358975,0.013391013782051282,3.554267406463623,0.2813518523759904
d12_local4,50000,0.7162,0.7274764776229858,1e-05,0.021259791666666666,0.013256054166666666,4.100734710693359,0.24385868062463315
