method,mode,dataset,state_bits,preserved_bits,vote_bits,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,test_soft_acc,test_discrete_acc,test_acc_gap,train_time_s,epochs_to_target,unused_gate_ratio,inactive_vote_ratio,vote_entropy,vote_joint_unique_ratio,gate_count,depth,fanout_max,hard_payload_bits,hard_payload_bytes_serialized,block0_pre_hard_acc,block0_post_hard_acc,block1_pre_hard_acc,block1_post_hard_acc,block0_fit_error,block1_fit_error,block0_address_coverage,block1_address_coverage,changed_truth_ratio,changed_wiring_ratio,audit_ops,payload_sha256,source_bundle_sha256,train_split_sha256,validation_split_sha256,test_split_sha256,evidence,trained_nondefault_wiring_ratio,trained_raw_input_source_ratio,trained_candidate_rank_mean,trained_candidate_rank_max,truth_change_from_initial_ratio
bitplane_lut_argmax,argmax,sklearn_digits,672,512,160,0,0.8740740740740741,0.8962963223457336,0.022222248271659528,1.0212278012876157,0.9807055592536926,0.04052224203392307,0.8555555555555555,0.855555534362793,2.1192762544863797e-08,17.221263521991204,6,0.01875,0.0,0.8469120264053345,1.0,320,2,7,24608,16757,0.8,0.8,0.8962962962962963,0.8962962962962963,0.3100736141204834,0.2448289692401886,0.0,0.0,0.0,0.0,224,a9be2593c760b520e79e0313c687c26858079fc6d35c198dd5f85c66683f924b,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w672_s0\result.json,0.70859375,0.5234375,6.1484375,15,0.2689453125
bitplane_lut_argmax,argmax,sklearn_digits,672,512,160,1,0.8740740740740741,0.8703703880310059,0.003703686043068255,1.0337840892650463,0.9827806353569031,0.051003453908143204,0.8555555555555555,0.855555534362793,2.1192762544863797e-08,16.00183077098336,8,0.01875,0.0,0.8539324998855591,1.0,320,2,8,24608,16757,0.8185185185185185,0.8185185185185185,0.8703703703703703,0.8703703703703703,0.3210819661617279,0.25001493096351624,0.0,0.0,0.0,0.0,224,6ab01b67cd444e4a50e85c7766be91d268876ee1d7fa13f8d5c2decaca031f20,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w672_s1\result.json,0.72109375,0.53515625,6.19140625,15,0.2712890625
bitplane_lut_argmax,argmax,sklearn_digits,672,512,160,2,0.8592592592592593,0.8740741014480591,0.014814842188799804,1.039253291377315,1.0020948648452759,0.037158426532039046,0.8481481481481481,0.8481481671333313,1.8985183203312772e-08,16.189310968999052,9,0.025,0.0,0.8621289134025574,1.0,320,2,10,24608,16757,0.8,0.8,0.8740740740740741,0.8740740740740741,0.3211963176727295,0.2596758306026459,0.0,0.0,0.0,0.0,224,dda21c67d4c210910b8f0f2f997d9ffd62b636b76389aae63ede3a3a434a5b48,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w672_s2\result.json,0.7234375,0.54921875,6.353125,15,0.251171875
bitplane_lut_argmax,argmax,sklearn_digits,832,512,320,0,0.9222222222222223,0.9259259104728699,0.0037036882506475965,0.7069139268663195,0.654370903968811,0.05254302289750845,0.9074074074074074,0.9074074029922485,4.4151589051466544e-09,18.8051538419968,6,0.0296875,0.0,0.848615825176239,1.0,640,2,12,44608,28021,0.8703703703703703,0.8703703703703703,0.9259259259259259,0.9259259259259259,0.31349197030067444,0.24615156650543213,0.0,0.0,0.0,0.0,224,ffbc5fa57bfd8135fdbe966e990b54c2430648e22bf720360bc888609ba6de78,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w832_s0\result.json,0.665234375,0.416015625,5.626171875,15,0.22548828125
bitplane_lut_argmax,argmax,sklearn_digits,832,512,320,1,0.9222222222222223,0.9074074029922485,0.014814819229973741,0.7489579942491319,0.6752309799194336,0.0737270143296983,0.8962962962962963,0.8962963223457336,2.6049437384934038e-08,18.989761892997194,5,0.015625,0.0,0.8529885411262512,1.0,640,2,10,44608,28021,0.8777777777777778,0.8777777777777778,0.9074074074074074,0.9074074074074074,0.3221534490585327,0.24854813516139984,0.0,0.0,0.0,0.0,224,8f458cac8511e9199b98f015c067f77c41e4b0226520e42dc9096b318ad73760,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w832_s1\result.json,0.652734375,0.407421875,5.5671875,15,0.2306640625
bitplane_lut_argmax,argmax,sklearn_digits,832,512,320,2,0.9148148148148149,0.9111111164093018,0.0037036984055131006,0.7063685099283854,0.6624418497085571,0.04392666021982827,0.8888888888888888,0.8888888955116272,6.622738357719982e-09,18.982158528000582,7,0.0140625,0.0,0.8527334332466125,1.0,640,2,11,44608,28021,0.8814814814814815,0.8814814814814815,0.9111111111111111,0.9111111111111111,0.3128480613231659,0.24839897453784943,0.0,0.0,0.0,0.0,224,c5e3029126c238cc432b69a2926cc92b39b00051691d9fa7413c6b85f85dc30f,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_argmax_w832_s2\result.json,0.684765625,0.420703125,5.877734375,15,0.22900390625
bitplane_lut_refit,truth,sklearn_digits,672,512,160,0,0.8962962962962963,0.885185182094574,0.011111114201722283,1.0119923909505208,0.9648955464363098,0.047096844514211034,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,15.869087978993775,7,0.015625,0.0,0.8365734815597534,1.0,320,2,7,24608,16757,0.8,0.774074074074074,0.9037037037037037,0.8851851851851852,0.31583136320114136,0.24110980331897736,0.65,0.726171875,0.029882811941206455,0.0,224,7e27bc6b46e3f461071caa81540fc7bd67e878307b5973e93a83f51c0743eb5a,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_truth_w672_s0\result.json,0.71484375,0.5296875,6.1296875,15,0.2779296875
bitplane_lut_refit,truth,sklearn_digits,672,512,160,1,0.8814814814814815,0.8740741014480591,0.0074073800334224504,1.0379731354890047,0.9977318644523621,0.040241271036642656,0.8444444444444444,0.8444444537162781,9.271833634194593e-09,16.830524674005574,8,0.01875,0.0,0.8589261770248413,1.0,320,2,8,24608,16757,0.8185185185185185,0.7851851851851852,0.8925925925925926,0.8740740740740741,0.3194361627101898,0.24963703751564026,0.71171875,0.76484375,0.03886718861758709,0.0,224,688e601d634022499b314e9244c75e1afcb430ae1ddf8a4697885becdb7b8919,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_truth_w672_s1\result.json,0.7171875,0.52578125,6.20703125,15,0.290234375
bitplane_lut_refit,truth,sklearn_digits,672,512,160,2,0.8518518518518519,0.8444444537162781,0.007407398135573784,1.055351878978588,1.0064880847930908,0.048863794185497245,0.8333333333333334,0.8333333134651184,1.9868214962137642e-08,15.872776608011918,9,0.03125,0.0,0.8662422895431519,1.0,320,2,10,24608,16757,0.8,0.7703703703703704,0.8629629629629629,0.8444444444444444,0.32070407271385193,0.2598995864391327,0.66328125,0.680078125,0.032031250186264515,0.0,224,8d7a7437de29e6b2d73e98cee8f40dabf88c734dbdb7ecf5bdf5b7e7e924278d,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_truth_w672_s2\result.json,0.73671875,0.57109375,6.503125,15,0.259765625
bitplane_lut_refit,truth,sklearn_digits,832,512,320,0,0.9074074074074074,0.8925926089286804,0.01481479847872702,0.6998324358904803,0.6534595489501953,0.04637288694028496,0.8740740740740741,0.8740741014480591,2.7373984967660192e-08,19.042382020008517,6,0.0203125,0.0,0.8555477261543274,1.0,640,2,12,44608,28021,0.8703703703703703,0.8444444444444444,0.9148148148148149,0.8925925925925926,0.3189215660095215,0.2445380985736847,0.6705078125,0.799609375,0.0458984375,0.0,224,9a8ddd0ef1e582742e135419a68c808de17d79acc6ced4dd843728b8c85e7b0d,b82f34623ed63c79925ae0b72fe732e24741efe2eff3f18f22dd595c81cc00b1,7915d96bf6a03320002f4ce06f5bbbcf74505519b8f74fed833c3e38533a8595,66fcad4b37ff6cd541a88e99e655b215a244425d60f5de8e668481832518d5ef,18340ddadb581a35260e9bf857a50e9ee3e922c4a7b11d41d17014522804150d,docs\repro\bitplane_lut_digits_v2_20260724\runs\v2_truth_w832_s0\result.json,0.6703125,0.409765625,5.640625,15,0.2482421875
