comparison,mode,state_bits,seed,validation_hard_acc_delta,test_hard_acc_delta,unused_gate_ratio_delta,inactive_vote_ratio_delta
scale_320_vs_160_votes,argmax,832-672,0,0.02962958812713623,0.051851868629455566,0.0109375,0.0
scale_320_vs_160_votes,argmax,832-672,1,0.037037014961242676,0.040740787982940674,-0.0031249999999999993,0.0
scale_320_vs_160_votes,argmax,832-672,2,0.037037014961242676,0.0407407283782959,-0.010937500000000001,0.0
scale_320_vs_160_votes,truth,832-672,0,0.007407426834106445,0.0,0.004687500000000001,0.0
scale_320_vs_160_votes,truth,832-672,1,0.025925874710083008,0.051851868629455566,0.0,0.0
scale_320_vs_160_votes,truth,832-672,2,0.04444444179534912,0.04444444179534912,-0.0078125,0.0
scale_320_vs_160_votes,wiring,832-672,0,0.007407426834106445,0.0,0.004687500000000001,0.0
scale_320_vs_160_votes,wiring,832-672,1,0.025925874710083008,0.051851868629455566,0.0,0.0
scale_320_vs_160_votes,wiring,832-672,2,0.04444444179534912,0.04444444179534912,-0.0078125,0.0
truth_vs_argmax,truth,672,0,-0.011111140251159668,0.018518567085266113,-0.0031249999999999993,0.0
wiring_vs_argmax,wiring,672,0,-0.011111140251159668,0.018518567085266113,-0.0031249999999999993,0.0
truth_vs_argmax,truth,672,1,0.0037037134170532227,-0.011111080646514893,0.0,0.0
wiring_vs_argmax,wiring,672,1,0.0037037134170532227,-0.011111080646514893,0.0,0.0
truth_vs_argmax,truth,672,2,-0.029629647731781006,-0.01481485366821289,0.006249999999999999,0.0
wiring_vs_argmax,wiring,672,2,-0.029629647731781006,-0.01481485366821289,0.006249999999999999,0.0
truth_vs_argmax,truth,832,0,-0.03333330154418945,-0.03333330154418945,-0.009374999999999998,0.0
wiring_vs_argmax,wiring,832,0,-0.03333330154418945,-0.03333330154418945,-0.009374999999999998,0.0
truth_vs_argmax,truth,832,1,-0.007407426834106445,0.0,0.0031249999999999993,0.0
wiring_vs_argmax,wiring,832,1,-0.007407426834106445,0.0,0.0031249999999999993,0.0
truth_vs_argmax,truth,832,2,-0.02222222089767456,-0.011111140251159668,0.009375,0.0
wiring_vs_argmax,wiring,832,2,-0.02222222089767456,-0.011111140251159668,0.009375,0.0
