dataset,method,comparison,n_rows,mean_abs_diff_mean,mean_abs_diff_std,max_abs_diff_mean,max_abs_diff_std,mse_mean,mse_std,binary_flip_ratio_mean,binary_flip_ratio_std,soft_inactive_ratio_mean,soft_inactive_ratio_std,hard_inactive_ratio_mean,hard_inactive_ratio_std
majority9,block_hard_refit,full_soft_vs_discrete,12,0.4472806627551715,0.035091915558356154,0.596750463048617,0.06239470457273381,0.20527462164560953,0.028909172955040356,0.21811930338541666,0.13704460581677652,0.0,0.0,0.310546875,0.10686678638361044
majority9,block_hard_refit,path_soft_vs_discrete,12,0.0996713861823082,0.18034559247986862,0.12486475457747777,0.22588892064487068,0.04111339896917343,0.07442080729088364,0.0,0.0,0.24544270833333334,0.0989591120882436,0.310546875,0.10686678638361044
majority9,block_hard_task_refit,full_soft_vs_discrete,12,0.4604417458176613,0.024795403833068084,0.7038628260294596,0.07479643321337275,0.2183729906876882,0.018561985876985695,0.2828928629557292,0.0850775802245737,0.0,0.0,0.396484375,0.1667669745794092
majority9,block_hard_task_refit,path_soft_vs_discrete,12,0.10449269662300746,0.18903500292092604,0.20744167268276215,0.37544274707845193,0.04626156513889631,0.08369202114742956,0.0298614501953125,0.054318509210953506,0.3053385416666667,0.11911102852084504,0.396484375,0.1667669745794092
majority9,block_relaxed,full_soft_vs_discrete,12,0.4547428786754608,0.031073467451074747,0.653317853808403,0.025086481557781613,0.21270507449905077,0.024873809468610914,0.2823944091796875,0.0789586846869444,0.0,0.0,0.3216145833333333,0.10448873033965157
majority9,dlgn,full_soft_vs_discrete,12,0.42968829969565075,0.06085379133669639,0.6576424638430277,0.0223497120626251,0.1954561211168766,0.0436804618642452,0.2527262369791667,0.10327279719749322,0.0,0.0,0.24088541666666666,0.09824867652262279
majority9,dlgn_anneal,full_soft_vs_discrete,12,0.18932783976197243,0.08574674958644635,0.7072043269872665,0.0927438226895024,0.0693945144303143,0.037506035150666986,0.06975809733072917,0.048291678613594714,0.0,0.0,0.20377604166666666,0.09009557921287066
majority9,gumbel_st,full_soft_vs_discrete,12,0.4605523000160853,0.023658921989767677,0.6516473442316055,0.024645481349597813,0.21717621137698492,0.01919078279273964,0.2917531331380208,0.0682911096453896,0.0,0.0,0.3177083333333333,0.1112029341622238
majority9,hard_st_cage,full_soft_vs_discrete,12,0.4878222967187564,0.006818591650801162,0.573120246330897,0.022998780049196893,0.23913207277655602,0.005639741565614162,0.3614501953125,0.02334327251776529,0.0026041666666666665,0.00693457316092652,0.3802083333333333,0.14734320521525945
parity8,block_hard_refit,full_soft_vs_discrete,12,0.4465325077374776,0.03188625307114744,0.6065515528122584,0.06675140141074513,0.20460632195075354,0.026575845183796496,0.20097859700520834,0.1252820718414882,0.0,0.0,0.3665364583333333,0.14628972231134327
parity8,block_hard_refit,path_soft_vs_discrete,12,0.09825074921051662,0.17778231570185657,0.12496255586544673,0.22606577360382304,0.04003315791487694,0.07248947518618021,0.0,0.0,0.2838541666666667,0.1148842467508716,0.3665364583333333,0.14628972231134327
parity8,block_hard_task_refit,full_soft_vs_discrete,12,0.4595229923725128,0.020684619907596808,0.7307208230098089,0.07167200523403203,0.21761381750305495,0.015518417391514926,0.27191162109375,0.07209967790076438,0.0,0.0,0.4427083333333333,0.19322272154978581
parity8,block_hard_task_refit,path_soft_vs_discrete,12,0.1017316182454427,0.1840659940722334,0.1956590712070465,0.35400691366924397,0.04374439145127932,0.0791708920875442,0.020843505859375,0.0381098007811942,0.349609375,0.1405115151303727,0.4427083333333333,0.19322272154978581
parity8,block_relaxed,full_soft_vs_discrete,12,0.4542411267757416,0.028234488421606273,0.6549283017714819,0.020735355289940527,0.2123455877105395,0.022924087593238593,0.281005859375,0.07145147954832355,0.0,0.0,0.3216145833333333,0.10103300201055669
parity8,dlgn,full_soft_vs_discrete,12,0.4487163995703061,0.036707600418649615,0.6534041315317154,0.01895699447620283,0.20850526789824167,0.02852867803619888,0.27288818359375,0.08493672248055247,0.0,0.0,0.3125,0.10732659772649766
