method,dataset,seed,epoch,global_epoch,elapsed_time,soft_acc,discrete_acc,soft_loss,discrete_loss,native_acc,native_loss,selection_confidence,tau,block,block_elapsed_time
dlgn,parity8,0,1,1,0.13527890318073332,0.59375,0.5,4.590538024902344,214.09500122070312,0.59375,4.590538024902344,0.2504616975784302,1.0,,
dlgn,parity8,0,2,2,0.15928209316916764,0.40625,0.515625,4.02931022644043,165.65748596191406,0.40625,4.02931022644043,0.25038403272628784,1.0,,
dlgn,parity8,0,3,3,0.18323625018820167,0.59375,0.5,1.937193512916565,214.09500122070312,0.59375,1.937193512916565,0.2503155767917633,1.0,,
dlgn,parity8,0,4,4,0.20883427211083472,0.515625,0.46875,0.8294122219085693,217.20916748046875,0.515625,0.8294122219085693,0.25025999546051025,1.0,,
dlgn,parity8,0,5,5,0.23192170914262533,0.40625,0.4375,2.2469136714935303,212.54331970214844,0.40625,2.2469136714935303,0.25022464990615845,1.0,,
dlgn,parity8,0,6,6,0.2548934849910438,0.59375,0.4375,1.2367911338806152,212.54331970214844,0.59375,1.2367911338806152,0.2502070367336273,1.0,,
dlgn,parity8,0,7,7,0.2790571430232376,0.40625,0.4375,1.90436851978302,206.28250122070312,0.40625,1.90436851978302,0.2501956522464752,1.0,,
dlgn,parity8,0,8,8,0.30254510417580605,0.59375,0.4375,0.7824609875679016,206.28250122070312,0.59375,0.7824609875679016,0.25018420815467834,1.0,,
dlgn,parity8,0,9,9,0.32722519617527723,0.46875,0.4375,0.8710046410560608,206.28250122070312,0.46875,0.8710046410560608,0.25017911195755005,1.0,,
dlgn,parity8,0,10,10,0.3534114230424166,0.40625,0.4375,0.9874836206436157,206.28250122070312,0.40625,0.9874836206436157,0.2501731514930725,1.0,,
dlgn,parity8,0,11,11,0.37638485711067915,0.578125,0.4375,0.7967744469642639,206.28250122070312,0.578125,0.7967744469642639,0.2501727342605591,1.0,,
dlgn,parity8,0,12,12,0.40265343012288213,0.40625,0.453125,1.5555808544158936,203.15750122070312,0.40625,1.5555808544158936,0.25018298625946045,1.0,,
dlgn,parity8,0,13,13,0.42654697806574404,0.59375,0.453125,0.9183752536773682,203.15750122070312,0.59375,0.9183752536773682,0.2501875162124634,1.0,,
dlgn,parity8,0,14,14,0.44998428714461625,0.40625,0.453125,1.2754740715026855,198.47000122070312,0.40625,1.2754740715026855,0.25020158290863037,1.0,,
dlgn,parity8,0,15,15,0.47369676316156983,0.5625,0.484375,0.744287371635437,182.8558349609375,0.5625,0.744287371635437,0.25022298097610474,1.0,,
dlgn,parity8,0,16,16,0.4978559410665184,0.40625,0.484375,1.1041078567504883,182.8558349609375,0.40625,1.1041078567504883,0.25025659799575806,1.0,,
dlgn,parity8,0,17,17,0.5206720000132918,0.578125,0.484375,0.7332010865211487,182.8558349609375,0.578125,0.7332010865211487,0.2502897381782532,1.0,,
dlgn,parity8,0,18,18,0.5451245519798249,0.40625,0.484375,1.248835563659668,182.8558349609375,0.40625,1.248835563659668,0.25032806396484375,1.0,,
dlgn,parity8,0,19,19,0.5688097141683102,0.59375,0.515625,0.7998268604278564,192.26333618164062,0.59375,0.7998268604278564,0.25036102533340454,1.0,,
dlgn,parity8,0,20,20,0.5928313741460443,0.40625,0.515625,1.327012300491333,192.26333618164062,0.40625,1.327012300491333,0.2504083514213562,1.0,,
dlgn,parity8,0,21,21,0.6156200931873173,0.578125,0.515625,0.7628470659255981,192.26333618164062,0.578125,0.7628470659255981,0.2504444122314453,1.0,,
dlgn,parity8,0,22,22,0.6386285750195384,0.40625,0.515625,1.0877801179885864,195.39915466308594,0.40625,1.0877801179885864,0.2504870295524597,1.0,,
dlgn,parity8,0,23,23,0.6631043571978807,0.390625,0.515625,0.7729870676994324,192.24166870117188,0.390625,0.7729870676994324,0.25052911043167114,1.0,,
dlgn,parity8,0,24,24,0.6870958521030843,0.390625,0.515625,0.9003347158432007,192.24166870117188,0.390625,0.9003347158432007,0.250573992729187,1.0,,
dlgn,parity8,0,25,25,0.7118207020685077,0.578125,0.515625,0.7747864723205566,192.24166870117188,0.578125,0.7747864723205566,0.2506127655506134,1.0,,
dlgn,parity8,0,26,26,0.7372014601714909,0.40625,0.5,1.115687608718872,182.83416748046875,0.40625,1.115687608718872,0.250657856464386,1.0,,
