block,best_epoch,epochs_ran,epochs_to_90pct_best,pre_refit_soft_acc,pre_refit_hard_acc,pre_refit_acc_gap,pre_refit_soft_loss,pre_refit_hard_loss,pre_refit_loss_gap,post_refit_soft_acc,post_refit_hard_acc,post_refit_acc_gap,post_refit_soft_loss,post_refit_hard_loss,post_refit_loss_gap,refit_bit_error,refit_address_coverage,changed_truth_ratio,changed_wiring_ratio,block_train_seconds
0,29,30,12,0.2012,0.194,0.007199999999999984,3.5058245635986327,3.502023278808594,0.003801284790038828,0.194,0.194,0.0,3.502023278808594,3.502023278808594,0.0,0.3795506954193115,0.0,0.0,0.0,7673.682190652995
1,16,21,4,0.2238,0.2178,0.006000000000000005,3.3481615535736085,3.3463153675079345,0.0018461860656739937,0.2178,0.2178,0.0,3.3463153675079345,3.3463153675079345,0.0,0.3197423815727234,0.0,0.0,0.0,5110.532820940018
2,13,18,2,0.224,0.2236,0.00040000000000001146,3.338352806854248,3.323184680557251,0.015168126296996931,0.2236,0.2236,0.0,3.323184680557251,3.323184680557251,0.0,0.2917996048927307,0.0,0.0,0.0,4373.966801365023
3,12,17,2,0.2184,0.2182,0.00020000000000000573,3.351554071807861,3.3323690914154054,0.019184980392455753,0.2182,0.2182,0.0,3.3323690914154054,3.3323690914154054,0.0,0.2785705327987671,0.0,0.0,0.0,4142.501463835011
