dataset,seed,k,propagation,final_readout,calibration_mode,teacher_acc,candidate_acc,acc_gap_vs_teacher,teacher_loss,candidate_loss,loss_gap_vs_teacher,threshold_each_layer_acc,threshold_each_layer_loss,delta_acc_vs_threshold_each_layer,local_mae,local_mse,local_max_abs_error,layer_alignment_mae,final_layer_alignment_mae,original_gate_count,expanded_gate_count,gate_count_multiplier,representation_levels,representation_bits,depth,fanout_max,unused_gate_ratio,train_time,eval_time
majority9,0,2,full_popcount,popcount,per_neuron,1.0,0.71875,0.28125,0.025476515293121338,1.153336763381958,1.1278602480888367,0.734375,1.333075761795044,-0.015625,0.052912650629878044,0.008281243732199073,0.24996191263198853,0.10424857772886753,0.15223482251167297,512,1024,2,3,2,4,29,0.0,3.1731436369009316,3.762817593058571
majority9,0,2,full_popcount,final_threshold,per_neuron,1.0,0.7578125,0.2421875,0.025476515293121338,1.336296796798706,1.3108202815055847,0.734375,1.333075761795044,0.0234375,0.052912650629878044,0.008281243732199073,0.24996191263198853,0.11981972493231297,0.2145194113254547,512,1024,2,3,2,4,29,0.0,3.1731436369009316,4.763166519114748
majority9,0,4,full_popcount,popcount,per_neuron,1.0,0.984375,0.015625,0.025476515293121338,0.06323845684528351,0.03776194155216217,0.5859375,1.728464126586914,0.3984375,0.029940910637378693,0.002538308850489557,0.12483721971511841,0.04392431769520044,0.05568685010075569,512,2048,4,5,3,4,29,0.0,3.1731436369009316,3.709733893163502
majority9,0,4,full_popcount,final_threshold,per_neuron,1.0,0.8359375,0.1640625,0.025476515293121338,0.5369855165481567,0.5115090012550354,0.5859375,1.728464126586914,0.25,0.029940910637378693,0.002538308850489557,0.12483721971511841,0.08241165056824684,0.20963618159294128,512,2048,4,5,3,4,29,0.001953125,3.1731436369009316,4.743192551191896
majority9,0,8,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.029271066188812256,0.003794550895690918,0.515625,1.8740825653076172,0.484375,0.01421077805571258,0.0005720423214370385,0.062429189682006836,0.02021037181839347,0.02511163428425789,512,4096,8,9,4,4,29,0.0,3.1731436369009316,3.809764842968434
majority9,0,8,full_popcount,final_threshold,per_neuron,1.0,0.71875,0.28125,0.025476515293121338,1.1733813285827637,1.1479048132896423,0.515625,1.8740825653076172,0.203125,0.01421077805571258,0.0005720423214370385,0.062429189682006836,0.0649903086014092,0.2042313814163208,512,4096,8,9,4,4,29,0.0,3.1731436369009316,4.885624093934894
majority9,0,16,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.024464894086122513,0.001011621206998825,0.515625,1.8740825653076172,0.484375,0.007559557328931987,0.00015634101509931497,0.031227529048919678,0.010296826250851154,0.013048974797129631,512,8192,16,17,5,4,29,0.0,3.1731436369009316,3.706011332105845
majority9,0,16,full_popcount,final_threshold,per_neuron,1.0,0.7265625,0.2734375,0.025476515293121338,1.1702994108200073,1.144822895526886,0.515625,1.8740825653076172,0.2109375,0.007559557328931987,0.00015634101509931497,0.031227529048919678,0.05805076425895095,0.2040647268295288,512,8192,16,17,5,4,29,0.0,3.1731436369009316,4.728445500135422
majority9,0,32,full_popcount,popcount,per_neuron,1.0,1.0,0.0,0.025476515293121338,0.025534624233841896,5.8108940720558167e-05,0.5078125,1.9040206670761108,0.4921875,0.003791449125856161,3.858764011965832e-05,0.015611588954925537,0.004934637923724949,0.006063637789338827,512,16384,32,33,6,4,29,0.0,3.1731436369009316,3.7438158120494336
majority9,0,32,full_popcount,final_threshold,per_neuron,1.0,0.7109375,0.2890625,0.025476515293121338,1.1471492052078247,1.1216726899147034,0.5078125,1.9040206670761108,0.203125,0.003791449125856161,3.858764011965832e-05,0.015611588954925537,0.05441861576400697,0.20399954915046692,512,16384,32,33,6,4,29,0.0,3.1731436369009316,4.742676651105285
