campaign,run,method,dataset,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,epochs_to_target,epochs_to_20pct,time_to_20pct,unused_gate_ratio,activation_inactive_gate_ratio,unused_gate_definition,gate_count,predicate_count,depth,fanout_max,best_discrete_acc,best_epoch,state_entropy,state_constant_ratio,state_duplicate_ratio,state_flip_rate,layer_gap_max_mae,layer_gap_max_flip_ratio,layer_gap_final_flip_ratio,gate_entropy,gate_confidence,hard_path_acc_gap,hard_path_loss_gap,bit_exact_verified,seed,state_width,encoder_kind,local_depth,global_depth,heads,qk_bits,topk,votes_per_class,epochs,validation_size,train_limit,eval_limit,group_sum_temperature,gate_init_strength,gate_init_mode,gate_init_normal_std,hardening_logit_scale,soft_warmup_epochs
h200_long_cifar_20260723,gumbel_w4096_seed0,bitstate_gumbel_st,cifar10,0.1,0.1264,0.026400000000000007,2.3026317539215087,2.360168296813965,0.05753654289245613,2051.9171383779903,,,,0.902911365032196,0.049145299145299144,mind_gap_entropy_above_initialization_2.5pct,14976,3904,9,228,0.1282,18,0.8467176035046577,0.03898112243041396,0.002766927151242271,0.23341932334005833,0.49893543124198914,0.46642880806556114,0.42808380126953127,0.9029285907745361,0.1868543177843094,0.0,0.0,True,0,4096,redundant_predicate,2,2,8,64,8,64,30,5000,0,0,8.0,0.1,targeted_legacy,,1.0,15
h200_long_cifar_20260723,hard_scale16_w4096_seed0,bitstate_progressive_hard_st,cifar10,0.2702,0.2644,0.005799999999999972,1.9917055740356446,2.0050368171691892,0.013331243133544612,1994.731147924991,,4,263.9223744419869,0.0006009615608491004,0.03612446581196581,mind_gap_entropy_above_initialization_2.5pct,14976,3904,9,228,0.2722,22,0.8541686162352562,0.004897054110188037,0.0,0.16103689931333065,0.3529432150033804,0.06849822998046876,0.06849822998046876,0.01515604555606842,0.9814103841781616,0.0,0.0,True,0,4096,redundant_predicate,2,2,8,64,8,64,30,5000,0,0,8.0,0.1,targeted_legacy,,16.0,15
h200_strong_baselines_20260723,dlgn_normal_adam_w4096_seed0,bitstate_soft_argmax,cifar10,0.3023,0.2813,0.02100000000000002,1.9259293292999267,1.9704398601531983,0.04451053085327161,1766.63490270701,1,1,60.52895396601525,0.4023771584033966,0.2941372863247863,mind_gap_entropy_above_initialization_2.5pct,14976,3904,9,228,0.2846,18,0.5741017237305641,0.17239380069077015,0.057617188431322575,0.3759995363652706,0.3484930772047776,0.19111055227426382,0.1037139892578125,0.41802290081977844,0.6275767087936401,0.0,0.0,True,0,4096,redundant_predicate,2,2,8,64,8,64,30,5000,0,0,8.0,0.1,normal,1.0,1.0,15
h200_strong_baselines_20260723,gumbel_normal_adam_tau010_w4096_seed0,bitstate_gumbel_st,cifar10,0.1499,0.1571,0.007199999999999984,2.2547127311706543,2.2550578472137452,0.0003451160430909539,1849.7027108669863,,,,0.7974092364311218,0.22008547008547008,mind_gap_entropy_above_initialization_2.5pct,14976,3904,9,228,0.167,30,0.6026158481836319,0.17529398761689663,0.06282552191987634,0.37445690482854843,0.4501326340895433,0.3100606038020207,0.25403289794921874,0.7632536888122559,0.33073073625564575,0.0,0.0,True,0,4096,redundant_predicate,2,2,8,64,8,64,30,5000,0,0,8.0,0.1,normal,1.0,1.0,15
