method,layer,name,n,mae_mean,mae_sd,flip_ratio_mean,flip_ratio_sd
dlgn,0,encoder,3,0.328053225003756,0.0008538269613122797,0.002673198015261919,1.0964862422574072e-05
dlgn,1,local_1,3,0.30663285499964005,0.0012735682012475567,0.030335175685393505,0.0012752257061967621
dlgn,2,local_2,3,0.29430701793768466,0.002584766418019822,0.04398159247178298,0.003216670719156399
dlgn,3,global_1,3,0.3224413358248197,0.006278652778312081,0.07541093214964255,0.006091889691628339
dlgn,4,global_2,3,0.3458085157932379,0.00962258653017857,0.0924121440985264,0.006047250950673148
dlgn,5,votes,3,0.27918904821077983,0.002472660251909131,0.12333475748697917,0.006215222340678581
annealing,0,encoder,3,0.3413955725156344,0.001181867710957931,0.0030574798583984375,9.946818108736387e-05
annealing,1,local_1,3,0.3267316744877742,0.0016311569808408245,0.05625322170746632,0.0047784675253833364
annealing,2,local_2,3,0.32172451997414614,0.0032076725278264904,0.09701812939766126,0.009605424909023084
annealing,3,global_1,3,0.35665545219030137,0.0032237573528329016,0.17387953904958872,0.013859825871077338
annealing,4,global_2,3,0.37547210546640253,0.0018324385125524966,0.20575313323583358,0.012718217792078648
annealing,5,votes,3,0.2806270241737366,0.006729977432045182,0.1397516886393229,0.011309880879030903
gumbel_st,0,encoder,3,0.46165513136448005,0.003265509590555581,0.010696206948696038,0.0015445021693801097
gumbel_st,1,local_1,3,0.4772866958226913,0.0007948500992292692,0.20882488030653734,0.006780064352550215
gumbel_st,2,local_2,3,0.48783902999682305,0.0006392674413005147,0.3310167141449757,0.004847695776054795
gumbel_st,3,global_1,3,0.4975447801443247,0.00023436480156173008,0.45772698598030287,0.0038423943479399393
gumbel_st,4,global_2,3,0.4990147077120268,0.00041267551588125567,0.47362359242561536,0.0074383767393743335
gumbel_st,5,votes,3,0.4988278309504191,0.00010272819015238628,0.4219645182291667,0.00579676161586189
progressive_hard_st,0,encoder,3,0.35426034071506596,0.0012065285687930427,0.00809321158971542,0.0020245272119771307
progressive_hard_st,1,local_1,3,0.31176826036893407,0.001056549078621419,0.01169898448846279,0.001816932975364552
progressive_hard_st,2,local_2,3,0.27873859405517576,0.001748710245545057,0.01390232183994391,0.0013982215126182157
progressive_hard_st,3,global_1,3,0.261302411250579,0.0013964542865735076,0.02124917446038662,0.0006966571779690732
progressive_hard_st,4,global_2,3,0.25800982744265827,0.001169082710549458,0.029601271947224936,0.0007343974300670076
progressive_hard_st,5,votes,3,0.09131744801998139,0.003173543895706166,0.07227528889973958,0.0035493876349088826
