comparison,seed,soft_acc_delta,discrete_acc_delta,acc_gap_delta,soft_loss_delta,discrete_loss_delta,loss_gap_delta,train_time_delta,epoch_to_20pct_delta,time_to_20pct_delta,unused_gate_ratio_delta,activation_inactive_gate_ratio_delta,layer_gap_max_flip_ratio_delta,layer_gap_final_flip_ratio_delta
progressive_hard_st_minus_dlgn,0,-0.009800000000000031,0.0007000000000000339,-0.010500000000000065,0.003759471130371228,-0.023826453971862893,-0.02758592510223412,13.58642381298705,0.0,-2.398239073023433,-0.0998931698850356,-0.0025373931623931673,-0.05615386962890624,-0.05615386962890624
progressive_hard_st_minus_dlgn,1,0.013299999999999979,0.009799999999999975,0.003500000000000003,-0.031846523666381854,-0.028407351684570425,0.0034391719818114286,19.319941377965733,0.0,-2.62763174099382,-0.11718750928412192,-0.0031383547008547036,-0.041024780273437506,-0.041024780273437506
progressive_hard_st_minus_dlgn,2,-0.0005000000000000004,0.008999999999999952,-0.0020999999999999908,-0.004593503379821673,-0.030442800521850444,-0.02584929714202877,32.13351245698868,0.0,1.5743395120080095,-0.10009349038591608,-0.0028712606837606805,-0.055999755859375,-0.055999755859375
progressive_hard_st_minus_dlgn,mean,0.0009999999999999825,0.0064999999999999876,-0.003033333333333351,-0.010893518638610766,-0.027558868726094587,-0.01666535008748382,21.67995921598049,0.0,-1.1505104340030812,-0.10572472318502453,-0.0028490028490028504,-0.05105946858723958,-0.05105946858723958
progressive_hard_st_minus_dlgn,sd,0.011622822376686312,0.00503884907493761,0.00704651213958607,0.018620267467529393,0.0033887981520741204,0.017432665455808145,9.496098537764047,0.0,2.3625750083832524,0.009927569236273972,0.0003010984076404163,0.008690636623968163,0.008690636623968163
progressive_hard_st_minus_annealing,0,0.007900000000000018,0.0005000000000000004,0.004199999999999926,-0.030263180732726935,-0.0012321228027345477,-0.002368571662903163,49.18244607601082,-7.0,-448.6778757139982,-0.1344150774530135,0.012286324786324784,-0.1353445603297307,-0.0793670654296875
progressive_hard_st_minus_annealing,1,0.02560000000000001,0.01429999999999998,0.006899999999999962,-0.033588209152221715,-0.008726796913146817,0.014062835884094405,11.927034221967915,-5.0,-332.77883071100223,-0.13354701732168905,0.013087606837606836,-0.11855646280141978,-0.06901550292968751
progressive_hard_st_minus_annealing,2,0.019199999999999995,0.04169999999999999,-0.01510000000000003,-0.06524406909942604,-0.07730283832550033,-0.012058769226074295,37.33929398897453,-8.0,-516.7583703529963,-0.1385550265549682,0.01188568376068376,-0.14653250987713154,-0.054046630859375
progressive_hard_st_minus_annealing,mean,0.017566666666666675,0.018833333333333323,-0.0013333333333333808,-0.04303181966145823,-0.029087252680460567,-0.00012150166829435112,32.81625809565109,-6.666666666666667,-432.7383589259989,-0.13550570710989027,0.012419871794871794,-0.133477844336094,-0.06747639973958333
progressive_hard_st_minus_annealing,sd,0.008962328566468272,0.020970773312716275,0.011998472124955454,0.01930808049285293,0.04192373503548968,0.013204982243585234,19.03509438833465,1.5275252316519468,93.01972316824104,0.002676218209805888,0.0006119892755015809,0.014081131841804635,0.012730189734631242
progressive_hard_st_minus_gumbel_st,0,0.1702,0.138,-0.020600000000000035,-0.310926179885864,-0.35513147964477554,-0.04420529975891152,-57.18599045299925,,,-0.902310403471347,-0.013020833333333336,-0.39793057808509236,-0.35958557128906254
progressive_hard_st_minus_gumbel_st,1,0.1929,0.13899999999999998,-0.03570000000000001,-0.3429949169158937,-0.3397246187210081,0.003270298194885557,-58.64856475600391,,,-0.9621394816495012,-0.0006009615384615433,-0.3976165698124812,-0.34101409912109376
progressive_hard_st_minus_gumbel_st,2,0.1818,0.16479999999999997,-0.017000000000000015,-0.3434425607681275,-0.4063713905334472,-0.06292882976531966,-43.77851114302757,,,-0.9660791372298263,-0.00220352564102564,-0.40849776268005367,-0.34846801757812496
progressive_hard_st_minus_gumbel_st,mean,0.1816333333333333,0.14726666666666666,-0.024433333333333352,-0.3324545525232951,-0.36707582963307694,-0.03462127710978188,-53.20435545067691,,,-0.9435096741168915,-0.00527510683760684,-0.40134830352587575,-0.3496892293294271
progressive_hard_st_minus_gumbel_st,sd,0.01135091773088561,0.015192542030000538,0.009921861384505086,0.018645461044626336,0.034891957106718836,0.034124349858673915,8.19571147503293,,,0.03573394951326425,0.006755683691208193,0.0061936035509839405,0.009345769803903186
