method,dataset,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,epochs_to_20pct,time_to_20pct,unused_gate_ratio,activation_inactive_gate_ratio,constant_gate_ratio,literal_gate_ratio,nontrivial_gate_ratio,gate_count,depth,fanout_max,layer_gap_max_flip_ratio,layer_gap_final_flip_ratio,hardware,seed,state_width
dlgn,cifar10,0.2783,0.255,0.0233,1.9943775506973267,2.05781040725708,0.06343285655975328,3163.361737034982,4,423.1982504740008,0.11505075544118881,0.038995726495726496,0.036591880341880344,0.8826789529914529,0.08072916666666667,14976,9,228,0.13063201904296876,0.13063201904296876,rtx4090,0,4096
annealing,cifar10,0.2677,0.2764,0.0087,2.0160573627471923,2.01305411567688,0.003003247070312298,3159.4197088989895,16,1684.863389437989,0.13741987943649292,0.020766559829059828,0.017962072649572648,0.930622329059829,0.05141559829059829,14976,9,228,0.2188072938185472,0.1694671630859375,rtx4090,0,4096
gumbel_st,cifar10,0.1,0.1264,0.0264,2.3026317539215087,2.360168296813965,0.05753654289245613,2051.9171383779903,,,0.902911365032196,0.049145299145299144,0.03859508547008547,0.665531517094017,0.2958733974358974,14976,9,228,0.46642880806556114,0.42808380126953127,h200_nvl,0,4096
progressive_scale16,cifar10,0.2702,0.2644,0.0058,1.9917055740356446,2.0050368171691892,0.013331243133544612,1994.731147924991,4,263.9223744419869,0.0006009615608491004,0.03612446581196581,0.032385149572649576,0.8928285256410257,0.07478632478632478,14976,9,228,0.06849822998046876,0.06849822998046876,h200_nvl,0,4096
