method,dataset,n,hardware,source_commit,target_hit_count,target_hit_rate,soft_acc_mean,soft_acc_sd,discrete_acc_mean,discrete_acc_sd,acc_gap_mean,acc_gap_sd,soft_loss_mean,soft_loss_sd,discrete_loss_mean,discrete_loss_sd,loss_gap_mean,loss_gap_sd,train_time_mean,train_time_sd,epoch_to_20pct_mean,epoch_to_20pct_sd,time_to_20pct_mean,time_to_20pct_sd,unused_gate_ratio_mean,unused_gate_ratio_sd,activation_inactive_gate_ratio_mean,activation_inactive_gate_ratio_sd,layer_gap_max_flip_ratio_mean,layer_gap_max_flip_ratio_sd,layer_gap_final_flip_ratio_mean,layer_gap_final_flip_ratio_sd,constant_gate_ratio_mean,constant_gate_ratio_sd,literal_gate_ratio_mean,literal_gate_ratio_sd,nontrivial_gate_ratio_mean,nontrivial_gate_ratio_sd,gate_count_mean,gate_count_sd,depth_mean,depth_sd,fanout_max_mean,fanout_max_sd,bit_exact_all
dlgn,cifar10,3,NVIDIA H200 NVL,5aaee9d,3,1,0.28063333333333335,0.001457166199626279,0.27140000000000003,0.006784541251993406,0.009233333333333335,0.006120729803980381,1.9811021004994709,0.01505406133029801,2.0116974683125814,0.015511083514186147,0.030595367813110414,0.012980034568326502,1966.094261971671,13.462703924492184,4.333333333333333,0.5773502691896257,285.42626721500227,36.34422296311447,0.10614762206872304,0.00979213299887022,0.03843928062678063,0.0015478399795863327,0.12333475748697917,0.006215222340678581,0.12333475748697917,0.006215222340678581,0.03563479344729345,0.0012136134152613586,0.8813657407407407,0.0015834380708540006,0.08299946581196581,0.002410329279885155,14976.0,0.0,9.0,0.0,226.33333333333334,6.6583281184793925,True
annealing,cifar10,3,NVIDIA H200 NVL,5aaee9d,3,1,0.26406666666666667,0.0028041635710730774,0.25906666666666667,0.013514560049566311,0.007533333333333364,0.009761830429449848,2.013240401522318,0.01734953969912842,2.0132258522669475,0.029466177384155138,0.014051519393920945,0.007957169711708246,1954.9579630920005,12.645054769593674,11.0,2.0,717.014115706998,126.50795369299634,0.13592860599358877,0.00268951372383305,0.023170405982905984,0.002342789101609086,0.20575313323583358,0.012718217792078648,0.1397516886393229,0.011309880879030903,0.02072204415954416,0.002303766540353236,0.9259481837606838,0.0035877945064128154,0.053329772079772075,0.0019054838609174228,14976.0,0.0,9.0,0.0,226.33333333333334,6.6583281184793925,True
gumbel_st,cifar10,3,NVIDIA H200 NVL,5aaee9d;7cc6b24,0,0,0.1,0.0,0.13063333333333335,0.012595369519523175,0.030633333333333335,0.012595369519523175,2.3026631343841553,2.9780418180972837e-05,2.3512144292195636,0.028937324919871752,0.048551294835408466,0.02893288887935931,2040.9785766383284,10.444322504733215,,,,,0.94393257300059,0.03558373746903536,0.040865384615384616,0.00758430616220789,0.47362359242561536,0.0074383767393743335,0.4219645182291667,0.00579676161586189,0.030626780626780627,0.006912374757513026,0.695045405982906,0.025568498158799958,0.27432781339031337,0.01868958456794781,14976.0,0.0,9.0,0.0,226.33333333333334,6.6583281184793925,True
progressive_hard_st,cifar10,3,NVIDIA H200 NVL,7cc6b24,3,1,0.28163333333333335,0.01135091773088561,0.2779,0.011722201158485528,0.006199999999999983,0.002722131517763249,1.9702085818608601,0.018618144301563354,1.9841385995864869,0.01889954240102937,0.013930017725626595,0.005258350198475068,1987.7742211876514,6.746926584855274,4.333333333333333,0.5773502691896257,284.2757567809992,38.7067917356944,0.00042289888369850814,0.00016804297078526378,0.035590277777777776,0.0017322545100257546,0.07227528889973958,0.0035493876349088826,0.07227528889973958,0.0035493876349088826,0.032629985754985755,0.0009260436281479128,0.8908698361823362,0.0017171742808036058,0.07650017806267806,0.001889033332685073,14976.0,0.0,9.0,0.0,226.33333333333334,6.6583281184793925,True
