method,seed,layer,name,mae,flip_ratio,elements
dlgn,0,0,encoder,0.32759386942936825,0.0026773929595947264,272629760
dlgn,0,1,local_1,0.30557690400343673,0.028919172286987305,272629760
dlgn,0,2,local_2,0.2913279643425575,0.040332343028141905,272629760
dlgn,0,3,global_1,0.3168900673206036,0.06948080429664025,272629760
dlgn,0,4,global_2,0.3375071855691763,0.08615911190326397,272629760
dlgn,0,5,votes,0.28203346133232116,0.124652099609375,655360
dlgn,1,0,encoder,0.3290383925804725,0.002681446075439453,272629760
dlgn,1,1,local_1,0.3080472285930927,0.03139303647554838,272629760
dlgn,1,2,local_2,0.29595449154193587,0.045206880569458006,272629760
dlgn,1,3,global_1,0.3292554158430833,0.08165262662447416,272629760
dlgn,1,4,global_2,0.3563552819765531,0.09823011618394117,272629760
dlgn,1,5,votes,0.2779813975095749,0.11656646728515625,655360
dlgn,2,0,encoder,0.3275274130014273,0.0026607550107515775,272629760
dlgn,2,1,local_1,0.3062744324023907,0.03069331829364483,272629760
dlgn,2,2,local_2,0.2956385979285607,0.04640555381774902,272629760
dlgn,2,3,global_1,0.32117852431077226,0.07509936552781325,272629760
dlgn,2,4,global_2,0.3435630798339844,0.09284720420837403,272629760
dlgn,2,5,votes,0.27755228579044344,0.12878570556640626,655360
annealing,0,0,encoder,0.3400839108687181,0.002961602577796349,272629760
annealing,0,1,local_1,0.32659185849703276,0.05704681689922626,272629760
annealing,0,2,local_2,0.320423096876878,0.09424847822922927,272629760
annealing,0,3,global_1,0.35782955243037295,0.17277530890244705,272629760
annealing,0,4,global_2,0.37591287172757665,0.20384279031019945,272629760
annealing,0,5,votes,0.2883616119623184,0.14786529541015625,655360
annealing,1,0,encoder,0.3417251073397123,0.003050650083101713,272629760
annealing,1,1,local_1,0.32517492587749774,0.05112763918363131,272629760
annealing,1,2,local_2,0.31937208542456996,0.08910182806161734,272629760
annealing,1,3,global_1,0.3530091982621413,0.1606048583984375,272629760
annealing,1,4,global_2,0.3734594821929932,0.19409814981313853,272629760
annealing,1,5,votes,0.27610803246498106,0.14455718994140626,655360
annealing,2,0,encoder,0.3423776993384728,0.0031601869142972505,272629760
annealing,2,1,local_1,0.32842823908879204,0.06058520903954139,272629760
annealing,2,2,local_2,0.3253783776209905,0.10770408190213716,272629760
annealing,2,3,global_1,0.3591276058783898,0.18825844984788162,272629760
annealing,2,4,global_2,0.3770439624786377,0.2193184595841628,272629760
annealing,2,5,votes,0.27741142809391023,0.12683258056640626,655360
gumbel_st,0,0,encoder,0.46538862815270055,0.012476616639357346,272629760
gumbel_st,0,1,local_1,0.4781933857844426,0.20135052020733174,272629760
gumbel_st,0,2,local_2,0.4882644029764029,0.32550231860234186,272629760
gumbel_st,0,3,global_1,0.49727592468261717,0.4533788644350492,272629760
gumbel_st,0,4,global_2,0.4985488744882437,0.46642880806556114,272629760
gumbel_st,0,5,votes,0.49893543124198914,0.42808380126953127,655360
gumbel_st,1,0,encoder,0.45933088522690996,0.009895962935227614,272629760
gumbel_st,1,1,local_1,0.4767099747290978,0.21457941715533918,272629760
gumbel_st,1,2,local_2,0.4871038913726807,0.3329410039461576,272629760
gumbel_st,1,3,global_1,0.49765247931847206,0.4591366034287673,272629760
gumbel_st,1,4,global_2,0.4991607299217811,0.4731582568242,272629760
gumbel_st,1,5,votes,0.4987307906150818,0.4165557861328125,655360
gumbel_st,2,0,encoder,0.4602458807138296,0.009716041271503155,272629760
gumbel_st,2,1,local_1,0.4769567269545335,0.2105447035569411,272629760
gumbel_st,2,2,local_2,0.4881487956413856,0.33460681988642765,272629760
gumbel_st,2,3,global_1,0.49770593643188477,0.4606654900770921,272629760
gumbel_st,2,4,global_2,0.49933451872605544,0.48128371238708495,272629760
gumbel_st,2,5,votes,0.4988172709941864,0.42125396728515624,655360
progressive_hard_st,0,0,encoder,0.3529432150033804,0.006024793478158804,272629760
progressive_hard_st,0,1,local_1,0.31097628520085263,0.00992120596078726,272629760
progressive_hard_st,0,2,local_2,0.2778228466327374,0.01229406136732835,272629760
progressive_hard_st,0,3,global_1,0.26130501673771783,0.020708487584040716,272629760
progressive_hard_st,0,4,global_2,0.25814138925992525,0.0302248111137977,272629760
progressive_hard_st,0,5,votes,0.08821216896176338,0.06849822998046876,655360
progressive_hard_st,1,0,encoder,0.35531209065363956,0.008184051513671875,272629760
progressive_hard_st,1,1,local_1,0.31136058293856106,0.011623056118304912,272629760
progressive_hard_st,1,2,local_2,0.2776379291827862,0.014583378571730393,272629760
progressive_hard_st,1,3,global_1,0.25990465604341945,0.02203534199641301,272629760
progressive_hard_st,1,4,global_2,0.2567805290222168,0.029787235993605395,272629760
progressive_hard_st,1,5,votes,0.09455511346459389,0.07554168701171875,655360
progressive_hard_st,2,0,encoder,0.35452571648817793,0.01007078977731558,272629760
progressive_hard_st,2,1,local_1,0.31296791296738846,0.013552691386296199,272629760
progressive_hard_st,2,2,local_2,0.2807550063500038,0.014829525580772987,272629760
progressive_hard_st,2,3,global_1,0.2626975609705998,0.02100369380070613,272629760
progressive_hard_st,2,4,global_2,0.2591075640458327,0.028791768734271708,272629760
progressive_hard_st,2,5,votes,0.09118506163358689,0.07278594970703126,655360
