run,mode,state_bits,vote_bits,seed,hard_acc,test_hard_acc,payload_sha256,source_blif,export_random_vectors,export_exact,gate_count,raw_truth_bits,unique_truth_tables,truth_dictionary_bits,truth_dictionary_ratio,truth_one_ratio,support_0_ratio,support_1_ratio,support_2_ratio,support_3_ratio,support_4_ratio,realized_support_0_ratio,realized_support_1_ratio,realized_support_2_ratio,realized_support_3_ratio,realized_support_4_ratio,duplicate_source_slot_ratio,raw_minterm_cubes,emitted_minterm_cubes,source_blif_bytes,source_blif_sha256
v2_argmax_w672_s0,argmax,672,160,0,0.8962963223457336,0.855555534362793,a9be2593c760b520e79e0313c687c26858079fc6d35c198dd5f85c66683f924b,blif/v2_argmax_w672_s0.blif,257,True,320,5120,213,5968,1.165625,0.3857421875,0.0,0.040625,0.0625,0.14375,0.753125,0.0,0.040625,0.065625,0.146875,0.746875,0.00390625,1975,1959,31516,816ff46e470c729c6eb8f2ca60b847ca03fdf93f13e13785177337b0655359a2
v2_argmax_w672_s1,argmax,672,160,1,0.8703703880310059,0.855555534362793,6ab01b67cd444e4a50e85c7766be91d268876ee1d7fa13f8d5c2decaca031f20,blif/v2_argmax_w672_s1.blif,257,True,320,5120,224,6144,1.2,0.3806640625,0.0,0.040625,0.046875,0.134375,0.778125,0.0,0.040625,0.05625,0.14375,0.759375,0.0078125,1949,1923,31208,ab6c2bfb6536f0abead21ab21aa24f998039e1c2f68498b6d03b4efc4a84e2aa
v2_argmax_w672_s2,argmax,672,160,2,0.8740741014480591,0.8481481671333313,dda21c67d4c210910b8f0f2f997d9ffd62b636b76389aae63ede3a3a434a5b48,blif/v2_argmax_w672_s2.blif,257,True,320,5120,219,6064,1.184375,0.38359375,0.0,0.0625,0.0625,0.1125,0.7625,0.0,0.0625,0.065625,0.11875,0.753125,0.003125,1964,1954,31525,6fba12df49b8c2179cba0cc040b36d0cff55ec537504a02a9ed770b8cb6e460b
v2_argmax_w832_s0,argmax,832,320,0,0.9259259104728699,0.9074074029922485,ffbc5fa57bfd8135fdbe966e990b54c2430648e22bf720360bc888609ba6de78,blif/v2_argmax_w832_s0.blif,257,True,640,10240,394,12064,1.178125,0.41689453125,0.0,0.0703125,0.0375,0.10625,0.7859375,0.0,0.0703125,0.0375,0.1109375,0.78125,0.002734375,4269,4249,64508,f7a32259189d47a78486bd95817f7fbd6de0a5b1365dd23bb079e1067808c56c
v2_argmax_w832_s1,argmax,832,320,1,0.9074074029922485,0.8962963223457336,8f458cac8511e9199b98f015c067f77c41e4b0226520e42dc9096b318ad73760,blif/v2_argmax_w832_s1.blif,257,True,640,10240,399,12144,1.1859375,0.408203125,0.0,0.0546875,0.04375,0.115625,0.7859375,0.0,0.0546875,0.0453125,0.1171875,0.7828125,0.0015625,4180,4167,64043,a6498e1dba91670b716a4ba176bdfe3a49d6def56978cff1e51151abb043af43
v2_argmax_w832_s2,argmax,832,320,2,0.9111111164093018,0.8888888955116272,c5e3029126c238cc432b69a2926cc92b39b00051691d9fa7413c6b85f85dc30f,blif/v2_argmax_w832_s2.blif,257,True,640,10240,381,11856,1.1578125,0.40966796875,0.0,0.0671875,0.03125,0.1140625,0.7875,0.0,0.06875,0.0390625,0.1203125,0.771875,0.006640625,4195,4139,63459,eeb4393d7f87ede85a7a3d8dee530cedecbb34216875e8f2adc2d23d13660d22
v2_truth_w672_s0,truth,672,160,0,0.885185182094574,0.8740741014480591,7e27bc6b46e3f461071caa81540fc7bd67e878307b5973e93a83f51c0743eb5a,blif/v2_truth_w672_s0.blif,257,True,320,5120,235,6320,1.234375,0.3880859375,0.0,0.040625,0.05625,0.15,0.753125,0.0,0.040625,0.0625,0.153125,0.74375,0.00546875,1987,1966,31492,6af885406396f4d7bddab48496188a2893aa2c2d23a41d0cc52f7d6054a3f19d
v2_truth_w672_s1,truth,672,160,1,0.8740741014480591,0.8444444537162781,688e601d634022499b314e9244c75e1afcb430ae1ddf8a4697885becdb7b8919,blif/v2_truth_w672_s1.blif,257,True,320,5120,240,6400,1.25,0.3796875,0.0,0.034375,0.028125,0.134375,0.803125,0.0,0.034375,0.028125,0.146875,0.790625,0.00546875,1944,1921,31275,17b956075bed9d6449d1f5bc28c9612b141e4a85146e71f3c3acf48054e303f0
v2_truth_w672_s2,truth,672,160,2,0.8444444537162781,0.8333333134651184,8d7a7437de29e6b2d73e98cee8f40dabf88c734dbdb7ecf5bdf5b7e7e924278d,blif/v2_truth_w672_s2.blif,257,True,320,5120,221,6096,1.190625,0.381640625,0.0,0.065625,0.05625,0.109375,0.76875,0.0,0.065625,0.0625,0.115625,0.75625,0.0046875,1954,1940,31244,a71439690e1a17b78b739691fe98a7fbd000350082f449a4d9d4705d727262f9
v2_truth_w832_s0,truth,832,320,0,0.8925926089286804,0.8740741014480591,9a8ddd0ef1e582742e135419a68c808de17d79acc6ced4dd843728b8c85e7b0d,blif/v2_truth_w832_s0.blif,257,True,640,10240,419,12464,1.2171875,0.4076171875,0.0,0.0453125,0.034375,0.1078125,0.8125,0.0,0.0453125,0.0390625,0.115625,0.8,0.005078125,4174,4136,63688,f61681c5e2134420b13f2b6feae66fcda4f349f0c1f06266f22f380d386efafa
v2_truth_w832_s1,truth,832,320,1,0.8999999761581421,0.8962963223457336,22bdfa017680af87894487f848589363bb178089fe5046934bcbbda226fb422b,blif/v2_truth_w832_s1.blif,257,True,640,10240,407,12272,1.1984375,0.39453125,0.0,0.0390625,0.05,0.1171875,0.79375,0.0,0.0390625,0.0546875,0.1203125,0.7859375,0.003515625,4040,4010,62768,87dd1f2246795b0fc2ef2e96ad448d5bf83d05bcbab5a7f0ba8e704490bd4cf9
