dataset,source_dataset_arg,seed,threshold_levels,input_dim,num_classes,b,head_type,width,layers,epochs,train_forward_mode,warmup_epochs,warmup_mode,lr,cosine_lr,weight_decay,label_smoothing,head_norm,include_input_in_concat,estimator,init,init_strength,soft_acc,soft_loss,hard_acc,hard_loss,acc_gap,loss_gap,best_soft_acc,best_soft_loss,best_epoch,final_train_loss,train_time,parameter_count,logic_parameter_count,head_parameter_count,unused_gate_ratio,fanout_max
binarized_mnist,binarized_mnist,0,1,784,10,4,groupsum,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9286666666666666,0.232897705078125,0.2793333333333333,3.30729296875,0.6493333333333333,3.074395263671875,0.9286666666666666,0.232897705078125,80,0.14846865602334341,900.6292631300166,64000,64000,0,0.1075,6
binarized_mnist,binarized_mnist,0,1,784,10,4,final_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9386666666666666,0.2953154296875,0.6486666666666666,1.7359485677083333,0.29000000000000004,1.4406331380208333,0.9386666666666666,0.2953154296875,80,0.004096580345183611,861.5801117829978,76010,64000,12010,0.13475,6
binarized_mnist,binarized_mnist,0,1,784,10,4,concat_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9233333333333333,0.40174503580729165,0.7026666666666667,1.5240328776041667,0.22066666666666668,1.1222878417968751,0.9233333333333333,0.40174503580729165,80,0.004647770214204987,277.4364048622083,121418,64000,57418,0.17125,6
binarized_mnist,binarized_mnist,0,1,784,10,4,concat_mlp,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.963,0.1761205037434896,0.961,0.17304707845052084,0.0020000000000000018,0.003073425292968751,0.963,0.1761205037434896,80,6.960887033104275e-05,35.68662289110944,9893738,64000,9829738,0.177,6
binarized_mnist,binarized_mnist,0,1,784,10,4,input_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.8943333333333333,0.44689404296875,0.8943333333333333,0.44689404296875,0.0,0.0,0.8943333333333333,0.44689404296875,80,0.11558887215455373,11.020178206963465,73418,64000,9418,0.177,6
binarized_mnist,binarized_mnist,0,1,784,10,6,groupsum,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.943,0.19542020670572915,0.35433333333333333,3.04588671875,0.5886666666666667,2.8504665120442705,0.943,0.19542020670572915,80,0.059269152939319614,3587.070929277921,256000,256000,0,0.0945,8
binarized_mnist,binarized_mnist,0,1,784,10,6,final_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.943,0.26589420572916667,0.668,1.42204248046875,0.2749999999999999,1.1561482747395833,0.943,0.26589420572916667,80,0.0013152175464977822,3418.2376537008677,268010,256000,12010,0.141,8
binarized_mnist,binarized_mnist,0,1,784,10,6,concat_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9316666666666666,0.3615989990234375,0.6586666666666666,2.35833203125,0.273,1.9967330322265622,0.9316666666666666,0.3615989990234375,80,0.0022370870566616454,1118.8351619350724,313418,256000,57418,0.18575,8
binarized_mnist,binarized_mnist,0,1,784,10,6,concat_mlp,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.9593333333333334,0.19725946044921874,0.959,0.2001683146158854,0.00033333333333340764,0.002908854166666669,0.9593333333333334,0.19725946044921874,80,7.496524359642839e-05,91.60946986987256,10085738,256000,9829738,0.18825,8
binarized_mnist,binarized_mnist,0,1,784,10,6,input_linear,1000,4,80,continuous,0,continuous,0.003,True,1e-05,0.0,True,True,sinusoidal,residual,0.98,0.8936666666666667,0.4440132649739583,0.8936666666666667,0.4440132649739583,0.0,0.0,0.8936666666666667,0.4440132649739583,80,0.1166159699757894,25.248504824005067,265418,256000,9418,0.18825,8
