best_epoch,block,block_train_seconds,changed_truth_ratio,changed_wiring_ratio,epochs_ran,epochs_to_90pct_best,post_refit_acc_gap,post_refit_hard_acc,post_refit_hard_loss,post_refit_loss_gap,post_refit_soft_acc,post_refit_soft_loss,pre_refit_acc_gap,pre_refit_hard_acc,pre_refit_hard_loss,pre_refit_loss_gap,pre_refit_soft_acc,pre_refit_soft_loss,refit_address_coverage,refit_bit_error
7,0,833.1850604107603,0.0,0.0,11,2,0.0,0.28685,2.6933137557983398,0.0,0.28685,2.6933137557983398,0.017749999999999988,0.28685,2.6933137557983398,0.07656807632446316,0.2691,2.769881832122803,0.0,0.3210950493812561
7,1,836.672862328589,0.0,0.0,11,1,0.0,0.3627,2.3050187036514282,0.0,0.3627,2.3050187036514282,0.008000000000000007,0.3627,2.3050187036514282,0.02750286121368406,0.3547,2.3325215648651123,0.0,0.22573904693126678
12,2,1219.1324425316416,0.0,0.0,16,1,0.0,0.38855,2.1494896144866944,0.0,0.38855,2.1494896144866944,0.0009500000000000064,0.38855,2.1494896144866944,0.0011457569122312883,0.3876,2.1506353713989257,0.0,0.18259389698505402
11,3,1148.255017097108,0.0,0.0,15,1,0.0,0.4041,2.0985961544036864,0.0,0.4041,2.0985961544036864,0.0021500000000000408,0.4041,2.0985961544036864,0.006879180526733197,0.40195,2.091716973876953,0.0,0.16132961213588715
