method,dataset,seed,epoch,global_epoch,elapsed_time,soft_acc,discrete_acc,soft_loss,discrete_loss,native_acc,native_loss,selection_confidence,tau,block,block_elapsed_time
dlgn,parity8,0,1,1,0.08378484798595309,0.59375,0.5,4.590538024902344,214.09500122070312,0.59375,4.590538024902344,0.2504616975784302,1.0,,
dlgn,parity8,0,2,2,0.10910023702308536,0.40625,0.515625,4.02931022644043,165.65748596191406,0.40625,4.02931022644043,0.25038403272628784,1.0,,
dlgn,parity8,0,3,3,0.13364527188241482,0.59375,0.5,1.937193512916565,214.09500122070312,0.59375,1.937193512916565,0.2503155767917633,1.0,,
dlgn,parity8,0,4,4,0.15643506101332605,0.515625,0.46875,0.8294122219085693,217.20916748046875,0.515625,0.8294122219085693,0.25025999546051025,1.0,,
dlgn,parity8,0,5,5,0.18118633795529604,0.40625,0.4375,2.2469136714935303,212.54331970214844,0.40625,2.2469136714935303,0.25022464990615845,1.0,,
dlgn,parity8,0,6,6,0.20447666803374887,0.59375,0.4375,1.2367911338806152,212.54331970214844,0.59375,1.2367911338806152,0.2502070367336273,1.0,,
dlgn,parity8,0,7,7,0.2273928220383823,0.40625,0.4375,1.90436851978302,206.28250122070312,0.40625,1.90436851978302,0.2501956522464752,1.0,,
dlgn,parity8,0,8,8,0.25041421595960855,0.59375,0.4375,0.7824609875679016,206.28250122070312,0.59375,0.7824609875679016,0.25018420815467834,1.0,,
dlgn,parity8,0,9,9,0.27309939498081803,0.46875,0.4375,0.8710046410560608,206.28250122070312,0.46875,0.8710046410560608,0.25017911195755005,1.0,,
dlgn,parity8,0,10,10,0.29645672091282904,0.40625,0.4375,0.9874836206436157,206.28250122070312,0.40625,0.9874836206436157,0.2501731514930725,1.0,,
dlgn,parity8,0,11,11,0.319051377940923,0.578125,0.4375,0.7967744469642639,206.28250122070312,0.578125,0.7967744469642639,0.2501727342605591,1.0,,
dlgn,parity8,0,12,12,0.3417245880700648,0.40625,0.453125,1.5555808544158936,203.15750122070312,0.40625,1.5555808544158936,0.25018298625946045,1.0,,
dlgn,parity8,0,13,13,0.3666019830852747,0.59375,0.453125,0.9183752536773682,203.15750122070312,0.59375,0.9183752536773682,0.2501875162124634,1.0,,
dlgn,parity8,0,14,14,0.3901664479635656,0.40625,0.453125,1.2754740715026855,198.47000122070312,0.40625,1.2754740715026855,0.25020158290863037,1.0,,
dlgn,parity8,0,15,15,0.4147596328984946,0.5625,0.484375,0.744287371635437,182.8558349609375,0.5625,0.744287371635437,0.25022298097610474,1.0,,
dlgn,parity8,0,16,16,0.43727780506014824,0.40625,0.484375,1.1041078567504883,182.8558349609375,0.40625,1.1041078567504883,0.25025659799575806,1.0,,
dlgn,parity8,0,17,17,0.45989534887485206,0.578125,0.484375,0.7332010865211487,182.8558349609375,0.578125,0.7332010865211487,0.2502897381782532,1.0,,
dlgn,parity8,0,18,18,0.4825630330014974,0.40625,0.484375,1.248835563659668,182.8558349609375,0.40625,1.248835563659668,0.25032806396484375,1.0,,
dlgn,parity8,0,19,19,0.5047379289753735,0.59375,0.515625,0.7998268604278564,192.26333618164062,0.59375,0.7998268604278564,0.25036102533340454,1.0,,
dlgn,parity8,0,20,20,0.5282068860251456,0.40625,0.515625,1.327012300491333,192.26333618164062,0.40625,1.327012300491333,0.2504083514213562,1.0,,
dlgn,parity8,0,21,21,0.5524335079826415,0.578125,0.515625,0.7628470659255981,192.26333618164062,0.578125,0.7628470659255981,0.2504444122314453,1.0,,
dlgn,parity8,0,22,22,0.5748141170479357,0.40625,0.515625,1.0877801179885864,195.39915466308594,0.40625,1.0877801179885864,0.2504870295524597,1.0,,
dlgn,parity8,0,23,23,0.5972446510568261,0.390625,0.515625,0.7729870676994324,192.24166870117188,0.390625,0.7729870676994324,0.25052911043167114,1.0,,
dlgn,parity8,0,24,24,0.6207809229381382,0.390625,0.515625,0.9003347158432007,192.24166870117188,0.390625,0.9003347158432007,0.250573992729187,1.0,,
dlgn,parity8,0,25,25,0.6427974079269916,0.578125,0.515625,0.7747864723205566,192.24166870117188,0.578125,0.7747864723205566,0.2506127655506134,1.0,,
dlgn,parity8,0,26,26,0.6655737468972802,0.40625,0.5,1.115687608718872,182.83416748046875,0.40625,1.115687608718872,0.250657856464386,1.0,,
dlgn,parity8,0,27,27,0.6890989060048014,0.5,0.5,0.7787301540374756,182.83416748046875,0.5,0.7787301540374756,0.2506885230541229,1.0,,
dlgn,parity8,0,28,28,0.7143339219037443,0.40625,0.5,1.1726304292678833,178.15748596191406,0.40625,1.1726304292678833,0.25073468685150146,1.0,,
dlgn,parity8,0,29,29,0.7377709890715778,0.578125,0.5,0.8093718886375427,182.83416748046875,0.578125,0.8093718886375427,0.25076723098754883,1.0,,
dlgn,parity8,0,30,30,0.7617102889344096,0.40625,0.5,1.4741815328598022,178.15748596191406,0.40625,1.4741815328598022,0.250806987285614,1.0,,
dlgn,parity8,0,31,31,0.7847512650769204,0.578125,0.5,0.86534184217453,182.83416748046875,0.578125,0.86534184217453,0.2508286237716675,1.0,,
