method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
dlgn,majority9,0,full_soft_vs_discrete,2,3,0.47024235129356384,0.6654006242752075,0.2248733639717102,0.32781982421875,0.0,0.3046875
dlgn,majority9,0,full_soft_vs_discrete,3,4,0.4749101400375366,0.6562676429748535,0.22963105142116547,0.35003662109375,0.0,0.3984375
dlgn_anneal,majority9,0,full_soft_vs_discrete,0,1,0.0857122614979744,0.5905419588088989,0.027797747403383255,0.01934814453125,0.0,0.1015625
dlgn_anneal,majority9,0,full_soft_vs_discrete,1,2,0.16082382202148438,0.6569620370864868,0.055705729871988297,0.05914306640625,0.0,0.1875
dlgn_anneal,majority9,0,full_soft_vs_discrete,2,3,0.24520596861839294,0.7566961646080017,0.09221610426902771,0.09881591796875,0.0,0.265625
dlgn_anneal,majority9,0,full_soft_vs_discrete,3,4,0.2862734794616699,0.8114752769470215,0.11689478904008865,0.14373779296875,0.0,0.328125
gumbel_st,majority9,0,full_soft_vs_discrete,0,1,0.4193101227283478,0.6355465054512024,0.18450510501861572,0.2027587890625,0.0,0.1328125
gumbel_st,majority9,0,full_soft_vs_discrete,1,2,0.466472327709198,0.6853888034820557,0.2208242565393448,0.2496337890625,0.0,0.265625
gumbel_st,majority9,0,full_soft_vs_discrete,2,3,0.4730147123336792,0.6189563870429993,0.22706276178359985,0.33099365234375,0.0,0.359375
gumbel_st,majority9,0,full_soft_vs_discrete,3,4,0.4753935635089874,0.6567865610122681,0.230067178606987,0.37994384765625,0.0,0.4453125
hard_st_cage,majority9,0,full_soft_vs_discrete,0,1,0.4752218425273895,0.6150079369544983,0.2288249284029007,0.36151123046875,0.0,0.171875
hard_st_cage,majority9,0,full_soft_vs_discrete,1,2,0.4893239140510559,0.5570963621139526,0.24003764986991882,0.33154296875,0.0,0.3125
hard_st_cage,majority9,0,full_soft_vs_discrete,2,3,0.4911573529243469,0.5598466992378235,0.24183471500873566,0.39166259765625,0.0,0.421875
hard_st_cage,majority9,0,full_soft_vs_discrete,3,4,0.49301207065582275,0.566050112247467,0.2436148077249527,0.3736572265625,0.0,0.4921875
