campaign,run,method,dataset,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,train_time,epochs_to_target,epochs_to_20pct,time_to_20pct,unused_gate_ratio,activation_inactive_gate_ratio,unused_gate_definition,gate_count,predicate_count,depth,fanout_max,best_discrete_acc,best_epoch,state_entropy,state_constant_ratio,state_duplicate_ratio,state_flip_rate,layer_gap_max_mae,layer_gap_max_flip_ratio,layer_gap_final_flip_ratio,gate_entropy,gate_confidence,hard_path_acc_gap,hard_path_loss_gap,bit_exact_verified,seed,state_width,encoder_kind,local_depth,global_depth,heads,qk_bits,topk,votes_per_class,epochs,validation_size,train_limit,eval_limit,group_sum_temperature,gate_init_strength,gate_init_mode,gate_init_normal_std,hardening_logit_scale,soft_warmup_epochs
baseline_normal_constant_gs4_20260723,normal_anneal,bitstate_anneal_argmax,cifar10,0.24,0.2305,0.00949999999999998,2.0611697006225587,2.108520866394043,0.04735116577148446,42.19587037098245,,5,27.023453417990822,0.43707770109176636,0.17145270270270271,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.2315,7,0.6531987637281418,0.11062825843691826,0.014322917209938169,0.37963058426976204,0.3693842053413391,0.2173492431640625,0.2173492431640625,0.5883463621139526,0.48873263597488403,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
baseline_normal_constant_gs4_20260723,normal_dlgn,bitstate_soft_argmax,cifar10,0.238,0.232,0.005999999999999978,2.056504638671875,2.133905746459961,0.07740110778808607,42.347795231995406,,4,22.293062204989837,0.328125,0.19172297297297297,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.2535,8,0.6346118003129959,0.12579752877354622,0.01888020895421505,0.3749368079006672,0.33725793957710265,0.1824554443359375,0.1824554443359375,0.4894677400588989,0.5718909502029419,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
baseline_screen_groupsum4_20260723,normal_anneal,bitstate_anneal_argmax,cifar10,0.219,0.2325,0.013500000000000012,2.1070994567871093,2.154865951538086,0.04776649475097683,42.439890817011474,,7,37.37415093299933,0.6220439076423645,0.18032094594594594,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.2335,7,0.6385486349463463,0.12272949423640966,0.019368489971384406,0.3670826517045498,0.3997321456670761,0.2454010009765625,0.2454010009765625,0.685244083404541,0.39854520559310913,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
baseline_screen_groupsum4_20260723,normal_dlgn,bitstate_soft_argmax,cifar10,0.221,0.223,0.0020000000000000018,2.111084846496582,2.251988021850586,0.14090317535400398,41.30173250898952,,3,15.38152246599202,0.48184123635292053,0.19510135135135134,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.2185,6,0.6252149641513824,0.13767090626060963,0.02180989645421505,0.37389111518859863,0.39480949342250826,0.2261260986328125,0.2261260986328125,0.6062014698982239,0.47100213170051575,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
baseline_screen_groupsum4_20260723,targeted_anneal,bitstate_anneal_argmax,cifar10,0.1565,0.1615,0.0050000000000000044,2.2779286346435548,2.5235504150390624,0.24562178039550764,56.22671519900905,,,,1.0,0.0021114864864864866,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.164,8,0.840759165585041,0.004752604407258332,0.0,0.13774617947638035,0.49561275243759156,0.43139061560997594,0.374395751953125,0.9396835565567017,0.2209755778312683,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,0.1,targeted,1.0,1.0,2
baseline_screen_groupsum4_20260723,targeted_dlgn,bitstate_soft_argmax,cifar10,0.1675,0.1715,0.0040000000000000036,2.273272476196289,2.54771745300293,0.2744449768066408,56.45609402199625,,,,1.0,0.001266891891891892,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.179,7,0.8558771759271622,0.0030598959419876337,0.0,0.16612178832292557,0.49505946040153503,0.3714813232421875,0.3714813232421875,0.9439104795455933,0.20794151723384857,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,0.1,targeted,1.0,1.0,2
gumbel_normal_constant_screen_20260723,normal_adam_tau010,bitstate_gumbel_st,cifar10,0.076,0.1565,0.0805,2.303391387939453,2.447170471191406,0.1437790832519532,47.63827672597836,,,,0.9679054021835327,0.23817567567567569,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.1405,6,0.5913642197847366,0.18167318031191826,0.06136067816987634,0.373000793159008,0.46942947506904603,0.3387006026047927,0.32030029296875,0.845163881778717,0.2514455318450928,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
gumbel_normal_constant_screen_20260723,normal_adam_tau025,bitstate_gumbel_st,cifar10,0.108,0.1115,0.003500000000000003,2.3024373397827147,2.452085647583008,0.14964830780029326,48.33956218199455,,,,0.9733952879905701,0.2504222972972973,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.114,6,0.5773602053523064,0.1921468134969473,0.0693359412252903,0.3766798563301563,0.4695697486400604,0.3330169677734375,0.3330169677734375,0.8467376232147217,0.24950948357582092,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
gumbel_normal_constant_screen_20260723,normal_adam_tau050,bitstate_gumbel_st,cifar10,0.106,0.107,0.0010000000000000009,2.304915603637695,2.5150807189941404,0.21016511535644522,46.76938451299793,,,,0.9763513803482056,0.24408783783783783,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.107,2,0.5720847025513649,0.1938557978719473,0.06998698320239782,0.3753583952784538,0.4717354655265808,0.34282455444335935,0.33590087890625,0.8509507179260254,0.2450508028268814,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
gumbel_normal_constant_screen_20260723,normal_adam_tau100,bitstate_gumbel_st,cifar10,0.0985,0.107,0.008499999999999994,2.3023980255126952,2.459752479553223,0.1573544540405276,48.15446118998807,,,,0.980574369430542,0.25422297297297297,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.11,4,0.5671002194285393,0.20224609598517418,0.06331380363553762,0.3802570812404156,0.4744885265827179,0.35654663672814,0.3469818115234375,0.8538583517074585,0.24143436551094055,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
gumbel_normal_init_screen_20260723,normal_adam_tau010,bitstate_gumbel_st,cifar10,0.1165,0.148,0.031499999999999986,2.303185104370117,2.46626579284668,0.16308068847656276,47.12242145801429,,,,0.9729729890823364,0.23184121621621623,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.125,6,0.5774488374590874,0.18225912004709244,0.06298828357830644,0.3701929971575737,,,,0.8467863202095032,0.2499062418937683,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
gumbel_normal_init_screen_20260723,normal_adam_tau025,bitstate_gumbel_st,cifar10,0.0855,0.115,0.0295,2.304610626220703,2.406765914916992,0.10215528869628887,49.28842190999421,,,,0.9763513803482056,0.24535472972972974,mind_gap_entropy_above_initialization_2.5pct,2368,320,9,25,0.11,5,0.5723100453615189,0.1925944034010172,0.061360678635537624,0.37161067873239517,,,,0.8483718633651733,0.2480616271495819,0.0,0.0,True,0,512,redundant_predicate,2,2,8,16,8,32,8,2000,10000,2000,4.0,-1.0,normal,1.0,1.0,2
